source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447,0.0000000000,read,real,scaling,value,N/A
ZnHgS2_1215447_POSCAR,2.9007034742,10.9196,7.3958,153.4528,125.8109,-8.8171331504916E-02
ZnHgS2_1215447_POSCAR,3.0940837058,8.0511,5.5612,153.4528,125.8109,-7.4450371305371E-02
ZnHgS2_1215447_POSCAR,3.2874639374,6.1341,4.7399,153.4528,125.8109,-6.3986361240470E-02
ZnHgS2_1215447_POSCAR,3.4808441690,5.0601,4.3496,153.4528,125.8109,-5.5751923769069E-02
ZnHgS2_1215447_POSCAR,4.0609848639,3.5985,3.5154,153.4528,125.8109,-3.2217457936216E-02
ZnHgS2_1215447_POSCAR,3.6742244006,4.4677,4.1104,153.4528,125.8109,-4.7630370889017E-02
ZnHgS2_1215447_POSCAR,4.2543650955,3.0122,2.9897,153.4528,125.8109,-2.6634713681710E-02
ZnHgS2_1215447_POSCAR,3.8676046322,4.0486,3.8690,153.4528,125.8109,-3.9416701821771E-02
ZnHgS2_1215447_POSCAR,4.4477453271,2.3141,2.3314,153.4528,125.8173,-2.2554930954334E-02
ZnHgS2_1215447_POSCAR,4.8345057903,1.0788,1.1179,176.7555,130.7662,-1.8461418384014E-02
ZnHgS2_1215447_POSCAR,4.6411255587,1.6311,1.6683,153.4577,126.8281,-1.9689675114894E-02
ZnHgS2_1215447_POSCAR,5.0278860219,0.6901,0.7213,337.5878,131.4174,-2.0367091146405E-02
ZnHgS2_1215447_POSCAR,5.2212662535,0.4380,0.4596,340.4621,132.7210,-2.0263684620828E-02
ZnHgS2_1215447_POSCAR,5.6080267168,0.1827,0.1913,340.5202,133.7630,-1.7648320161022E-02
ZnHgS2_1215447_POSCAR,5.4146464851,0.2804,0.2943,340.5162,133.5050,-1.9075632153631E-02
ZnHgS2_1215447_POSCAR,5.8014069484,0.1215,0.1269,340.5209,133.8558,-1.5964362683727E-02
ZnHgS2_1215447_POSCAR,5.9947871800,0.0827,0.0860,340.5211,133.8961,-1.4171273558404E-02
ZnHgS2_1215447_POSCAR,6.1881674116,0.0576,0.0596,340.5211,133.9164,-1.2447958681102E-02
ZnHgS2_1215447_POSCAR,6.3815476432,0.0410,0.0422,340.5212,133.9278,-1.0906398223490E-02
ZnHgS2_1215447_POSCAR,6.5749278748,0.0298,0.0305,340.5212,133.9346,-9.5738938762415E-03
ZnHgS2_1215447_POSCAR,6.7683081064,0.0221,0.0225,340.5212,133.9390,-8.4260225914831E-03
ZnHgS2_1215447_POSCAR,7.1550685697,0.0127,0.0129,340.5212,133.9439,-6.5267254222909E-03
ZnHgS2_1215447_POSCAR,6.9616883380,0.0166,0.0169,340.5212,133.9419,-7.4214939671097E-03
ZnHgS2_1215447_POSCAR,7.3484488013,0.0099,0.0099,340.5212,133.9453,-5.7217736913274E-03
ZnHgS2_1215447_POSCAR,7.7352092645,0.0062,0.0062,340.5212,133.9471,-4.3515332798230E-03
ZnHgS2_1215447_POSCAR,7.9285894961,0.0050,0.0050,340.5212,133.9476,-3.7800281798686E-03
ZnHgS2_1215447_POSCAR,7.5418290329,0.0078,0.0078,340.5212,133.9463,-4.9976781920019E-03
ZnHgS2_1215447_POSCAR,8.1219697277,0.0041,0.0041,340.5212,133.9480,-3.2800351990304E-03
ZnHgS2_1215447_POSCAR,8.3153499593,0.0034,0.0033,340.5212,133.9484,-2.8456511148672E-03
ZnHgS2_1215447_POSCAR,8.7021104226,0.0024,0.0023,340.5212,133.9488,-2.1469483845494E-03
ZnHgS2_1215447_POSCAR,8.8954906542,0.0020,0.0019,340.5212,133.9490,-1.8695404679406E-03
ZnHgS2_1215447_POSCAR,8.5087301909,0.0028,0.0028,340.5212,133.9486,-2.4698899057298E-03
ZnHgS2_1215447_POSCAR,9.0888708858,0.0017,0.0016,340.5212,133.9491,-1.6314512358140E-03
ZnHgS2_1215447_POSCAR,9.2822511174,0.0014,0.0014,340.5212,133.9492,-1.4268543219569E-03
ZnHgS2_1215447_POSCAR,9.4756313490,0.0012,0.0012,340.5212,133.9493,-1.2509432669457E-03
