source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836,0.0000000000,read,real,scaling,value,N/A
Mn27Nb13O60_706836_POSCAR,3.5507320400,16.3987,4.9661,113.8463,10.3708,-1.3902565508881E+00
Mn27Nb13O60_706836_POSCAR,3.7874475093,13.9394,4.3983,113.8463,10.3708,-1.1394194177478E+00
Mn27Nb13O60_706836_POSCAR,4.2608784480,10.0901,3.7545,113.8463,10.3708,-8.3795532871145E-01
Mn27Nb13O60_706836_POSCAR,4.0241629787,12.0143,4.0646,113.8463,10.3708,-9.6241833193837E-01
Mn27Nb13O60_706836_POSCAR,4.4975939174,7.9751,3.4058,113.8463,10.3708,-7.4466084879100E-01
Mn27Nb13O60_706836_POSCAR,4.9710248560,4.0007,2.6421,239.5554,10.3710,-8.1684861177705E-01
Mn27Nb13O60_706836_POSCAR,4.7343093867,5.8536,3.0304,114.0907,10.3708,-7.8993872077234E-01
Mn27Nb13O60_706836_POSCAR,5.2077403254,2.5768,2.2481,239.5554,10.3762,-7.3496485502551E-01
Mn27Nb13O60_706836_POSCAR,5.9178867334,0.5943,1.0965,765.7612,12.7286,-9.0595235470110E-01
Mn27Nb13O60_706836_POSCAR,5.4444557947,1.5948,1.8528,239.5693,10.4907,-6.6340190341200E-01
Mn27Nb13O60_706836_POSCAR,5.6811712640,0.9713,1.4627,286.3399,11.6841,-6.9422558033588E-01
Mn27Nb13O60_706836_POSCAR,6.1546022027,0.3704,0.7803,800.6704,13.0477,-8.5257248295007E-01
Mn27Nb13O60_706836_POSCAR,6.3913176720,0.2367,0.5322,802.3879,13.9277,-7.8939399344767E-01
Mn27Nb13O60_706836_POSCAR,6.6280331414,0.1555,0.3539,802.6243,14.8180,-7.0247487495983E-01
Mn27Nb13O60_706836_POSCAR,6.8647486107,0.1049,0.2334,802.6844,15.1924,-7.4125503383199E-01
Mn27Nb13O60_706836_POSCAR,7.1014640800,0.0727,0.1547,802.7065,15.3285,-6.9025982869857E-01
Mn27Nb13O60_706836_POSCAR,7.5748950187,0.0375,0.0710,802.7220,15.4116,-5.3167453082298E-01
Mn27Nb13O60_706836_POSCAR,7.3381795494,0.0516,0.1039,802.7166,15.3848,-6.0512171352782E-01
Mn27Nb13O60_706836_POSCAR,7.8116104880,0.0278,0.0494,802.7252,15.4260,-4.6747017853306E-01
Mn27Nb13O60_706836_POSCAR,8.0483259574,0.0209,0.0351,802.7272,15.4344,-4.1051350345558E-01
Mn27Nb13O60_706836_POSCAR,8.5217568960,0.0126,0.0187,802.7294,15.4429,-3.1502808982316E-01
Mn27Nb13O60_706836_POSCAR,8.2850414267,0.0161,0.0254,802.7285,15.4396,-3.5983644396105E-01
Mn27Nb13O60_706836_POSCAR,8.7584723654,0.0100,0.0141,802.7300,15.4451,-2.7583839623911E-01
Mn27Nb13O60_706836_POSCAR,9.2319033040,0.0064,0.0083,802.7308,15.4478,-2.1257151532890E-01
Mn27Nb13O60_706836_POSCAR,9.4686187734,0.0053,0.0065,802.7311,15.4486,-1.8726560084135E-01
Mn27Nb13O60_706836_POSCAR,8.9951878347,0.0080,0.0107,802.7305,15.4467,-2.4187968531842E-01
Mn27Nb13O60_706836_POSCAR,9.7053342427,0.0044,0.0052,802.7313,15.4492,-1.6529512489540E-01
Mn27Nb13O60_706836_POSCAR,10.1787651814,0.0031,0.0034,802.7316,15.4500,-1.2915858241106E-01
Mn27Nb13O60_706836_POSCAR,10.4154806507,0.0027,0.0028,802.7317,15.4502,-1.1417414954358E-01
Mn27Nb13O60_706836_POSCAR,9.9420497120,0.0037,0.0042,802.7315,15.4496,-1.4608204208353E-01
Mn27Nb13O60_706836_POSCAR,10.6521961200,0.0023,0.0023,802.7318,15.4504,-1.0089294676603E-01
Mn27Nb13O60_706836_POSCAR,11.1256270587,0.0017,0.0016,802.7319,15.4507,-7.8714706113805E-02
Mn27Nb13O60_706836_POSCAR,10.8889115894,0.0020,0.0019,802.7318,15.4506,-8.9129472463922E-02
Mn27Nb13O60_706836_POSCAR,11.3623425280,0.0015,0.0014,802.7320,15.4508,-6.9528040366219E-02
Mn27Nb13O60_706836_POSCAR,11.5990579974,0.0013,0.0012,802.7320,15.4509,-6.1441018597506E-02
