source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978,0.0000000000,read,real,scaling,value,N/A
Mn2Pt2O5_1185978_POSCAR,2.8502528000,13.9529,4.5633,113.8463,10.3708,-1.3923384521585E-01
Mn2Pt2O5_1185978_POSCAR,2.6721120000,16.2731,5.2447,113.8463,10.3708,-1.7183479041182E-01
Mn2Pt2O5_1185978_POSCAR,3.0283936000,11.2926,4.2359,113.8463,10.3708,-1.1562608627760E-01
Mn2Pt2O5_1185978_POSCAR,3.2065344000,8.7995,4.0071,113.8463,10.3708,-9.9478507044855E-02
Mn2Pt2O5_1185978_POSCAR,3.3846752000,6.8331,3.7156,113.8463,10.3708,-8.9448042531291E-02
Mn2Pt2O5_1185978_POSCAR,3.5628160000,5.3026,3.2428,239.5554,10.3708,-1.0545732677270E-01
Mn2Pt2O5_1185978_POSCAR,3.9190976000,2.7486,1.8178,239.5554,10.5269,-9.5463613750311E-02
Mn2Pt2O5_1185978_POSCAR,3.7409568000,3.9592,2.5662,239.5554,10.3712,-9.9948566637036E-02
Mn2Pt2O5_1185978_POSCAR,4.0972384000,1.7785,1.1786,239.5566,12.6261,-8.6431318778054E-02
Mn2Pt2O5_1185978_POSCAR,4.2753792000,1.1043,0.7284,248.1654,13.1577,-7.5594589255219E-02
Mn2Pt2O5_1185978_POSCAR,4.4535200000,0.6786,0.4446,703.3736,14.3922,-9.7801111727637E-02
Mn2Pt2O5_1185978_POSCAR,4.6316608000,0.4214,0.2739,798.7022,15.0917,-8.9064976693435E-02
Mn2Pt2O5_1185978_POSCAR,4.8098016000,0.2673,0.1723,802.2101,15.3039,-7.6568522257609E-02
Mn2Pt2O5_1185978_POSCAR,5.3442240000,0.0798,0.0501,802.7024,15.4256,-4.9575792917951E-02
Mn2Pt2O5_1185978_POSCAR,5.1660832000,0.1163,0.0737,802.6742,15.4097,-5.7210515014851E-02
Mn2Pt2O5_1185978_POSCAR,4.9879424000,0.1740,0.1112,802.5901,15.3779,-6.6085114110662E-02
Mn2Pt2O5_1185978_POSCAR,5.5223648000,0.0561,0.0349,802.7147,15.4345,-4.2982112618219E-02
Mn2Pt2O5_1185978_POSCAR,5.8786464000,0.0297,0.0182,802.7246,15.4432,-3.2430547181200E-02
Mn2Pt2O5_1185978_POSCAR,5.7005056000,0.0404,0.0249,802.7210,15.4398,-3.7306616111316E-02
Mn2Pt2O5_1185978_POSCAR,6.0567872000,0.0222,0.0135,802.7268,15.4454,-2.8224731962134E-02
Mn2Pt2O5_1185978_POSCAR,6.2349280000,0.0169,0.0102,802.7282,15.4469,-2.4574039244210E-02
Mn2Pt2O5_1185978_POSCAR,6.4130688000,0.0131,0.0079,802.7292,15.4480,-2.1402384229869E-02
Mn2Pt2O5_1185978_POSCAR,6.5912096000,0.0103,0.0062,802.7299,15.4488,-1.8654171581465E-02
Mn2Pt2O5_1185978_POSCAR,6.7693504000,0.0082,0.0049,802.7304,15.4493,-1.6284608639377E-02
Mn2Pt2O5_1185978_POSCAR,6.9474912000,0.0066,0.0039,802.7308,15.4497,-1.4247089887880E-02
Mn2Pt2O5_1185978_POSCAR,7.1256320000,0.0054,0.0032,802.7311,15.4501,-1.2496451745750E-02
Mn2Pt2O5_1185978_POSCAR,7.3037728000,0.0045,0.0026,802.7313,15.4503,-1.0984707018484E-02
Mn2Pt2O5_1185978_POSCAR,7.6600544000,0.0031,0.0018,802.7316,15.4507,-8.5203761040205E-03
Mn2Pt2O5_1185978_POSCAR,7.4819136000,0.0037,0.0022,802.7315,15.4505,-9.6706963551695E-03
Mn2Pt2O5_1185978_POSCAR,7.8381952000,0.0027,0.0015,802.7317,15.4508,-7.5096573613215E-03
Mn2Pt2O5_1185978_POSCAR,8.0163360000,0.0023,0.0013,802.7318,15.4509,-6.6171862898331E-03
Mn2Pt2O5_1185978_POSCAR,8.3726176000,0.0017,0.0010,802.7319,15.4510,-5.1388932390158E-03
Mn2Pt2O5_1185978_POSCAR,8.1944768000,0.0020,0.0011,802.7318,15.4510,-5.8314122052790E-03
Mn2Pt2O5_1185978_POSCAR,8.7288992000,0.0013,0.0007,802.7320,15.4511,-3.9983289123075E-03
Mn2Pt2O5_1185978_POSCAR,8.5507584000,0.0015,0.0009,802.7319,15.4511,-4.5308516679766E-03
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
Mn_PtO2_3_18971,0.0000000000,read,real,scaling,value,N/A
