source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619,0.0000000000,read,real,scaling,value,N/A
Sc2Mn2O7_17619_POSCAR,4.4047274455,24.0569,5.9744,313.9846,10.3708,-2.8822757994178E-01
Sc2Mn2O7_17619_POSCAR,5.2856729345,18.0811,4.1857,313.9846,10.3708,-1.6372394408531E-01
Sc2Mn2O7_17619_POSCAR,4.9920244382,19.8856,4.4281,313.9846,10.3708,-1.9496532559106E-01
Sc2Mn2O7_17619_POSCAR,4.6983759418,21.5496,4.9056,313.9846,10.3708,-2.3480788933407E-01
Sc2Mn2O7_17619_POSCAR,5.5793214309,15.8185,4.0024,313.9846,10.3708,-1.3798569048185E-01
Sc2Mn2O7_17619_POSCAR,6.1666184236,10.4745,3.3951,313.9846,10.3708,-1.0181504049090E-01
Sc2Mn2O7_17619_POSCAR,6.4602669200,7.8660,2.8604,313.9846,10.3708,-1.1438126027689E-01
Sc2Mn2O7_17619_POSCAR,5.8729699273,13.2117,3.7668,313.9846,10.3708,-1.1732845327218E-01
Sc2Mn2O7_17619_POSCAR,6.7539154164,5.6331,2.2229,313.9846,10.3774,-1.0530864455274E-01
Sc2Mn2O7_17619_POSCAR,7.0475639127,3.8914,1.5962,313.9846,11.0684,-9.8392620990341E-02
Sc2Mn2O7_17619_POSCAR,7.3412124091,2.6142,1.0756,315.2172,12.7484,-9.2221788922731E-02
Sc2Mn2O7_17619_POSCAR,7.6348609054,1.7186,0.6970,324.4657,13.2419,-8.3301560959969E-02
Sc2Mn2O7_17619_POSCAR,7.9285094018,1.1169,0.4451,366.1671,14.3893,-8.1316542301746E-02
Sc2Mn2O7_17619_POSCAR,8.2221578982,0.7263,0.2853,1445.9676,15.0591,-1.7995430166908E-01
Sc2Mn2O7_17619_POSCAR,8.8094548909,0.3193,0.1230,1522.2792,15.3660,-1.4568388809479E-01
Sc2Mn2O7_17619_POSCAR,8.5158063945,0.4775,0.1854,1520.4799,15.2835,-1.6581551282978E-01
Sc2Mn2O7_17619_POSCAR,9.1031033873,0.2179,0.0833,1522.4260,15.4023,-1.2843191351241E-01
Sc2Mn2O7_17619_POSCAR,9.3967518836,0.1519,0.0577,1522.4520,15.4208,-1.1360586274431E-01
Sc2Mn2O7_17619_POSCAR,9.6904003800,0.1081,0.0409,1522.4595,15.4311,-1.0068714124488E-01
