source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820,0.0000000000,read,real,scaling,value,N/A
Sc10Mn17S32_685820_POSCAR,5.4615450089,17.0978,9.8582,313.9846,125.8109,-9.3654041291502E-01
Sc10Mn17S32_685820_POSCAR,5.8256480095,14.4506,7.0157,313.9846,125.8109,-7.5651991187235E-01
Sc10Mn17S32_685820_POSCAR,6.5538540107,10.4648,4.7235,313.9846,125.8109,-5.5385687416831E-01
Sc10Mn17S32_685820_POSCAR,6.1897510101,12.3294,5.4770,313.9846,125.8109,-6.3155426567689E-01
Sc10Mn17S32_685820_POSCAR,7.2820600119,7.5427,4.0629,313.9846,125.8109,-5.2033269767799E-01
Sc10Mn17S32_685820_POSCAR,6.9179570113,8.8476,4.3326,313.9846,125.8109,-4.8667274141723E-01
Sc10Mn17S32_685820_POSCAR,7.6461630125,6.4911,3.7679,313.9846,125.8109,-4.6125618612441E-01
Sc10Mn17S32_685820_POSCAR,8.0102660131,5.5033,3.3513,313.9846,125.8109,-4.0213781689869E-01
Sc10Mn17S32_685820_POSCAR,9.4666780155,1.5407,1.0062,324.5726,130.9418,-3.6656983685279E-01
Sc10Mn17S32_685820_POSCAR,8.3743690137,4.4378,2.7835,313.9846,125.8111,-3.4907568570386E-01
Sc10Mn17S32_685820_POSCAR,8.7384720143,3.3274,2.1283,313.9884,125.8432,-3.0407780843385E-01
Sc10Mn17S32_685820_POSCAR,9.1025750149,2.3227,1.5053,320.2898,128.2596,-3.1718300649617E-01
Sc10Mn17S32_685820_POSCAR,9.8307810161,0.9965,0.6530,548.7318,131.6641,-3.6757614289413E-01
Sc10Mn17S32_685820_POSCAR,10.1948840167,0.6421,0.4208,1499.7293,132.9417,-4.2968238202513E-01
Sc10Mn17S32_685820_POSCAR,10.5589870173,0.4177,0.2734,1521.6512,133.5710,-3.8697798761130E-01
Sc10Mn17S32_685820_POSCAR,10.9230900179,0.2763,0.1804,1522.3682,133.7817,-3.4902203543395E-01
Sc10Mn17S32_685820_POSCAR,11.2871930185,0.1866,0.1215,1522.4415,133.8619,-3.1607951723002E-01
Sc10Mn17S32_685820_POSCAR,12.7436050208,0.0477,0.0307,1522.4643,133.9346,-2.0508198812319E-01
Sc10Mn17S32_685820_POSCAR,12.0153990197,0.0907,0.0586,1522.4613,133.9171,-2.5784232400797E-01
Sc10Mn17S32_685820_POSCAR,11.6512960191,0.1288,0.0835,1522.4566,133.8982,-2.8614637705219E-01
Sc10Mn17S32_685820_POSCAR,12.3795020203,0.0651,0.0420,1522.4633,133.9279,-2.3071890359599E-01
Sc10Mn17S32_685820_POSCAR,13.1077080214,0.0356,0.0228,1522.4648,133.9388,-1.8151598369349E-01
Sc10Mn17S32_685820_POSCAR,13.8359140226,0.0208,0.0132,1522.4654,133.9437,-1.4191748098576E-01
Sc10Mn17S32_685820_POSCAR,13.4718110220,0.0270,0.0172,1522.4652,133.9417,-1.6042889978340E-01
Sc10Mn17S32_685820_POSCAR,14.2000170232,0.0162,0.0103,1522.4655,133.9451,-1.2578370327801E-01
Sc10Mn17S32_685820_POSCAR,14.5641200238,0.0128,0.0081,1522.4656,133.9461,-1.1168290631631E-01
