source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263,0.0000000000,read,real,scaling,value,N/A
Mn2TcO4_34263_POSCAR,4.0771250840,15.0927,4.5494,113.8463,10.3708,-1.9005273108421E-01
Mn2TcO4_34263_POSCAR,4.3489334230,10.9379,4.2399,113.8463,10.3708,-1.5262306258087E-01
Mn2TcO4_34263_POSCAR,4.6207417619,7.7613,4.0569,113.8463,10.3708,-1.2867449600743E-01
Mn2TcO4_34263_POSCAR,4.8925501008,5.8194,3.8582,116.1306,10.3708,-1.1352806815643E-01
Mn2TcO4_34263_POSCAR,5.1643584398,4.6429,3.5511,239.5554,10.3708,-1.2236854732519E-01
