source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082,0.0000000000,read,real,scaling,value,N/A
Y2MnS4_1216082_POSCAR,4.8662951625,20.9252,10.4050,451.0845,125.8109,-2.4842452424992E-01
Y2MnS4_1216082_POSCAR,5.1907148400,17.8832,7.9034,451.0845,125.8109,-2.0134922751740E-01
Y2MnS4_1216082_POSCAR,5.5151345175,15.2735,6.4497,451.0845,125.8109,-1.6795706171503E-01
Y2MnS4_1216082_POSCAR,5.8395541950,12.9820,5.6554,451.0845,125.8109,-1.4421177013261E-01
Y2MnS4_1216082_POSCAR,6.1639738725,11.0141,5.1408,451.0845,125.8109,-1.2567301948022E-01
Y2MnS4_1216082_POSCAR,6.4883935500,9.2835,4.6478,451.0845,125.8109,-1.2263003181156E-01
Y2MnS4_1216082_POSCAR,7.1372329050,6.0786,3.3005,451.0845,125.8109,-9.3853566289793E-02
Y2MnS4_1216082_POSCAR,6.8128132275,7.6610,4.0404,451.0845,125.8109,-1.0751001938310E-01
Y2MnS4_1216082_POSCAR,7.4616525825,4.5659,2.5044,451.0845,125.8125,-8.1518595364523E-02
Y2MnS4_1216082_POSCAR,8.4349116150,1.4047,0.7592,1132.9636,131.3134,-1.0179975772746E-01
Y2MnS4_1216082_POSCAR,7.7860722600,3.2279,1.7677,451.8161,126.3274,-7.2288664481674E-02
Y2MnS4_1216082_POSCAR,8.1104919375,2.1653,1.1782,1013.6186,130.6145,-9.3948865469942E-02
Y2MnS4_1216082_POSCAR,8.7593312925,0.9002,0.4841,1952.7606,132.5753,-1.0428691957637E-01
Y2MnS4_1216082_POSCAR,9.0837509700,0.5794,0.3106,2361.4004,133.4485,-1.1586932248794E-01
Y2MnS4_1216082_POSCAR,9.4081706475,0.3783,0.2025,2365.6854,133.7424,-1.0461803676940E-01
Y2MnS4_1216082_POSCAR,9.7325903250,0.2520,0.1347,2365.8626,133.8466,-9.4252925996729E-02
Y2MnS4_1216082_POSCAR,10.3814296800,0.1194,0.0638,2365.8886,133.9135,-7.5741579350926E-02
Y2MnS4_1216082_POSCAR,10.7058493575,0.0848,0.0453,2365.8902,133.9259,-6.6996178048182E-02
Y2MnS4_1216082_POSCAR,10.0570100025,0.1715,0.0917,2365.8838,133.8913,-8.4800278076491E-02
Y2MnS4_1216082_POSCAR,11.0302690350,0.0615,0.0329,2365.8909,133.9333,-5.8789153481356E-02
Y2MnS4_1216082_POSCAR,12.0035280675,0.0261,0.0139,2365.8916,133.9433,-3.9316009306911E-02
Y2MnS4_1216082_POSCAR,11.3546887125,0.0454,0.0243,2365.8912,133.9381,-5.1377590725396E-02
Y2MnS4_1216082_POSCAR,11.6791083900,0.0341,0.0182,2365.8914,133.9412,-4.4893459781574E-02
Y2MnS4_1216082_POSCAR,12.3279477450,0.0202,0.0108,2365.8916,133.9449,-3.4528318924158E-02
Y2MnS4_1216082_POSCAR,12.9767871000,0.0126,0.0068,2365.8917,133.9468,-2.6758236354592E-02
Y2MnS4_1216082_POSCAR,13.3012067775,0.0101,0.0055,2365.8918,133.9474,-2.3546952406144E-02
Y2MnS4_1216082_POSCAR,12.6523674225,0.0158,0.0085,2365.8917,133.9460,-3.0388240099689E-02
Y2MnS4_1216082_POSCAR,13.6256264550,0.0082,0.0045,2365.8918,133.9479,-2.0692360855300E-02
Y2MnS4_1216082_POSCAR,14.2744658100,0.0056,0.0031,2365.8918,133.9485,-1.5914526455243E-02
Y2MnS4_1216082_POSCAR,13.9500461325,0.0068,0.0037,2365.8918,133.9482,-1.8157219589745E-02
Y2MnS4_1216082_POSCAR,14.5988854875,0.0047,0.0026,2365.8918,133.9487,-1.3939715426774E-02
Y2MnS4_1216082_POSCAR,14.9233051650,0.0039,0.0022,2365.8918,133.9489,-1.2210756882164E-02
Y2MnS4_1216082_POSCAR,15.2477248425,0.0033,0.0018,2365.8918,133.9490,-1.0702101493164E-02
Y2MnS4_1216082_POSCAR,15.5721445200,0.0029,0.0016,2365.8918,133.9492,-9.3889823282949E-03
Y2MnS4_1216082_POSCAR,15.8965641975,0.0024,0.0013,2365.8918,133.9493,-8.2495436954787E-03
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113,0.0000000000,read,real,scaling,value,N/A
Y4MnS7_1216113_POSCAR,5.7165229511,13.5470,5.6227,451.0845,125.8109,-1.2767615985378E-01
Y4MnS7_1216113_POSCAR,4.7637691259,21.3585,10.5371,451.0845,125.8109,-2.1923367708837E-01
Y4MnS7_1216113_POSCAR,5.0813537343,18.3803,7.8732,451.0845,125.8109,-1.7774656814467E-01
Y4MnS7_1216113_POSCAR,5.3989383427,15.8535,6.4015,451.0845,125.8109,-1.4853669286777E-01
Y4MnS7_1216113_POSCAR,6.0341075595,11.4248,5.1202,451.0845,125.8109,-1.1117126346642E-01
Y4MnS7_1216113_POSCAR,6.3516921678,9.4877,4.6372,451.0845,125.8109,-1.0334210478609E-01
Y4MnS7_1216113_POSCAR,6.6692767762,7.6902,4.0446,451.0845,125.8109,-9.0055340992579E-02
