source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162,0.0000000000,read,real,scaling,value,N/A
Mn2ZnS4_1104162_POSCAR,4.9621204750,9.8417,8.4621,113.8463,125.8109,-1.9334878684655E-01
Mn2ZnS4_1104162_POSCAR,5.2722530047,8.0461,6.3912,113.8463,125.8109,-1.6538489228465E-01
Mn2ZnS4_1104162_POSCAR,4.6519879453,12.4268,11.5405,113.8463,125.8109,-2.3150893918516E-01
