source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464,0.0000000000,read,real,scaling,value,N/A
Zr4MnO9_763464_POSCAR,5.3295661208,18.2988,3.8044,458.6896,10.3708,-5.7086715186792E-01
Zr4MnO9_763464_POSCAR,5.0160622313,20.3693,4.2818,458.6896,10.3708,-6.8915138204356E-01
Zr4MnO9_763464_POSCAR,4.7025583419,23.2173,5.0174,458.6896,10.3708,-8.4303699895182E-01
Zr4MnO9_763464_POSCAR,5.6430700102,16.3332,3.4630,458.6896,10.3708,-4.7610703646776E-01
Zr4MnO9_763464_POSCAR,6.8970855681,8.2666,2.6807,458.6896,10.3710,-2.8929620379430E-01
Zr4MnO9_763464_POSCAR,6.2700777891,12.2232,3.0776,458.6896,10.3708,-3.6683626054568E-01
Zr4MnO9_763464_POSCAR,5.9565738997,14.2993,3.2373,458.6896,10.3708,-3.9897426777754E-01
Zr4MnO9_763464_POSCAR,6.5835816786,10.1790,2.9148,458.6896,10.3708,-3.2214050313292E-01
Zr4MnO9_763464_POSCAR,7.2105894575,6.5375,2.3277,458.6896,10.3737,-2.6342124721214E-01
Zr4MnO9_763464_POSCAR,8.1511011259,2.5329,0.9428,568.4222,12.8539,-2.7836274055145E-01
Zr4MnO9_763464_POSCAR,7.5240933470,4.9881,1.8654,458.6896,10.4798,-2.8022000927977E-01
Zr4MnO9_763464_POSCAR,7.8375972364,3.6366,1.3727,458.6908,12.0937,-2.6896566537175E-01
Zr4MnO9_763464_POSCAR,8.4646050153,1.7036,0.6211,568.6883,13.5081,-2.4772490620937E-01
Zr4MnO9_763464_POSCAR,9.0916127942,0.7402,0.2616,1775.2441,15.1249,-4.0895068404808E-01
Zr4MnO9_763464_POSCAR,8.7781089048,1.1246,0.4027,639.2863,14.6016,-2.4277196763167E-01
Zr4MnO9_763464_POSCAR,9.4051166837,0.4911,0.1720,1821.6774,15.3043,-3.6617309621911E-01
Zr4MnO9_763464_POSCAR,9.7186205732,0.3309,0.1152,1822.6310,15.3739,-3.2303053720419E-01
Zr4MnO9_763464_POSCAR,10.0321244626,0.2270,0.0787,1822.7007,15.4059,-2.8644354181830E-01
Zr4MnO9_763464_POSCAR,10.3456283521,0.1587,0.0548,1822.7120,15.4226,-2.5469202484333E-01
Zr4MnO9_763464_POSCAR,10.6591322415,0.1132,0.0390,1822.7151,15.4322,-2.2634833685837E-01
Zr4MnO9_763464_POSCAR,10.9726361310,0.0823,0.0283,1822.7162,15.4381,-2.0061236651379E-01
Zr4MnO9_763464_POSCAR,11.5996439099,0.0458,0.0157,1822.7170,15.4444,-1.5599402864029E-01
Zr4MnO9_763464_POSCAR,11.2861400204,0.0609,0.0209,1822.7168,15.4419,-1.7716997092856E-01
Zr4MnO9_763464_POSCAR,11.9131477994,0.0350,0.0120,1822.7172,15.4461,-1.3713777532249E-01
Zr4MnO9_763464_POSCAR,12.2266516888,0.0271,0.0093,1822.7173,15.4474,-1.2058319460551E-01
Zr4MnO9_763464_POSCAR,12.5401555783,0.0213,0.0073,1822.7174,15.4483,-1.0618682272176E-01
Zr4MnO9_763464_POSCAR,12.8536594677,0.0170,0.0058,1822.7174,15.4489,-9.3718060814480E-02
Zr4MnO9_763464_POSCAR,13.1671633572,0.0136,0.0046,1822.7175,15.4494,-8.2895062765978E-02
Zr4MnO9_763464_POSCAR,13.4806672466,0.0111,0.0038,1822.7175,15.4498,-7.3442853680527E-02
Zr4MnO9_763464_POSCAR,14.1076750256,0.0076,0.0026,1822.7175,15.4503,-5.7766556842277E-02
Zr4MnO9_763464_POSCAR,14.4211789150,0.0063,0.0021,1822.7175,15.4505,-5.1228663577755E-02
Zr4MnO9_763464_POSCAR,13.7941711361,0.0091,0.0031,1822.7175,15.4501,-6.5126956025022E-02
Zr4MnO9_763464_POSCAR,14.7346828045,0.0053,0.0018,1822.7175,15.4507,-4.5414757800244E-02
Zr4MnO9_763464_POSCAR,15.3616905834,0.0039,0.0013,1822.7175,15.4509,-3.5655033663119E-02
Zr4MnO9_763464_POSCAR,15.0481866939,0.0045,0.0015,1822.7175,15.4508,-4.0243595527187E-02
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754513_POSCAR,4.0281758083,18.1846,4.1262,458.6896,10.3708,-8.9243479369366E-02
ZrMnO3_754513_POSCAR,3.7912242902,20.5899,4.4781,458.6896,10.3708,-1.0790462551406E-01
ZrMnO3_754513_POSCAR,4.2651273265,15.5674,3.8185,458.6896,10.3708,-7.4908193177646E-02
ZrMnO3_754513_POSCAR,3.5542727721,23.5542,5.0961,458.6896,10.3708,-1.3229196366878E-01
ZrMnO3_754513_POSCAR,4.5020788446,12.8307,3.4621,458.6896,10.3708,-6.4016131930455E-02
ZrMnO3_754513_POSCAR,4.9759818809,8.5083,2.6591,458.6896,10.3710,-6.0735922583369E-02
ZrMnO3_754513_POSCAR,5.2129333990,7.0421,2.2741,458.6896,10.3752,-5.4481411790873E-02
ZrMnO3_754513_POSCAR,4.7390303628,10.4112,3.0627,458.6896,10.3708,-5.5622040332624E-02
ZrMnO3_754513_POSCAR,5.4498849172,5.8054,1.9019,458.6896,10.4532,-4.9395248078284E-02
ZrMnO3_754513_POSCAR,5.9237879534,3.5301,1.1658,458.6963,12.6454,-6.5134467638172E-02
ZrMnO3_754513_POSCAR,5.6868364353,4.6413,1.5293,458.6896,11.3618,-5.0668105507376E-02
ZrMnO3_754513_POSCAR,6.1607394716,2.5428,0.8405,568.3790,12.9559,-6.4878880595642E-02
ZrMnO3_754513_POSCAR,6.3976909897,1.7500,0.5784,568.6835,13.6977,-5.8025078566041E-02
ZrMnO3_754513_POSCAR,6.8715940260,0.7745,0.2555,1743.9055,15.1404,-7.4063895256847E-02
ZrMnO3_754513_POSCAR,6.6346425079,1.1703,0.3866,604.2862,14.6768,-5.2904533025720E-02
ZrMnO3_754513_POSCAR,7.1085455441,0.5142,0.1694,1821.2311,15.3082,-6.6130698063721E-02
ZrMnO3_754513_POSCAR,7.5824485804,0.2361,0.0775,1822.6980,15.4068,-5.1155770456808E-02
ZrMnO3_754513_POSCAR,7.8194000985,0.1643,0.0538,1822.7115,15.4233,-4.5213377214383E-02
ZrMnO3_754513_POSCAR,7.3454970623,0.3455,0.1136,1822.6089,15.3755,-5.8043884185690E-02
ZrMnO3_754513_POSCAR,8.0563516167,0.1166,0.0381,1822.7149,15.4327,-3.9985840867057E-02
ZrMnO3_754513_POSCAR,8.2933031348,0.0843,0.0275,1822.7162,15.4385,-3.5316415202029E-02
ZrMnO3_754513_POSCAR,8.5302546530,0.0621,0.0202,1822.7167,15.4422,-3.1128563805699E-02
ZrMnO3_754513_POSCAR,9.0041576892,0.0353,0.0115,1822.7172,15.4463,-2.4061206742482E-02
ZrMnO3_754513_POSCAR,8.7672061711,0.0464,0.0151,1822.7170,15.4446,-2.7383278597366E-02
ZrMnO3_754513_POSCAR,9.2411092074,0.0272,0.0089,1822.7173,15.4475,-2.1142859554849E-02
ZrMnO3_754513_POSCAR,9.4780607255,0.0213,0.0069,1822.7174,15.4484,-1.8596226499654E-02
ZrMnO3_754513_POSCAR,9.7150122436,0.0169,0.0055,1822.7174,15.4491,-1.6384029863806E-02
ZrMnO3_754513_POSCAR,9.9519637618,0.0136,0.0044,1822.7175,15.4495,-1.4460468634413E-02
ZrMnO3_754513_POSCAR,10.1889152799,0.0110,0.0036,1822.7175,15.4499,-1.2779548884255E-02
ZrMnO3_754513_POSCAR,10.4258667981,0.0090,0.0029,1822.7175,15.4502,-1.1307054449361E-02
ZrMnO3_754513_POSCAR,10.6628183162,0.0075,0.0024,1822.7175,15.4504,-1.0011118732534E-02
ZrMnO3_754513_POSCAR,10.8997698343,0.0062,0.0020,1822.7175,15.4506,-8.8651960163080E-03
ZrMnO3_754513_POSCAR,11.3736728706,0.0044,0.0014,1822.7175,15.4508,-6.9542226566839E-03
ZrMnO3_754513_POSCAR,11.1367213525,0.0052,0.0017,1822.7175,15.4507,-7.8512107621119E-03
ZrMnO3_754513_POSCAR,11.6106243887,0.0038,0.0012,1822.7176,15.4509,-6.1600516789474E-03
ZrMnO3_754980,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754980,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754980,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754980,0.0000000000,read,real,scaling,value,N/A
ZrMnO3_754980,0.0000000000,read,real,scaling,value,N/A
