source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942,0.0000000000,read,real,scaling,value,N/A
Nb2MoO8_1046942_POSCAR,8.9694110218,11.0552,3.0676,428.8962,10.3708,-1.8079079315572E-01
Nb2MoO8_1046942_POSCAR,8.4417986088,13.0820,3.4141,428.8962,10.3708,-2.1296063120171E-01
Nb2MoO8_1046942_POSCAR,9.4970234349,9.4049,2.7689,428.8962,10.3709,-1.5408389273647E-01
Nb2MoO8_1046942_POSCAR,7.9141861957,15.8136,4.0082,428.8962,10.3708,-2.5228972860076E-01
Nb2MoO8_1046942_POSCAR,10.0246358479,8.0288,2.4761,428.8962,10.3717,-1.3225403640810E-01
Nb2MoO8_1046942_POSCAR,10.5522482610,6.8726,2.2120,428.8962,10.3780,-1.1413337406859E-01
Nb2MoO8_1046942_POSCAR,11.6074730871,5.0300,1.7324,428.8962,10.6609,-9.3407696398906E-02
Nb2MoO8_1046942_POSCAR,11.0798606740,5.8844,1.9717,428.8962,10.4187,-9.8816821080166E-02
Nb2MoO8_1046942_POSCAR,12.1350855001,4.2907,1.4962,428.8963,11.5205,-8.1970980001546E-02
Nb2MoO8_1046942_POSCAR,13.1903103262,3.0938,1.0880,429.7325,12.7369,-6.4189169628495E-02
