source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118,0.0000000000,read,real,scaling,value,N/A
Sc2_MoO4_3_14118_POSCAR,8.6333160960,9.4680,2.0552,313.9846,10.3957,-4.2549578106776E-01
Sc2_MoO4_3_14118_POSCAR,7.1944300800,12.9681,2.4151,313.9846,10.3722,-6.3466870690844E-01
Sc2_MoO4_3_14118_POSCAR,8.1536874240,10.8314,2.1017,313.9846,10.3880,-4.5502173495834E-01
Sc2_MoO4_3_14118_POSCAR,7.6740587520,11.9497,2.1973,313.9846,10.3789,-5.3255394308352E-01
Sc2_MoO4_3_14118_POSCAR,9.1129447680,8.1556,2.0276,313.9846,10.4017,-4.1566826208660E-01
Sc2_MoO4_3_14118_POSCAR,9.5925734400,7.1567,2.0028,313.9846,10.4083,-3.6742859083947E-01
Sc2_MoO4_3_14118_POSCAR,10.5518307840,5.7733,1.9008,313.9846,10.4539,-2.6567750562939E-01
Sc2_MoO4_3_14118_POSCAR,10.0722021120,6.4295,1.9664,313.9846,10.4207,-3.1702764275494E-01
Sc2_MoO4_3_14118_POSCAR,11.5110881280,4.0608,1.6184,313.9846,10.9835,-1.8082379275592E-01
Sc2_MoO4_3_14118_POSCAR,11.0314594560,5.0043,1.7877,313.9846,10.5657,-2.1885498131690E-01
Sc2_MoO4_3_14118_POSCAR,12.4703454720,2.1247,1.1675,323.3035,12.6429,-1.2766006504719E-01
Sc2_MoO4_3_14118_POSCAR,11.9907168000,3.0429,1.4040,314.0242,11.9600,-1.5175254868322E-01
Sc2_MoO4_3_14118_POSCAR,12.9499741440,1.4161,0.9296,324.9931,12.8648,-1.0634317812029E-01
Sc2_MoO4_3_14118_POSCAR,13.4296028160,0.9241,0.7064,824.7279,13.2152,-1.1557328505029E-01
Sc2_MoO4_3_14118_POSCAR,14.3888601600,0.3961,0.3602,1521.8756,14.7920,-1.0674342805232E-01
Sc2_MoO4_3_14118_POSCAR,13.9092314880,0.6020,0.5132,1509.8587,14.0274,-1.2014394607866E-01
Sc2_MoO4_3_14118_POSCAR,14.8684888320,0.2649,0.2478,1522.3837,15.1593,-1.1441275305096E-01
Sc2_MoO4_3_14118_POSCAR,15.3481175040,0.1806,0.1694,1522.4437,15.3082,-1.0553373209681E-01
Sc2_MoO4_3_14118_POSCAR,15.8277461760,0.1256,0.1162,1522.4571,15.3729,-9.8325939353235E-02
Sc2_MoO4_3_14118_POSCAR,16.3073748480,0.0891,0.0805,1522.4615,15.4045,-9.3399562181879E-02
Sc2_MoO4_3_14118_POSCAR,16.7870035200,0.0644,0.0566,1522.4634,15.4215,-8.9708681261896E-02
Sc2_MoO4_3_14118_POSCAR,17.2666321920,0.0473,0.0403,1522.4643,15.4314,-8.6356884389669E-02
Sc2_MoO4_3_14118_POSCAR,17.7462608640,0.0354,0.0292,1522.4649,15.4376,-8.2722358292654E-02
Sc2_MoO4_3_14118_POSCAR,18.2258895360,0.0269,0.0215,1522.4652,15.4415,-7.8490669081635E-02
Sc2_MoO4_3_14118_POSCAR,18.7055182080,0.0207,0.0161,1522.4654,15.4442,-7.3644266495744E-02
Sc2_MoO4_3_14118_POSCAR,19.1851468800,0.0162,0.0122,1522.4655,15.4460,-6.8391611482439E-02
Sc2_MoO4_3_14118_POSCAR,19.6647755520,0.0128,0.0094,1522.4656,15.4473,-6.3034977671088E-02
Sc2_MoO4_3_14118_POSCAR,20.1444042240,0.0103,0.0073,1522.4657,15.4483,-5.7846176258569E-02
Sc2_MoO4_3_14118_POSCAR,20.6240328960,0.0083,0.0057,1522.4658,15.4489,-5.2997145751189E-02
Sc2_MoO4_3_14118_POSCAR,21.1036615680,0.0068,0.0046,1522.4658,15.4495,-4.8550090047221E-02
Sc2_MoO4_3_14118_POSCAR,21.5832902400,0.0056,0.0037,1522.4658,15.4498,-4.4492642353195E-02
Sc2_MoO4_3_14118_POSCAR,22.0629189120,0.0047,0.0030,1522.4659,15.4501,-4.0769346419524E-02
Sc2_MoO4_3_14118_POSCAR,23.5018049280,0.0028,0.0017,1522.4659,15.4507,-3.1062786512059E-02
Sc2_MoO4_3_14118_POSCAR,22.5425475840,0.0039,0.0025,1522.4659,15.4504,-3.7317530236804E-02
Sc2_MoO4_3_14118_POSCAR,23.0221762560,0.0033,0.0020,1522.4659,15.4506,-3.4091438134973E-02
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
ScMo3O8_1172932,0.0000000000,read,real,scaling,value,N/A
