source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800,0.0000000000,read,real,scaling,value,N/A
Ta12MoO33_1217800_POSCAR,8.6589891855,10.9120,3.0741,458.7677,10.3708,-3.3925418740026E-01
Ta12MoO33_1217800_POSCAR,7.6968792760,14.1741,3.3181,458.7677,10.3708,-4.6028970245566E-01
Ta12MoO33_1217800_POSCAR,8.1779342308,12.5093,3.1582,458.7677,10.3708,-3.9800624991901E-01
Ta12MoO33_1217800_POSCAR,7.2158243213,16.4670,3.6800,458.7677,10.3708,-5.3906154098440E-01
Ta12MoO33_1217800_POSCAR,9.6210990950,8.1385,2.9177,458.7677,10.3708,-2.4766969113256E-01
Ta12MoO33_1217800_POSCAR,9.1400441403,9.4131,3.0074,458.7677,10.3708,-2.9180431540457E-01
Ta12MoO33_1217800_POSCAR,10.5832090045,6.1653,2.5342,458.7677,10.3714,-1.8509120582241E-01
Ta12MoO33_1217800_POSCAR,10.1021540498,7.0791,2.7682,458.7677,10.3709,-2.1245573881692E-01
Ta12MoO33_1217800_POSCAR,11.0642639593,5.3218,2.2173,458.7677,10.3777,-1.6290285158418E-01
Ta12MoO33_1217800_POSCAR,11.5453189140,4.5033,1.8387,458.7677,10.5042,-1.4398282553628E-01
Ta12MoO33_1217800_POSCAR,12.5074288235,2.9206,1.0429,462.6127,12.7764,-1.1348022906796E-01
Ta12MoO33_1217800_POSCAR,12.0263738688,3.6981,1.4313,458.7781,11.8345,-1.2846958788847E-01
Ta12MoO33_1217800_POSCAR,12.9884837783,2.2066,0.7195,623.6835,13.1803,-1.1745152079288E-01
Ta12MoO33_1217800_POSCAR,13.4695387331,1.5965,0.4799,659.3577,14.2057,-1.0593531448597E-01
Ta12MoO33_1217800_POSCAR,14.4316486426,0.7630,0.2085,1142.4538,15.2433,-1.2058265051269E-01
Ta12MoO33_1217800_POSCAR,13.9505936878,1.1156,0.3159,701.9196,14.9609,-9.9905839120631E-02
Ta12MoO33_1217800_POSCAR,15.3937585521,0.3528,0.0944,1163.7865,15.3932,-9.8724868079604E-02
Ta12MoO33_1217800_POSCAR,14.9127035973,0.5180,0.1391,1163.3332,15.3479,-1.0938878506872E-01
Ta12MoO33_1217800_POSCAR,15.8748135068,0.2428,0.0653,1163.8173,15.4157,-9.0375882624641E-02
Ta12MoO33_1217800_POSCAR,16.3558684616,0.1695,0.0460,1163.8219,15.4281,-8.3766720126899E-02
Ta12MoO33_1217800_POSCAR,17.3179783711,0.0867,0.0241,1163.8235,15.4402,-7.3342990735898E-02
Ta12MoO33_1217800_POSCAR,16.8369234163,0.1202,0.0330,1163.8231,15.4355,-7.8277091409163E-02
Ta12MoO33_1217800_POSCAR,17.7990333258,0.0636,0.0179,1163.8237,15.4433,-6.8554172751804E-02
Ta12MoO33_1217800_POSCAR,18.2800882806,0.0474,0.0135,1163.8238,15.4454,-6.3696254793889E-02
Ta12MoO33_1217800_POSCAR,18.7611432353,0.0359,0.0104,1163.8238,15.4469,-5.8748391633809E-02
Ta12MoO33_1217800_POSCAR,19.2421981901,0.0275,0.0081,1163.8239,15.4479,-5.3812032902963E-02
Ta12MoO33_1217800_POSCAR,19.7232531448,0.0214,0.0063,1163.8239,15.4487,-4.9036554247664E-02
Ta12MoO33_1217800_POSCAR,20.2043080996,0.0168,0.0051,1163.8239,15.4492,-4.4548309220591E-02
Ta12MoO33_1217800_POSCAR,21.6474729638,0.0088,0.0027,1163.8239,15.4503,-3.3297324515523E-02
Ta12MoO33_1217800_POSCAR,21.1664180091,0.0108,0.0033,1163.8239,15.4500,-3.6676972763201E-02
Ta12MoO33_1217800_POSCAR,20.6853630543,0.0134,0.0041,1163.8239,15.4497,-4.0420624270905E-02
Ta12MoO33_1217800_POSCAR,22.1285279186,0.0072,0.0023,1163.8239,15.4505,-3.0239239797899E-02
Ta12MoO33_1217800_POSCAR,22.6095828733,0.0060,0.0019,1163.8239,15.4506,-2.7454587698890E-02
Ta12MoO33_1217800_POSCAR,23.0906378281,0.0050,0.0016,1163.8239,15.4507,-2.4902711131672E-02
Ta12MoO33_1217800_POSCAR,23.5716927828,0.0042,0.0014,1163.8239,15.4509,-2.2556549621547E-02
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
Ta2Mo2O11_1186878,0.0000000000,read,real,scaling,value,N/A
