source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090,0.0000000000,read,real,scaling,value,N/A
Mo2W2O5_1186090_POSCAR,2.9500640000,18.1410,5.3805,337.1075,10.3708,-1.6494506661743E-01
Mo2W2O5_1186090_POSCAR,3.1344430000,16.4534,4.6587,337.1075,10.3708,-1.3284050140301E-01
Mo2W2O5_1186090_POSCAR,2.7656850000,19.7451,6.6826,337.1075,10.3708,-2.0370469803851E-01
Mo2W2O5_1186090_POSCAR,3.3188220000,14.2838,4.2523,337.1075,10.3708,-1.0658834868633E-01
Mo2W2O5_1186090_POSCAR,3.8719590000,7.4760,3.0726,337.1075,10.3708,-7.0124408427446E-02
Mo2W2O5_1186090_POSCAR,3.5032010000,11.8512,3.9334,337.1075,10.3708,-8.7178782918607E-02
Mo2W2O5_1186090_POSCAR,3.6875800000,9.5222,3.5567,337.1075,10.3708,-7.8616296129276E-02
Mo2W2O5_1186090_POSCAR,4.0563380000,5.7536,2.5203,502.0073,10.3714,-8.0919517067777E-02
Mo2W2O5_1186090_POSCAR,4.4250960000,3.0950,1.4341,502.0073,11.8212,-7.7131134206845E-02
Mo2W2O5_1186090_POSCAR,4.2407170000,4.3106,1.9593,502.0073,10.4236,-7.6988971633605E-02
Mo2W2O5_1186090_POSCAR,4.6094750000,2.1151,0.9886,502.0073,12.8184,-7.8635475936102E-02
Mo2W2O5_1186090_POSCAR,4.7938540000,1.3913,0.6519,502.4198,13.3889,-7.7744129532411E-02
Mo2W2O5_1186090_POSCAR,4.9782330000,0.8990,0.4208,749.9421,14.5134,-8.3227868883406E-02
Mo2W2O5_1186090_POSCAR,5.3469910000,0.3801,0.1766,845.8555,15.2974,-7.0169393309362E-02
Mo2W2O5_1186090_POSCAR,5.1626120000,0.5810,0.2711,844.9542,15.0995,-7.8628104072038E-02
