source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078,0.0000000000,read,real,scaling,value,N/A
Y_Mo3S4_2_1104078_POSCAR,5.1885729834,17.9304,9.8320,451.0845,125.8109,-3.6605980202320E-01
Y_Mo3S4_2_1104078_POSCAR,5.8371446064,11.1584,5.5921,451.0845,125.8109,-2.5976143581897E-01
Y_Mo3S4_2_1104078_POSCAR,5.5128587949,13.8674,7.1245,451.0845,125.8109,-3.0867273776439E-01
Y_Mo3S4_2_1104078_POSCAR,4.8642871720,23.8528,13.6477,451.0845,125.8109,-4.3722639048515E-01
Y_Mo3S4_2_1104078_POSCAR,6.4857162293,8.0165,4.3740,451.0845,125.8109,-1.8178665207546E-01
Y_Mo3S4_2_1104078_POSCAR,6.1614304178,9.3773,4.8038,451.0845,125.8109,-2.1771520435335E-01
Y_Mo3S4_2_1104078_POSCAR,6.8100020408,6.6689,4.0662,451.0845,125.8109,-1.5168094943072E-01
Y_Mo3S4_2_1104078_POSCAR,7.1342878522,5.2305,3.7313,451.0845,125.8109,-1.2702051335795E-01
Y_Mo3S4_2_1104078_POSCAR,7.7828594752,2.6846,2.6743,498.9517,125.8113,-1.1197862821558E-01
Y_Mo3S4_2_1104078_POSCAR,8.1071452866,1.7963,2.0117,1124.3968,125.8918,-1.0720232588575E-01
Y_Mo3S4_2_1104078_POSCAR,7.4585736637,3.8489,3.2737,451.0903,125.8109,-1.0728327922553E-01
Y_Mo3S4_2_1104078_POSCAR,8.4314310981,1.1694,1.4081,1169.5287,129.2343,-9.8471490492398E-02
Y_Mo3S4_2_1104078_POSCAR,8.7557169096,0.7531,0.9400,2304.4166,131.0196,-9.9315657488169E-02
Y_Mo3S4_2_1104078_POSCAR,9.4042885325,0.3195,0.4005,2365.8085,133.0502,-1.2008894728320E-01
Y_Mo3S4_2_1104078_POSCAR,9.0800027210,0.4871,0.6142,2364.7978,131.8407,-9.7314888944456E-02
Y_Mo3S4_2_1104078_POSCAR,9.7285743440,0.2136,0.2638,2365.8759,133.5985,-1.1689480685019E-01
Y_Mo3S4_2_1104078_POSCAR,10.0528601554,0.1460,0.1767,2365.8866,133.7878,-1.1151231939238E-01
Y_Mo3S4_2_1104078_POSCAR,10.3771459669,0.1020,0.1206,2365.8895,133.8628,-1.0410030935051E-01
Y_Mo3S4_2_1104078_POSCAR,10.7014317784,0.0728,0.0841,2365.8906,133.8978,-9.5081434368598E-02
Y_Mo3S4_2_1104078_POSCAR,11.0257175898,0.0530,0.0597,2365.8911,133.9164,-8.5407371374153E-02
Y_Mo3S4_2_1104078_POSCAR,11.6742892128,0.0296,0.0319,2365.8915,133.9339,-6.7386134367276E-02
Y_Mo3S4_2_1104078_POSCAR,11.3500034013,0.0392,0.0432,2365.8914,133.9272,-7.5990584325034E-02
Y_Mo3S4_2_1104078_POSCAR,11.9985750242,0.0228,0.0239,2365.8916,133.9382,-5.9766262684089E-02
Y_Mo3S4_2_1104078_POSCAR,12.3228608357,0.0177,0.0182,2365.8917,133.9412,-5.3062357688280E-02
Y_Mo3S4_2_1104078_POSCAR,12.6471466472,0.0140,0.0141,2365.8917,133.9433,-4.7119391889268E-02
Y_Mo3S4_2_1104078_POSCAR,12.9714324586,0.0112,0.0110,2365.8918,133.9448,-4.1785614842325E-02
Y_Mo3S4_2_1104078_POSCAR,13.2957182701,0.0091,0.0088,2365.8918,133.9459,-3.6964499205224E-02
Y_Mo3S4_2_1104078_POSCAR,13.6200040815,0.0074,0.0070,2365.8918,133.9467,-3.2604577963233E-02
Y_Mo3S4_2_1104078_POSCAR,14.2685757045,0.0051,0.0047,2365.8918,133.9477,-2.5171665084426E-02
Y_Mo3S4_2_1104078_POSCAR,13.9442898930,0.0061,0.0057,2365.8918,133.9473,-2.8679881749164E-02
Y_Mo3S4_2_1104078_POSCAR,14.5928615159,0.0043,0.0039,2365.8918,133.9481,-2.2066003861850E-02
Y_Mo3S4_2_1104078_POSCAR,14.9171473274,0.0036,0.0032,2365.8918,133.9484,-1.9332855167028E-02
Y_Mo3S4_2_1104078_POSCAR,15.2414331389,0.0031,0.0027,2365.8918,133.9486,-1.6942482855991E-02
Y_Mo3S4_2_1104078_POSCAR,15.5657189503,0.0027,0.0023,2365.8918,133.9488,-1.4859192451057E-02
Y_Mo3S4_2_1104078_POSCAR,15.8900047618,0.0023,0.0020,2365.8918,133.9490,-1.3049499461745E-02
