source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479,0.0000000000,read,real,scaling,value,N/A
Nb2Ni2O9_1370479_POSCAR,3.6349266450,20.4259,4.7842,428.8962,10.3708,-3.7517300637617E-01
Nb2Ni2O9_1370479_POSCAR,3.8772550880,15.7088,3.9153,428.8962,10.3708,-3.1303314477446E-01
Nb2Ni2O9_1370479_POSCAR,4.3619119740,9.9438,3.2129,428.8962,10.3708,-2.3976801939832E-01
Nb2Ni2O9_1370479_POSCAR,4.1195835310,12.2674,3.4565,428.8962,10.3708,-2.6933937823429E-01
Nb2Ni2O9_1370479_POSCAR,4.6042404170,8.5626,3.0494,428.8962,10.3708,-2.1647492630795E-01
Nb2Ni2O9_1370479_POSCAR,5.0888973030,7.2805,2.6019,428.8962,10.3711,-1.6709854799733E-01
Nb2Ni2O9_1370479_POSCAR,4.8465688600,7.7833,2.8699,428.8962,10.3708,-1.9277940196500E-01
Nb2Ni2O9_1370479_POSCAR,5.3312257460,6.8200,2.2144,428.8962,10.3778,-1.4001244876078E-01
Nb2Ni2O9_1370479_POSCAR,5.5735541890,6.2416,1.7459,428.8962,10.6346,-1.2517455643180E-01
Nb2Ni2O9_1370479_POSCAR,5.8158826320,5.4661,1.2789,428.8962,12.4148,-1.0899600206118E-01
Nb2Ni2O9_1370479_POSCAR,6.0582110750,4.5178,0.8816,428.8962,12.9090,-9.3978329478079E-02
Nb2Ni2O9_1370479_POSCAR,6.3005395180,3.5054,0.5826,428.9309,13.6778,-1.1081098816638E-01
Nb2Ni2O9_1370479_POSCAR,7.0275248470,1.2094,0.1583,597.5385,15.3237,-9.2165068209106E-02
Nb2Ni2O9_1370479_POSCAR,6.5428679610,2.5622,0.3769,467.5069,14.7204,-1.1069028682315E-01
Nb2Ni2O9_1370479_POSCAR,6.7851964040,1.7863,0.2431,579.5097,15.1705,-1.0372513186968E-01
Nb2Ni2O9_1370479_POSCAR,7.2698532900,0.8094,0.1049,1399.4898,15.3839,-1.0855037159938E-01
Nb2Ni2O9_1370479_POSCAR,7.9968386190,0.2525,0.0345,1475.2364,15.4347,-8.4863824694059E-02
Nb2Ni2O9_1370479_POSCAR,7.5121817330,0.5425,0.0709,1473.9802,15.4117,-9.9973378635456E-02
Nb2Ni2O9_1370479_POSCAR,7.7545101760,0.3674,0.0490,1475.1678,15.4263,-9.1732886577288E-02
Nb2Ni2O9_1370479_POSCAR,8.2391670620,0.1766,0.0249,1475.2458,15.4398,-7.8553780003581E-02
Nb2Ni2O9_1370479_POSCAR,8.7238239480,0.0910,0.0136,1475.2489,15.4453,-6.6019301630016E-02
Nb2Ni2O9_1370479_POSCAR,8.9661523910,0.0669,0.0104,1475.2493,15.4469,-5.9764580445776E-02
Nb2Ni2O9_1370479_POSCAR,8.4814955050,0.1256,0.0182,1475.2481,15.4431,-7.2319036124918E-02
Nb2Ni2O9_1370479_POSCAR,9.2084808340,0.0501,0.0080,1475.2494,15.4479,-5.3781670403813E-02
Nb2Ni2O9_1370479_POSCAR,9.4508092770,0.0380,0.0063,1475.2495,15.4487,-4.8260419761428E-02
Nb2Ni2O9_1370479_POSCAR,9.9354661630,0.0229,0.0040,1475.2496,15.4497,-3.8913242720935E-02
Nb2Ni2O9_1370479_POSCAR,9.6931377200,0.0293,0.0050,1475.2496,15.4493,-4.3303798273439E-02
Nb2Ni2O9_1370479_POSCAR,10.1777946060,0.0181,0.0033,1475.2497,15.4500,-3.5032740390212E-02
Nb2Ni2O9_1370479_POSCAR,10.4201230490,0.0145,0.0027,1475.2497,15.4503,-3.1574285783302E-02
Nb2Ni2O9_1370479_POSCAR,10.9047799350,0.0095,0.0019,1475.2497,15.4506,-2.5620847747948E-02
Nb2Ni2O9_1370479_POSCAR,10.6624514920,0.0117,0.0022,1475.2497,15.4505,-2.8457244324896E-02
Nb2Ni2O9_1370479_POSCAR,11.1471083780,0.0079,0.0016,1475.2497,15.4508,-2.3023344691856E-02
Nb2Ni2O9_1370479_POSCAR,11.8740937070,0.0046,0.0010,1475.2497,15.4510,-1.6489527167505E-02
Nb2Ni2O9_1370479_POSCAR,11.3894368210,0.0065,0.0013,1475.2497,15.4509,-2.0641629450373E-02
Nb2Ni2O9_1370479_POSCAR,11.6317652640,0.0055,0.0011,1475.2497,15.4509,-1.8467125914551E-02
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749,0.0000000000,read,real,scaling,value,N/A
Nb2Ni4O9_646749_POSCAR,4.3541530500,15.7022,4.1932,428.8962,10.3708,-7.2446932721357E-01
Nb2Ni4O9_646749_POSCAR,3.8418997500,23.8395,5.0057,428.8962,10.3708,-1.0214923015559E+00
Nb2Ni4O9_646749_POSCAR,4.0980264000,19.4874,4.4626,428.8962,10.3708,-8.3945261762591E-01
Nb2Ni4O9_646749_POSCAR,4.6102797000,12.6840,3.9958,428.8962,10.3708,-6.5242146503163E-01
