source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085,0.0000000000,read,real,scaling,value,N/A
Nb2PdS5_1106085_POSCAR,4.6408095244,15.5375,13.9312,428.8962,125.8109,-4.2629121911350E-01
Nb2PdS5_1106085_POSCAR,5.2595841277,12.7286,8.9808,428.8962,125.8109,-2.8243065944825E-01
Nb2PdS5_1106085_POSCAR,5.5689714293,11.9488,7.2643,428.8962,125.8109,-2.3351599974838E-01
Nb2PdS5_1106085_POSCAR,4.9501968260,13.7770,11.2676,428.8962,125.8109,-3.4522289189030E-01
Nb2PdS5_1106085_POSCAR,6.1877460325,9.9153,5.3306,428.8962,125.8109,-1.6439186886914E-01
Nb2PdS5_1106085_POSCAR,5.8783587309,11.0635,6.1238,428.8962,125.8109,-1.9473826165924E-01
Nb2PdS5_1106085_POSCAR,6.4971333342,8.6015,4.6071,428.8962,125.8109,-1.4119377208740E-01
Nb2PdS5_1106085_POSCAR,6.8065206358,7.3000,3.7836,428.8962,125.8109,-1.2438303988921E-01
Nb2PdS5_1106085_POSCAR,7.4252952391,4.8203,2.0102,428.8962,125.8928,-1.0037049095818E-01
Nb2PdS5_1106085_POSCAR,7.1159079374,6.0568,2.8712,428.8962,125.8110,-1.1118948974647E-01
Nb2PdS5_1106085_POSCAR,7.7346825407,3.6084,1.3256,428.9118,129.9069,-9.3808168684607E-02
Nb2PdS5_1106085_POSCAR,8.0440698423,2.5372,0.8473,473.3561,131.1408,-1.0134761885001E-01
Nb2PdS5_1106085_POSCAR,8.6628444456,1.1183,0.3446,647.5633,133.3149,-1.1222358960896E-01
Nb2PdS5_1106085_POSCAR,8.3534571439,1.7039,0.5379,580.0203,132.2547,-1.0399648347315E-01
Nb2PdS5_1106085_POSCAR,8.9722317472,0.7312,0.2248,1451.5778,133.6963,-1.3163491163755E-01
Nb2PdS5_1106085_POSCAR,9.2816190488,0.4822,0.1498,1474.7552,133.8274,-1.2298834248402E-01
Nb2PdS5_1106085_POSCAR,9.5910063504,0.3229,0.1021,1475.2090,133.8817,-1.1326972863198E-01
Nb2PdS5_1106085_POSCAR,9.9003936521,0.2203,0.0712,1475.2418,133.9080,-1.0280968132192E-01
Nb2PdS5_1106085_POSCAR,10.2097809537,0.1533,0.0507,1475.2471,133.9224,-9.1970270988093E-02
Nb2PdS5_1106085_POSCAR,10.5191682553,0.1087,0.0369,1475.2486,133.9310,-8.1383991937809E-02
Nb2PdS5_1106085_POSCAR,11.1379428586,0.0578,0.0206,1475.2494,133.9400,-6.2887796901470E-02
Nb2PdS5_1106085_POSCAR,10.8285555570,0.0786,0.0273,1475.2491,133.9364,-7.1598154455263E-02
Nb2PdS5_1106085_POSCAR,11.4473301602,0.0433,0.0158,1475.2495,133.9424,-5.5268100722154E-02
