source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392,0.0000000000,read,real,scaling,value,N/A
NbRhO4_1173392_POSCAR,4.2392546100,12.2128,3.1161,428.8962,10.3708,-5.9418382218357E-02
NbRhO4_1173392_POSCAR,4.0037404650,14.7414,3.2381,428.8962,10.3708,-6.9735986907091E-02
NbRhO4_1173392_POSCAR,3.5327121750,21.4467,4.0434,428.8962,10.3708,-1.0227660798039E-01
NbRhO4_1173392_POSCAR,3.7682263200,17.7028,3.4828,428.8962,10.3708,-8.3651837387606E-02
NbRhO4_1173392_POSCAR,4.4747687550,10.3127,3.0317,428.8962,10.3708,-5.1513672792427E-02
NbRhO4_1173392_POSCAR,4.7102829000,9.0235,2.9333,428.8962,10.3708,-4.5247211492816E-02
NbRhO4_1173392_POSCAR,5.1813111900,7.1634,2.5337,428.8962,10.3714,-3.5258990741299E-02
NbRhO4_1173392_POSCAR,4.9457970450,8.0588,2.7776,428.8962,10.3709,-4.0041483283738E-02
NbRhO4_1173392_POSCAR,5.4168253350,6.2074,2.1986,428.8962,10.3788,-3.0655489532738E-02
NbRhO4_1173392_POSCAR,5.6523394800,5.1443,1.7971,428.8962,10.5528,-2.9537968269903E-02
NbRhO4_1173392_POSCAR,6.1233677700,2.9188,0.9820,432.0891,12.8234,-2.8856225044971E-02
NbRhO4_1173392_POSCAR,5.8878536250,4.0071,1.3729,428.8969,12.0928,-2.6541714716592E-02
NbRhO4_1173392_POSCAR,7.0654243500,0.5844,0.1908,1472.8104,15.2747,-3.1135561262330E-02
NbRhO4_1173392_POSCAR,6.5943960600,1.3421,0.4414,582.7096,14.4085,-2.7313565939683E-02
NbRhO4_1173392_POSCAR,6.8299102050,0.8843,0.2894,1268.3573,15.0468,-3.2508899833566E-02
NbRhO4_1173392_POSCAR,6.3588819150,2.0124,0.6678,574.5952,13.3335,-3.0184337852243E-02
NbRhO4_1173392_POSCAR,7.3009384950,0.3908,0.1275,1475.1314,15.3611,-2.8279996864495E-02
NbRhO4_1173392_POSCAR,8.0074809300,0.1301,0.0425,1475.2480,15.4302,-2.1028123587419E-02
NbRhO4_1173392_POSCAR,7.7719667850,0.1842,0.0601,1475.2453,15.4192,-2.3343340513082E-02
NbRhO4_1173392_POSCAR,7.5364526400,0.2658,0.0867,1475.2332,15.3996,-2.5733174491975E-02
NbRhO4_1173392_POSCAR,8.2429950750,0.0936,0.0306,1475.2489,15.4368,-1.8794616469547E-02
NbRhO4_1173392_POSCAR,8.7140233650,0.0511,0.0168,1475.2494,15.4439,-1.4806530951528E-02
NbRhO4_1173392_POSCAR,8.4785092200,0.0686,0.0225,1475.2492,15.4410,-1.6702365216348E-02
NbRhO4_1173392_POSCAR,8.9495375100,0.0387,0.0127,1475.2495,15.4458,-1.3133519586651E-02
NbRhO4_1173392_POSCAR,9.1850516550,0.0298,0.0098,1475.2496,15.4471,-1.1674026915995E-02
NbRhO4_1173392_POSCAR,9.4205658000,0.0232,0.0076,1475.2496,15.4481,-1.0399104882236E-02
NbRhO4_1173392_POSCAR,9.6560799450,0.0183,0.0060,1475.2496,15.4488,-9.2750153748164E-03
NbRhO4_1173392_POSCAR,9.8915940900,0.0146,0.0048,1475.2497,15.4493,-8.2708772564116E-03
NbRhO4_1173392_POSCAR,10.1271082350,0.0118,0.0039,1475.2497,15.4497,-7.3659948260565E-03
NbRhO4_1173392_POSCAR,10.5981365250,0.0079,0.0026,1475.2497,15.4503,-5.8066983706402E-03
NbRhO4_1173392_POSCAR,10.3626223800,0.0096,0.0032,1475.2497,15.4501,-6.5469267557340E-03
NbRhO4_1173392_POSCAR,10.8336506700,0.0065,0.0022,1475.2497,15.4505,-5.1418689301892E-03
NbRhO4_1173392_POSCAR,11.5401931050,0.0039,0.0013,1475.2497,15.4509,-3.5523579078767E-03
NbRhO4_1173392_POSCAR,11.0691648150,0.0055,0.0018,1475.2497,15.4506,-4.5475037961991E-03
NbRhO4_1173392_POSCAR,11.3046789600,0.0046,0.0016,1475.2497,15.4508,-4.0188852202817E-03
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
NbRhO4_756638,0.0000000000,read,real,scaling,value,N/A
