source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345,0.0000000000,read,real,scaling,value,N/A
NiPdO3_1186345_POSCAR,2.7675645000,15.6370,6.6328,128.7820,10.3708,-9.7520224200591E-02
NiPdO3_1186345_POSCAR,3.1365731000,11.0439,4.6439,128.7830,10.3708,-6.3395895293453E-02
NiPdO3_1186345_POSCAR,3.3210774000,8.9848,3.6387,128.8481,10.3708,-5.5232923662921E-02
NiPdO3_1186345_POSCAR,2.9520688000,13.3637,5.6709,128.7820,10.3708,-7.7216113751666E-02
NiPdO3_1186345_POSCAR,3.6900860000,6.5357,2.3867,134.3404,10.3726,-5.1596742129885E-02
NiPdO3_1186345_POSCAR,3.5055817000,7.5279,2.8856,129.9514,10.3708,-5.1367956590503E-02
NiPdO3_1186345_POSCAR,3.8745903000,5.6757,2.0073,139.3777,10.4071,-4.9942890303726E-02
NiPdO3_1186345_POSCAR,4.0590946000,4.7059,1.6345,141.4599,10.9264,-6.4928253228397E-02
NiPdO3_1186345_POSCAR,4.4281032000,2.5286,0.8673,178.3311,12.9242,-5.6544859790361E-02
NiPdO3_1186345_POSCAR,4.2435989000,3.6006,1.2395,178.3311,12.5122,-6.4741052752700E-02
NiPdO3_1186345_POSCAR,4.6126075000,1.6657,0.5710,178.3353,13.7328,-4.9204510889860E-02
NiPdO3_1186345_POSCAR,4.7971118000,1.0621,0.3646,201.6738,14.7733,-4.4223603917764E-02
NiPdO3_1186345_POSCAR,4.9816161000,0.6727,0.2316,554.4646,15.1963,-5.1805020601730E-02
NiPdO3_1186345_POSCAR,5.1661204000,0.4303,0.1487,574.0873,15.3362,-4.4293850783846E-02
NiPdO3_1186345_POSCAR,5.3506247000,0.2803,0.0973,574.6673,15.3906,-3.7380115216928E-02
