source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848,0.0000000000,read,real,scaling,value,N/A
NiRuO3_976848_POSCAR,2.7882330000,15.6377,6.6561,128.7820,10.3708,-8.7398034106693E-02
NiRuO3_976848_POSCAR,2.9741152000,13.6356,5.8462,128.7820,10.3708,-6.9835649696092E-02
NiRuO3_976848_POSCAR,3.1599974000,11.5166,4.9530,128.7824,10.3708,-5.7277018143417E-02
NiRuO3_976848_POSCAR,3.3458796000,9.4314,3.9578,128.8088,10.3708,-4.9813986661718E-02
NiRuO3_976848_POSCAR,3.5317618000,7.8136,3.1105,129.4630,10.3708,-4.6279604417202E-02
NiRuO3_976848_POSCAR,3.7176440000,6.6619,2.5082,133.5390,10.3715,-5.5106471170194E-02
NiRuO3_976848_POSCAR,3.9035262000,5.6743,2.0516,139.3834,10.3964,-5.3284108278629E-02
NiRuO3_976848_POSCAR,4.0894084000,4.6081,1.6268,141.5330,10.9533,-5.3078208242295E-02
NiRuO3_976848_POSCAR,4.4611728000,2.3812,0.8264,178.3311,12.9746,-5.1248168571815E-02
NiRuO3_976848_POSCAR,4.2752906000,3.4521,1.2041,178.3311,12.5833,-5.8988427014651E-02
NiRuO3_976848_POSCAR,4.6470550000,1.5497,0.5373,178.3534,13.9012,-4.4770795849885E-02
NiRuO3_976848_POSCAR,4.8329372000,0.9819,0.3410,244.9759,14.8690,-4.3049551660374E-02
NiRuO3_976848_POSCAR,5.0188194000,0.6206,0.2163,564.8955,15.2282,-4.8791683037765E-02
NiRuO3_976848_POSCAR,5.2047016000,0.3972,0.1390,574.3355,15.3481,-4.1452737763923E-02
NiRuO3_976848_POSCAR,5.3905838000,0.2591,0.0912,574.6873,15.3959,-3.4942843554494E-02
NiRuO3_976848_POSCAR,5.7623482000,0.1182,0.0422,574.7361,15.4304,-2.5098010218092E-02
NiRuO3_976848_POSCAR,5.5764660000,0.1730,0.0613,574.7272,15.4184,-2.9525825536343E-02
NiRuO3_976848_POSCAR,6.1341126000,0.0590,0.0214,574.7404,15.4416,-1.8581588183815E-02
NiRuO3_976848_POSCAR,5.9482304000,0.0826,0.0297,574.7391,15.4373,-2.1501363255329E-02
NiRuO3_976848_POSCAR,6.3199948000,0.0430,0.0157,574.7411,15.4444,-1.6190663371384E-02
NiRuO3_976848_POSCAR,6.5058770000,0.0319,0.0117,574.7414,15.4462,-1.4200791742244E-02
NiRuO3_976848_POSCAR,6.6917592000,0.0242,0.0090,574.7417,15.4475,-1.2502690482733E-02
NiRuO3_976848_POSCAR,6.8776414000,0.0186,0.0070,574.7418,15.4484,-1.1016271828767E-02
NiRuO3_976848_POSCAR,7.0635236000,0.0145,0.0055,574.7419,15.4491,-9.6968892508237E-03
NiRuO3_976848_POSCAR,7.2494058000,0.0114,0.0044,574.7420,15.4495,-8.5292674277049E-03
NiRuO3_976848_POSCAR,7.4352880000,0.0091,0.0035,574.7420,15.4499,-7.5055008508495E-03
NiRuO3_976848_POSCAR,7.6211702000,0.0074,0.0029,574.7421,15.4502,-6.6208069450133E-03
NiRuO3_976848_POSCAR,7.8070524000,0.0060,0.0024,574.7421,15.4504,-5.8618541480781E-03
NiRuO3_976848_POSCAR,7.9929346000,0.0050,0.0020,574.7421,15.4506,-5.2127055475248E-03
NiRuO3_976848_POSCAR,8.1788168000,0.0042,0.0017,574.7421,15.4507,-4.6534982844077E-03
NiRuO3_976848_POSCAR,8.3646990000,0.0035,0.0014,574.7422,15.4508,-4.1652987403956E-03
NiRuO3_976848_POSCAR,8.5505812000,0.0030,0.0012,574.7422,15.4509,-3.7339565412494E-03
NiRuO3_976848_POSCAR,8.9223456000,0.0022,0.0009,574.7422,15.4510,-3.0007121569387E-03
NiRuO3_976848_POSCAR,8.7364634000,0.0026,0.0010,574.7422,15.4510,-3.3485461592329E-03
NiRuO3_976848_POSCAR,9.1082278000,0.0019,0.0008,574.7422,15.4511,-2.6871079625350E-03
