source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735,0.0000000000,read,real,scaling,value,N/A
Ti3Ni3O_504735_POSCAR,5.3833807757,19.0312,6.6640,321.5890,10.3708,-8.3926043072881E-01
Ti3Ni3O_504735_POSCAR,5.7198420742,17.3824,6.3189,321.5890,10.3708,-7.1304806160361E-01
Ti3Ni3O_504735_POSCAR,5.0469194772,22.0830,7.4408,321.5890,10.3708,-9.9919677322496E-01
Ti3Ni3O_504735_POSCAR,6.0563033727,16.3190,6.1375,321.5890,10.3708,-6.0485236261608E-01
Ti3Ni3O_504735_POSCAR,6.7292259696,13.5695,5.7588,321.5890,10.3708,-4.1246231526876E-01
Ti3Ni3O_504735_POSCAR,6.3927646711,15.2055,5.9854,321.5890,10.3708,-5.0356825184191E-01
Ti3Ni3O_504735_POSCAR,7.0656872681,11.2521,5.3455,321.5890,10.3708,-3.3973505482638E-01
Ti3Ni3O_504735_POSCAR,7.4021485666,8.5452,4.6532,321.5890,10.3708,-2.9084763254038E-01
Ti3Ni3O_504735_POSCAR,7.7386098651,5.9738,3.7054,321.5890,10.3708,-2.7455636174308E-01
Ti3Ni3O_504735_POSCAR,8.4115324620,2.4821,1.8052,302.0457,10.5422,-2.1575107971117E-01
Ti3Ni3O_504735_POSCAR,8.0750711635,3.9213,2.6849,321.5890,10.3710,-2.4229491406008E-01
Ti3Ni3O_504735_POSCAR,8.7479937605,1.5534,1.1627,302.0529,12.6499,-3.1267211217911E-01
Ti3Ni3O_504735_POSCAR,9.0844550590,0.9785,0.7381,512.6089,13.1346,-4.6065680683029E-01
Ti3Ni3O_504735_POSCAR,9.4209163575,0.6270,0.4707,1340.1969,14.2543,-7.4706338280252E-01
Ti3Ni3O_504735_POSCAR,9.7573776560,0.4106,0.3048,1360.9871,14.9982,-7.3141230491435E-01
Ti3Ni3O_504735_POSCAR,10.0938389544,0.2754,0.2014,1361.7898,15.2563,-6.9229202476683E-01
Ti3Ni3O_504735_POSCAR,10.4303002529,0.1890,0.1359,1361.8821,15.3516,-6.3909016626487E-01
Ti3Ni3O_504735_POSCAR,10.7667615514,0.1328,0.0938,1361.9025,15.3937,-5.7854202024876E-01
Ti3Ni3O_504735_POSCAR,11.4396841484,0.0697,0.0476,1361.9122,15.4272,-4.5883192046418E-01
Ti3Ni3O_504735_POSCAR,11.1032228499,0.0952,0.0662,1361.9093,15.4151,-5.1700917378293E-01
Ti3Ni3O_504735_POSCAR,12.1126067453,0.0393,0.0260,1361.9144,15.4392,-3.5866543601493E-01
Ti3Ni3O_504735_POSCAR,11.7761454468,0.0519,0.0349,1361.9136,15.4345,-4.0595121275812E-01
Ti3Ni3O_504735_POSCAR,12.4490680438,0.0302,0.0197,1361.9149,15.4424,-3.1648503475918E-01
Ti3Ni3O_504735_POSCAR,12.7855293423,0.0236,0.0152,1361.9153,15.4446,-2.7880275725674E-01
Ti3Ni3O_504735_POSCAR,13.1219906408,0.0187,0.0119,1361.9155,15.4462,-2.4509681426761E-01
Ti3Ni3O_504735_POSCAR,13.4584519392,0.0150,0.0094,1361.9157,15.4473,-2.1497996233235E-01
Ti3Ni3O_504735_POSCAR,13.7949132377,0.0121,0.0075,1361.9158,15.4482,-1.8817214758742E-01
Ti3Ni3O_504735_POSCAR,14.1313745362,0.0099,0.0061,1361.9159,15.4488,-1.6446789526459E-01
Ti3Ni3O_504735_POSCAR,14.4678358347,0.0082,0.0050,1361.9159,15.4493,-1.4360839047324E-01
Ti3Ni3O_504735_POSCAR,14.8042971332,0.0068,0.0041,1361.9160,15.4497,-1.2534499885882E-01
Ti3Ni3O_504735_POSCAR,15.4772197301,0.0049,0.0029,1361.9160,15.4502,-9.5602339909252E-02
Ti3Ni3O_504735_POSCAR,15.1407584317,0.0057,0.0034,1361.9160,15.4500,-1.0942702208540E-01
Ti3Ni3O_504735_POSCAR,16.4866036256,0.0030,0.0018,1361.9161,15.4507,-6.4238946912449E-02
Ti3Ni3O_504735_POSCAR,15.8136810286,0.0041,0.0024,1361.9161,15.4504,-8.3611401799328E-02
Ti3Ni3O_504735_POSCAR,16.1501423271,0.0035,0.0021,1361.9161,15.4505,-7.3219738181819E-02
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
Ti4Ni2O_1217223,0.0000000000,read,real,scaling,value,N/A
