source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814,0.0000000000,read,real,scaling,value,N/A
ZnNi2S5_1374814_POSCAR,3.0320494500,8.6979,7.8339,153.4528,125.8109,-2.0979949758370E-01
ZnNi2S5_1374814_POSCAR,2.6753377500,11.7617,12.5235,153.4528,125.8109,-3.0947810627542E-01
ZnNi2S5_1374814_POSCAR,2.8536936000,10.0525,10.1168,153.4528,125.8109,-2.5195027238174E-01
ZnNi2S5_1374814_POSCAR,3.2104053000,7.5565,6.1332,153.4528,125.8109,-1.7594946629451E-01
ZnNi2S5_1374814_POSCAR,3.7454728500,4.2957,3.8761,153.4528,125.8109,-1.1027165330826E-01
