source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927,0.0000000000,read,real,scaling,value,N/A
Zr3NiO_18927_POSCAR,2.5101772500,24.1239,7.3029,458.6896,10.3708,-3.4194644988817E-01
Zr3NiO_18927_POSCAR,2.8448675500,18.5616,6.2843,458.6896,10.3708,-2.3748012290149E-01
Zr3NiO_18927_POSCAR,3.0122127000,17.1652,6.1100,458.6896,10.3708,-1.9543774222016E-01
Zr3NiO_18927_POSCAR,2.6775224000,20.6095,6.5996,458.6896,10.3708,-2.8579379803064E-01
Zr3NiO_18927_POSCAR,3.1795578500,15.8439,5.9453,458.6896,10.3708,-1.5957961999865E-01
Zr3NiO_18927_POSCAR,3.3469030000,14.2455,5.6802,458.6896,10.3708,-1.3037519016587E-01
Zr3NiO_18927_POSCAR,3.5142481500,12.1733,5.1971,458.6896,10.3708,-1.0831359368956E-01
Zr3NiO_18927_POSCAR,3.6815933000,9.6484,4.4208,458.6896,10.3708,-9.2741371519407E-02
Zr3NiO_18927_POSCAR,4.0162836000,4.7269,2.4124,458.6896,10.3723,-7.8783268725919E-02
Zr3NiO_18927_POSCAR,3.8489384500,7.0128,3.4210,458.6896,10.3708,-8.2080130551444E-02
Zr3NiO_18927_POSCAR,4.1836287500,3.0353,1.5898,473.1233,11.0944,-7.5770206963572E-02
Zr3NiO_18927_POSCAR,4.3509739000,1.9105,1.0120,568.6793,12.8007,-8.6862691278649E-02
Zr3NiO_18927_POSCAR,4.5183190500,1.2042,0.6391,589.9594,13.4369,-9.8362976331611E-02
Zr3NiO_18927_POSCAR,4.6856642000,0.7697,0.4071,1749.2668,14.5803,-2.3551400619715E-01
Zr3NiO_18927_POSCAR,4.8530093500,0.5021,0.2640,1821.4855,15.1187,-2.3942358279185E-01
