source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836,0.0000000000,read,real,scaling,value,N/A
ZnOsO3_1016836_POSCAR,3.1175032000,16.3884,4.8835,153.4528,10.3708,-6.2827344019992E-02
ZnOsO3_1016836_POSCAR,2.9226592500,20.9919,5.9567,153.4528,10.3708,-7.7661619143538E-02
ZnOsO3_1016836_POSCAR,3.3123471500,11.2428,3.8026,153.4528,10.3708,-5.1367623307875E-02
ZnOsO3_1016836_POSCAR,3.5071911000,6.7971,2.9925,153.4528,10.3708,-4.2995383243470E-02
ZnOsO3_1016836_POSCAR,3.7020350500,3.7832,2.5102,153.4528,10.3715,-3.7552826418632E-02
ZnOsO3_1016836_POSCAR,3.8968790000,2.0514,2.2314,153.4528,10.3770,-3.4306902989855E-02
ZnOsO3_1016836_POSCAR,4.0917229500,1.1286,2.0290,164.9171,10.4014,-3.2963016660645E-02
ZnOsO3_1016836_POSCAR,4.2865669000,0.6423,1.8136,339.1153,10.5318,-3.9909982922195E-02
ZnOsO3_1016836_POSCAR,4.4814108500,0.3805,1.5358,340.4970,11.3312,-4.2794900794758E-02
ZnOsO3_1016836_POSCAR,4.6762548000,0.2347,1.2013,340.5188,12.5884,-3.8993086414276E-02
ZnOsO3_1016836_POSCAR,5.0659427000,0.0997,0.5851,340.5210,13.6662,-2.9217717609714E-02
ZnOsO3_1016836_POSCAR,4.8710987500,0.1504,0.8653,340.5206,12.9264,-3.3830235725332E-02
ZnOsO3_1016836_POSCAR,5.2607866500,0.0683,0.3821,340.5211,14.6970,-2.5524766371821E-02
ZnOsO3_1016836_POSCAR,5.6504745500,0.0347,0.1606,340.5212,15.3205,-2.2252485715374E-02
ZnOsO3_1016836_POSCAR,5.4556306000,0.0479,0.2470,340.5212,15.1613,-2.5724865847793E-02
ZnOsO3_1016836_POSCAR,5.8453185000,0.0256,0.1061,340.5212,15.3828,-1.9114345991193E-02
ZnOsO3_1016836_POSCAR,6.0401624500,0.0194,0.0714,340.5212,15.4113,-1.6474497318217E-02
