source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816,0.0000000000,read,real,scaling,value,N/A
Pt2Rh2O5_1186816_POSCAR,2.9868218000,14.6544,4.2269,336.8727,10.3708,-1.3980365887110E-01
Pt2Rh2O5_1186816_POSCAR,2.8111264000,17.6172,4.5428,336.8727,10.3708,-1.7289658573819E-01
Pt2Rh2O5_1186816_POSCAR,3.1625172000,11.6666,4.0056,336.8727,10.3708,-1.1493248449621E-01
Pt2Rh2O5_1186816_POSCAR,2.6354310000,19.8520,5.1999,336.8727,10.3708,-2.1334948640024E-01
Pt2Rh2O5_1186816_POSCAR,3.3382126000,9.1846,3.7277,336.8727,10.3708,-9.8633568400560E-02
Pt2Rh2O5_1186816_POSCAR,3.6896034000,5.0014,2.6769,336.8727,10.3710,-8.3008122646227E-02
Pt2Rh2O5_1186816_POSCAR,3.5139080000,7.0238,3.2905,336.8727,10.3708,-8.9399901371440E-02
Pt2Rh2O5_1186816_POSCAR,3.8652988000,3.2757,1.9831,346.3610,10.4146,-7.8294952575342E-02
Pt2Rh2O5_1186816_POSCAR,4.0409942000,2.0248,1.3492,346.3610,12.1861,-7.8261569427040E-02
Pt2Rh2O5_1186816_POSCAR,4.2166896000,1.2247,0.8646,347.0585,12.9272,-7.4312798025708E-02
Pt2Rh2O5_1186816_POSCAR,4.5680804000,0.4619,0.3342,391.1217,14.8950,-7.9993872652804E-02
Pt2Rh2O5_1186816_POSCAR,4.3923850000,0.7448,0.5384,389.4345,13.8960,-7.4530440103350E-02
Pt2Rh2O5_1186816_POSCAR,4.7437758000,0.2941,0.2102,391.1430,15.2400,-7.0668716277228E-02
Pt2Rh2O5_1186816_POSCAR,5.0951666000,0.1296,0.0889,391.1447,15.3978,-5.5830309762713E-02
Pt2Rh2O5_1186816_POSCAR,4.9194712000,0.1926,0.1350,391.1444,15.3527,-6.2713176744150E-02
Pt2Rh2O5_1186816_POSCAR,5.2708620000,0.0895,0.0600,391.1447,15.4193,-4.9615380111426E-02
Pt2Rh2O5_1186816_POSCAR,5.4465574000,0.0634,0.0415,391.1447,15.4308,-4.3850650856691E-02
Pt2Rh2O5_1186816_POSCAR,5.6222528000,0.0458,0.0294,391.1448,15.4375,-3.8486824126024E-02
Pt2Rh2O5_1186816_POSCAR,5.7979482000,0.0339,0.0212,391.1448,15.4417,-3.3572163541149E-02
Pt2Rh2O5_1186816_POSCAR,5.9736436000,0.0255,0.0157,391.1448,15.4444,-2.9180703697798E-02
Pt2Rh2O5_1186816_POSCAR,6.1493390000,0.0196,0.0118,391.1448,15.4462,-2.5347406245743E-02
Pt2Rh2O5_1186816_POSCAR,6.3250344000,0.0152,0.0090,391.1448,15.4475,-2.2052737224608E-02
Pt2Rh2O5_1186816_POSCAR,6.5007298000,0.0119,0.0070,391.1448,15.4484,-1.9233807353697E-02
Pt2Rh2O5_1186816_POSCAR,6.8521206000,0.0077,0.0044,391.1448,15.4495,-1.4716858134083E-02
Pt2Rh2O5_1186816_POSCAR,6.6764252000,0.0095,0.0055,391.1448,15.4490,-1.6812834357206E-02
Pt2Rh2O5_1186816_POSCAR,7.0278160000,0.0064,0.0036,391.1448,15.4499,-1.2885754301360E-02
Pt2Rh2O5_1186816_POSCAR,7.2035114000,0.0052,0.0029,391.1448,15.4502,-1.1277150531126E-02
Pt2Rh2O5_1186816_POSCAR,7.3792068000,0.0044,0.0024,391.1448,15.4504,-9.8616660297189E-03
Pt2Rh2O5_1186816_POSCAR,7.5549022000,0.0037,0.0020,391.1448,15.4506,-8.6187282008173E-03
Pt2Rh2O5_1186816_POSCAR,7.9062930000,0.0027,0.0014,391.1448,15.4508,-6.5815131271990E-03
Pt2Rh2O5_1186816_POSCAR,7.7305976000,0.0031,0.0017,391.1448,15.4507,-7.5307227815822E-03
Pt2Rh2O5_1186816_POSCAR,8.0819884000,0.0023,0.0012,391.1448,15.4509,-5.7566960147959E-03
Pt2Rh2O5_1186816_POSCAR,8.2576838000,0.0020,0.0011,391.1448,15.4510,-5.0413266012399E-03
Pt2Rh2O5_1186816_POSCAR,8.4333792000,0.0017,0.0009,391.1448,15.4510,-4.4218887424319E-03
Pt2Rh2O5_1186816_POSCAR,8.6090746000,0.0015,0.0008,391.1448,15.4511,-3.8861421935186E-03
