source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
Ta2Pt3S8_560046,0.0000000000,read,real,scaling,value,N/A
