source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693,0.0000000000,read,real,scaling,value,N/A
ReWO6_1404693_POSCAR,3.5204926948,12.0440,2.6835,332.1448,10.3710,-7.8487624097546E-02
ReWO6_1404693_POSCAR,3.9898917207,8.8875,2.1603,332.1448,10.3816,-5.8319676286474E-02
ReWO6_1404693_POSCAR,4.2245912337,7.6198,2.0855,332.1448,10.3904,-4.8487950485991E-02
ReWO6_1404693_POSCAR,3.7551922077,10.5045,2.3180,332.1448,10.3739,-6.8053894419592E-02
ReWO6_1404693_POSCAR,4.6939902597,6.3956,2.0083,332.1448,10.4068,-3.6037857468338E-02
ReWO6_1404693_POSCAR,4.9286897727,6.0728,1.9596,332.1448,10.4235,-3.2503573880130E-02
ReWO6_1404693_POSCAR,4.4592907467,6.8446,2.0433,332.1448,10.3981,-4.0284224139341E-02
ReWO6_1404693_POSCAR,5.1633892856,5.7156,1.8720,560.6671,10.4744,-3.2977991558691E-02
ReWO6_1404693_POSCAR,5.3980887986,5.1950,1.7172,561.4338,10.6936,-2.8947760766803E-02
ReWO6_1404693_POSCAR,5.6327883116,4.4430,1.4784,561.4338,11.6074,-2.5488255312361E-02
ReWO6_1404693_POSCAR,5.8674878246,3.5118,1.1749,561.4338,12.6319,-2.2127065958238E-02
ReWO6_1404693_POSCAR,6.1021873376,2.5656,0.8620,561.4338,12.9301,-1.8668604702769E-02
ReWO6_1404693_POSCAR,6.3368868506,1.7644,0.5945,561.4348,13.6229,-1.5985637070094E-02
ReWO6_1404693_POSCAR,6.5715863636,1.1718,0.3955,566.5193,14.6353,-1.4005636962828E-02
ReWO6_1404693_POSCAR,6.8062858765,0.7689,0.2597,799.7553,15.1297,-1.5046513452715E-02
ReWO6_1404693_POSCAR,7.0409853895,0.5061,0.1710,835.3964,15.3058,-1.3432810543867E-02
ReWO6_1404693_POSCAR,7.2756849025,0.3372,0.1139,836.2498,15.3752,-1.1946234596828E-02
ReWO6_1404693_POSCAR,7.5103844155,0.2285,0.0772,836.3142,15.4071,-1.0878990379000E-02
ReWO6_1404693_POSCAR,7.7450839285,0.1578,0.0532,836.3250,15.4236,-1.0170136917436E-02
ReWO6_1404693_POSCAR,7.9797834415,0.1110,0.0374,836.3279,15.4331,-9.7364854384524E-03
ReWO6_1404693_POSCAR,8.2144829544,0.0796,0.0269,836.3291,15.4388,-9.4717880925127E-03
ReWO6_1404693_POSCAR,8.4491824674,0.0581,0.0196,836.3296,15.4425,-9.2575108235855E-03
ReWO6_1404693_POSCAR,8.6838819804,0.0431,0.0145,836.3299,15.4449,-8.9923313754331E-03
ReWO6_1404693_POSCAR,8.9185814934,0.0324,0.0110,836.3300,15.4466,-8.6158998289062E-03
ReWO6_1404693_POSCAR,9.3879805194,0.0193,0.0065,836.3302,15.4486,-7.5449461910421E-03
ReWO6_1404693_POSCAR,9.1532810064,0.0248,0.0084,836.3301,15.4478,-8.1214789574680E-03
ReWO6_1404693_POSCAR,9.6226800323,0.0151,0.0051,836.3302,15.4492,-6.9399117624226E-03
ReWO6_1404693_POSCAR,9.8573795453,0.0120,0.0041,836.3303,15.4497,-6.3525661082507E-03
ReWO6_1404693_POSCAR,10.3267785713,0.0079,0.0027,836.3303,15.4503,-5.3219769492034E-03
ReWO6_1404693_POSCAR,10.0920790583,0.0097,0.0033,836.3303,15.4500,-5.8102028143246E-03
ReWO6_1404693_POSCAR,10.5614780843,0.0065,0.0022,836.3303,15.4505,-4.8834533788953E-03
ReWO6_1404693_POSCAR,10.7961775973,0.0054,0.0018,836.3303,15.4507,-4.4856292715552E-03
ReWO6_1404693_POSCAR,11.0308771102,0.0044,0.0015,836.3303,15.4508,-4.1188325398975E-03
ReWO6_1404693_POSCAR,11.2655766232,0.0037,0.0013,836.3304,15.4509,-3.7741463138886E-03
ReWO6_1404693_POSCAR,11.5002761362,0.0032,0.0011,836.3304,15.4510,-3.4480424154055E-03
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382,0.0000000000,read,real,scaling,value,N/A
ReWO6_1443382_POSCAR,4.0368787500,12.3684,2.7444,332.1448,10.3709,-1.6119142410846E-01
ReWO6_1443382_POSCAR,4.5751292500,9.2047,2.1736,332.1448,10.3805,-1.1971053825391E-01
ReWO6_1443382_POSCAR,4.3060040000,10.8354,2.3454,332.1448,10.3733,-1.3895568711105E-01
ReWO6_1443382_POSCAR,4.8442545000,7.8462,2.0924,332.1448,10.3893,-1.0074936385149E-01
ReWO6_1443382_POSCAR,5.1133797500,6.9768,2.0472,332.1448,10.3973,-8.4298007486269E-02
ReWO6_1443382_POSCAR,5.3825050000,6.4659,2.0105,332.1448,10.4062,-7.1674502615140E-02
ReWO6_1443382_POSCAR,5.6516302500,6.1065,1.9606,332.1448,10.4230,-6.7566343268204E-02
ReWO6_1443382_POSCAR,5.9207555000,5.7250,1.8722,560.0428,10.4743,-6.8386114186322E-02
ReWO6_1443382_POSCAR,6.1898807500,5.1847,1.7164,561.4338,10.6953,-6.0420003258608E-02
ReWO6_1443382_POSCAR,6.4590060000,4.4163,1.4768,561.4338,11.6154,-5.3677123877908E-02
ReWO6_1443382_POSCAR,6.7281312500,3.4759,1.1728,561.4338,12.6350,-4.6905721699046E-02
ReWO6_1443382_POSCAR,6.9972565000,2.5297,0.8600,561.4338,12.9323,-3.9684679989196E-02
ReWO6_1443382_POSCAR,7.2663817500,1.7347,0.5929,561.4353,13.6302,-3.3977190299586E-02
ReWO6_1443382_POSCAR,7.5355070000,1.1502,0.3944,568.3390,14.6406,-2.9724324796969E-02
ReWO6_1443382_POSCAR,8.0737575000,0.4964,0.1705,835.5188,15.3065,-2.8428036262714E-02
ReWO6_1443382_POSCAR,7.8046322500,0.7542,0.2590,805.9926,15.1316,-3.1920245024495E-02
ReWO6_1443382_POSCAR,8.6120080000,0.2243,0.0770,836.3152,15.4072,-2.2881470192514E-02
ReWO6_1443382_POSCAR,8.3428827500,0.3309,0.1136,836.2569,15.3755,-2.5219171745216E-02
ReWO6_1443382_POSCAR,8.8811332500,0.1550,0.0531,836.3252,15.4237,-2.1290653043117E-02
ReWO6_1443382_POSCAR,9.1502585000,0.1092,0.0374,836.3280,15.4331,-2.0275421568034E-02
ReWO6_1443382_POSCAR,9.6885090000,0.0572,0.0196,836.3296,15.4425,-1.9085109587919E-02
ReWO6_1443382_POSCAR,9.4193837500,0.0783,0.0268,836.3291,15.4388,-1.9619686056333E-02
ReWO6_1443382_POSCAR,9.9576342500,0.0425,0.0145,836.3299,15.4449,-1.8464182060638E-02
ReWO6_1443382_POSCAR,10.2267595000,0.0320,0.0110,836.3300,15.4466,-1.7633890418530E-02
ReWO6_1443382_POSCAR,10.4958847500,0.0245,0.0084,836.3301,15.4478,-1.6579409304314E-02
ReWO6_1443382_POSCAR,10.7650100000,0.0190,0.0065,836.3302,15.4486,-1.5372030452431E-02
ReWO6_1443382_POSCAR,11.0341352500,0.0150,0.0051,836.3302,15.4492,-1.4116559202570E-02
ReWO6_1443382_POSCAR,11.3032605000,0.0119,0.0041,836.3303,15.4497,-1.2905510768357E-02
ReWO6_1443382_POSCAR,11.5723857500,0.0096,0.0033,836.3303,15.4500,-1.1791224629029E-02
ReWO6_1443382_POSCAR,11.8415110000,0.0078,0.0027,836.3303,15.4503,-1.0790516710331E-02
ReWO6_1443382_POSCAR,12.1106362500,0.0064,0.0022,836.3303,15.4505,-9.8928904482907E-03
ReWO6_1443382_POSCAR,12.3797615000,0.0053,0.0018,836.3303,15.4506,-9.0811672230380E-03
ReWO6_1443382_POSCAR,12.6488867500,0.0044,0.0015,836.3303,15.4508,-8.3317767713495E-03
ReWO6_1443382_POSCAR,12.9180120000,0.0037,0.0013,836.3304,15.4509,-7.6301497709399E-03
ReWO6_1443382_POSCAR,13.1871372500,0.0031,0.0011,836.3304,15.4510,-6.9665050998050E-03
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585,0.0000000000,read,real,scaling,value,N/A
Re_WO4_2_1041585_POSCAR,4.6538488000,13.3577,2.6242,332.1448,10.3711,-2.1881592232130E-01
