source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456,0.0000000000,read,real,scaling,value,N/A
Y2ReO5_779456_POSCAR,7.6485474630,19.3099,4.2161,451.0845,10.3708,-2.7991437030772E-01
Y2ReO5_779456_POSCAR,7.2236281595,21.5166,4.4886,451.0845,10.3708,-3.3817271954636E-01
Y2ReO5_779456_POSCAR,6.3737895525,27.2939,6.0596,451.0845,10.3708,-5.0496209958012E-01
Y2ReO5_779456_POSCAR,6.7987088560,24.0101,5.0146,451.0845,10.3708,-4.1220580282791E-01
Y2ReO5_779456_POSCAR,8.4983860700,14.5686,3.7894,451.0845,10.3708,-2.0054469329626E-01
Y2ReO5_779456_POSCAR,8.0734667665,17.0839,4.0224,451.0845,10.3708,-2.3512027699584E-01
Y2ReO5_779456_POSCAR,9.3482246770,9.0026,2.9067,451.0845,10.3708,-1.5201469126590E-01
Y2ReO5_779456_POSCAR,8.9233053735,11.7751,3.4283,451.0845,10.3708,-1.7324565324824E-01
Y2ReO5_779456_POSCAR,9.7731439805,6.5432,2.2828,451.0845,10.3749,-1.5290989495170E-01
Y2ReO5_779456_POSCAR,10.1980632840,4.5466,1.6680,451.0845,10.8200,-1.4107285557146E-01
Y2ReO5_779456_POSCAR,10.6229825875,3.0434,1.1498,454.1615,12.6676,-1.3440670839583E-01
Y2ReO5_779456_POSCAR,11.0479018910,1.9852,0.7609,1099.0468,13.0849,-1.9993977052879E-01
Y2ReO5_779456_POSCAR,11.4728211945,1.2806,0.4931,1139.1048,14.1348,-1.8772744321267E-01
Y2ReO5_779456_POSCAR,11.8977404980,0.8284,0.3184,2189.6887,14.9524,-2.5709319139968E-01
Y2ReO5_779456_POSCAR,12.3226598015,0.5427,0.2074,2363.3265,15.2453,-2.5244805348599E-01
Y2ReO5_779456_POSCAR,12.7475791050,0.3622,0.1373,2365.7309,15.3501,-2.2895785237354E-01
Y2ReO5_779456_POSCAR,13.1724984085,0.2468,0.0927,2365.8649,15.3946,-2.0241557815395E-01
Y2ReO5_779456_POSCAR,13.5974177120,0.1718,0.0640,2365.8838,15.4166,-1.7904393609449E-01
Y2ReO5_779456_POSCAR,14.0223370155,0.1221,0.0450,2365.8884,15.4287,-1.5855325744142E-01
Y2ReO5_779456_POSCAR,14.4472563190,0.0885,0.0324,2365.8901,15.4359,-1.4053274422448E-01
Y2ReO5_779456_POSCAR,14.8721756225,0.0654,0.0237,2365.8908,15.4404,-1.2466353125966E-01
Y2ReO5_779456_POSCAR,15.2970949260,0.0492,0.0177,2365.8912,15.4434,-1.1066759066878E-01
Y2ReO5_779456_POSCAR,15.7220142295,0.0375,0.0134,2365.8914,15.4455,-9.8265073804313E-02
Y2ReO5_779456_POSCAR,16.1469335330,0.0291,0.0103,2365.8915,15.4469,-8.7214929677121E-02
Y2ReO5_779456_POSCAR,16.5718528365,0.0229,0.0080,2365.8916,15.4479,-7.7324887250945E-02
Y2ReO5_779456_POSCAR,16.9967721400,0.0182,0.0064,2365.8917,15.4487,-6.8458500515472E-02
