source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594,0.0000000000,read,real,scaling,value,N/A
ZnReO4_755594_POSCAR,3.9905090505,11.0061,3.2142,153.4528,10.3708,-5.7639079551041E-02
ZnReO4_755594_POSCAR,3.5210373975,15.8641,4.0257,153.4528,10.3708,-8.4673418784214E-02
ZnReO4_755594_POSCAR,4.2252448770,8.9577,3.0575,153.4528,10.3708,-4.8874697743970E-02
ZnReO4_755594_POSCAR,3.7557732240,13.4439,3.4697,153.4528,10.3708,-6.9397759818818E-02
ZnReO4_755594_POSCAR,4.4599807035,7.3217,2.8909,153.4528,10.3708,-4.2340016034309E-02
ZnReO4_755594_POSCAR,5.1641881830,3.0805,1.8798,153.4528,10.4684,-3.0354772680014E-02
ZnReO4_755594_POSCAR,4.9294523565,4.4377,2.2864,153.4528,10.3748,-3.2988360720439E-02
ZnReO4_755594_POSCAR,4.6947165300,5.8716,2.6413,153.4528,10.3710,-3.7272245213279E-02
ZnReO4_755594_POSCAR,5.3989240095,1.9846,1.4995,153.4528,11.5045,-3.0800147302895E-02
ZnReO4_755594_POSCAR,5.6336598360,1.2269,1.1754,156.0547,12.6311,-2.7739301971823E-02
ZnReO4_755594_POSCAR,6.1031314890,0.4655,0.6553,340.4305,13.3768,-2.7695811717237E-02
ZnReO4_755594_POSCAR,5.8683956625,0.7514,0.8966,333.0998,12.8941,-3.0883580760839E-02
ZnReO4_755594_POSCAR,6.5726031420,0.1915,0.3092,340.5200,14.9836,-2.4038259898832E-02
ZnReO4_755594_POSCAR,6.3378673155,0.2947,0.4576,340.5149,14.3238,-2.5161706375549E-02
ZnReO4_755594_POSCAR,6.8073389685,0.1278,0.2058,340.5208,15.2483,-2.3377750466259E-02
ZnReO4_755594_POSCAR,7.0420747950,0.0875,0.1370,340.5210,15.3505,-2.0811285272767E-02
ZnReO4_755594_POSCAR,7.5115464480,0.0441,0.0629,340.5212,15.4173,-1.6330354525711E-02
ZnReO4_755594_POSCAR,7.9810181010,0.0242,0.0310,340.5212,15.4366,-1.3159532209103E-02
ZnReO4_755594_POSCAR,7.2768106215,0.0614,0.0921,340.5211,15.3952,-1.8416304188849E-02
ZnReO4_755594_POSCAR,7.7462822745,0.0324,0.0437,340.5212,15.4295,-1.4590204418406E-02
ZnReO4_755594_POSCAR,8.2157539275,0.0184,0.0224,340.5212,15.4411,-1.1955089666168E-02
ZnReO4_755594_POSCAR,8.9199614070,0.0089,0.0094,340.5212,15.4473,-8.9660678830773E-03
ZnReO4_755594_POSCAR,8.4504897540,0.0143,0.0165,340.5212,15.4440,-1.0890973213543E-02
ZnReO4_755594_POSCAR,8.6852255805,0.0112,0.0123,340.5212,15.4460,-9.9039693285308E-03
