source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123,0.0000000000,read,real,scaling,value,N/A
Rh2WO6_1209123_POSCAR,4.1651217000,10.0201,3.1262,244.6586,10.3708,-1.7659932047225E-01
Rh2WO6_1209123_POSCAR,3.9337260500,12.1372,3.2827,244.6586,10.3708,-2.0586055330360E-01
Rh2WO6_1209123_POSCAR,3.4709347500,16.8653,4.2509,244.6586,10.3708,-3.0173809531233E-01
Rh2WO6_1209123_POSCAR,3.7023304000,14.5179,3.5869,244.6586,10.3708,-2.4637532117764E-01
Rh2WO6_1209123_POSCAR,4.6279130000,7.0878,2.8535,244.6586,10.3708,-1.3966886243454E-01
Rh2WO6_1209123_POSCAR,4.3965173500,8.3798,3.0076,244.6586,10.3708,-1.5559897198654E-01
Rh2WO6_1209123_POSCAR,4.8593086500,5.9166,2.6041,244.6586,10.3711,-1.2557942509617E-01
Rh2WO6_1209123_POSCAR,5.0907043000,4.7033,2.2334,244.6586,10.3769,-1.2054164020523E-01
Rh2WO6_1209123_POSCAR,5.3220999500,3.4650,1.7797,244.6704,10.5775,-1.0538166847474E-01
Rh2WO6_1209123_POSCAR,5.5534956000,2.3650,1.3220,299.2156,12.2831,-1.0331810601838E-01
Rh2WO6_1209123_POSCAR,5.7848912500,1.5312,0.9253,332.2429,12.8683,-9.4407517319563E-02
Rh2WO6_1209123_POSCAR,6.0162869000,0.9685,0.6195,474.6145,13.5149,-9.6719159102514E-02
Rh2WO6_1209123_POSCAR,6.4790782000,0.3925,0.2618,713.8446,15.1243,-9.8908359456164E-02
Rh2WO6_1209123_POSCAR,6.2476825500,0.6125,0.4042,711.1842,14.5943,-1.0374182749188E-01
Rh2WO6_1209123_POSCAR,6.7104738500,0.2567,0.1706,713.9302,15.3063,-8.8459875737586E-02
