source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_1219450_POSCAR,5.2265142000,12.2801,2.2958,313.9846,10.3745,-2.3394994605482E-01
Sc2_WO4_3_1219450_POSCAR,4.9361523000,14.6512,2.5745,313.9846,10.3712,-2.7630997573155E-01
Sc2_WO4_3_1219450_POSCAR,4.3554285000,20.2876,3.9535,313.9846,10.3708,-4.0016238664804E-01
Sc2_WO4_3_1219450_POSCAR,4.6457904000,17.1773,3.0807,313.9846,10.3708,-3.3102458922140E-01
Sc2_WO4_3_1219450_POSCAR,5.5168761000,10.1591,2.1421,313.9846,10.3833,-1.9959657118439E-01
Sc2_WO4_3_1219450_POSCAR,6.0975999000,7.1693,1.9236,313.9846,10.4405,-1.4608176000472E-01
Sc2_WO4_3_1219450_POSCAR,5.8072380000,8.4811,2.0360,313.9846,10.3997,-1.7042243008642E-01
Sc2_WO4_3_1219450_POSCAR,6.3879618000,6.0152,1.7672,313.9846,10.5972,-1.4243477330836E-01
Sc2_WO4_3_1219450_POSCAR,6.6783237000,4.8708,1.5529,313.9846,11.2530,-1.2618281276268E-01
Sc2_WO4_3_1219450_POSCAR,6.9686856000,3.7248,1.2956,313.9847,12.3669,-1.1485426760809E-01
Sc2_WO4_3_1219450_POSCAR,7.5494094000,1.8211,0.7667,324.3998,13.0733,-9.4917743228134E-02
Sc2_WO4_3_1219450_POSCAR,7.2590475000,2.6742,1.0245,314.7696,12.7910,-1.0589147863730E-01
Sc2_WO4_3_1219450_POSCAR,7.8397713000,1.2002,0.5449,336.6931,13.8627,-8.5207419644092E-02
Sc2_WO4_3_1219450_POSCAR,8.1301332000,0.7815,0.3723,1360.5242,14.7402,-1.0890865036846E-01
Sc2_WO4_3_1219450_POSCAR,8.7108570000,0.3381,0.1658,1522.2182,15.3133,-1.0452200154686E-01
Sc2_WO4_3_1219450_POSCAR,8.4204951000,0.5106,0.2491,1519.2124,15.1562,-1.1426931711272E-01
Sc2_WO4_3_1219450_POSCAR,9.0012189000,0.2279,0.1111,1522.4193,15.3779,-9.3468801721533E-02
Sc2_WO4_3_1219450_POSCAR,9.5819427000,0.1101,0.0521,1522.4592,15.4243,-7.6810709598006E-02
Sc2_WO4_3_1219450_POSCAR,9.2915808000,0.1568,0.0755,1522.4509,15.4083,-8.4394399364219E-02
Sc2_WO4_3_1219450_POSCAR,9.8723046000,0.0789,0.0367,1522.4624,15.4335,-7.0216676766807E-02
Sc2_WO4_3_1219450_POSCAR,10.7433903000,0.0323,0.0142,1522.4650,15.4451,-5.3580582211635E-02
Sc2_WO4_3_1219450_POSCAR,10.4530284000,0.0428,0.0192,1522.4645,15.4427,-5.8733571722752E-02
Sc2_WO4_3_1219450_POSCAR,10.1626665000,0.0575,0.0263,1522.4638,15.4391,-6.4256125051942E-02
Sc2_WO4_3_1219450_POSCAR,11.0337522000,0.0248,0.0108,1522.4653,15.4467,-4.8772649887422E-02
Sc2_WO4_3_1219450_POSCAR,11.6144760000,0.0153,0.0064,1522.4656,15.4486,-4.0173160811564E-02
Sc2_WO4_3_1219450_POSCAR,11.9048379000,0.0122,0.0051,1522.4657,15.4492,-3.6366606999786E-02
Sc2_WO4_3_1219450_POSCAR,11.3241141000,0.0194,0.0082,1522.4654,15.4478,-4.4305664504068E-02
Sc2_WO4_3_1219450_POSCAR,12.1951998000,0.0098,0.0040,1522.4657,15.4497,-3.2877658947728E-02
Sc2_WO4_3_1219450_POSCAR,12.7759236000,0.0066,0.0027,1522.4658,15.4503,-2.6800613366168E-02
Sc2_WO4_3_1219450_POSCAR,13.0662855000,0.0055,0.0022,1522.4658,15.4505,-2.4179724998923E-02
Sc2_WO4_3_1219450_POSCAR,12.4855617000,0.0080,0.0033,1522.4658,15.4500,-2.9693702584320E-02
Sc2_WO4_3_1219450_POSCAR,13.3566474000,0.0046,0.0018,1522.4659,15.4507,-2.1805083506580E-02
Sc2_WO4_3_1219450_POSCAR,13.6470093000,0.0039,0.0015,1522.4659,15.4508,-1.9653754171282E-02
Sc2_WO4_3_1219450_POSCAR,14.2277331000,0.0029,0.0011,1522.4659,15.4510,-1.5937896570027E-02
Sc2_WO4_3_1219450_POSCAR,13.9373712000,0.0033,0.0013,1522.4659,15.4509,-1.7704780946360E-02
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516,0.0000000000,read,real,scaling,value,N/A
Sc2_WO4_3_5516_POSCAR,7.3304145000,12.5444,2.3183,313.9846,10.3739,-5.3670627023911E-01
Sc2_WO4_3_5516_POSCAR,7.8191088000,11.5344,2.1538,313.9846,10.3822,-4.5066347804714E-01
Sc2_WO4_3_5516_POSCAR,8.7964974000,8.8371,2.0434,313.9846,10.3981,-3.6243944036988E-01
Sc2_WO4_3_5516_POSCAR,8.3078031000,10.2695,2.0805,313.9846,10.3912,-3.7934085561276E-01
Sc2_WO4_3_5516_POSCAR,9.2851917000,7.6346,2.0190,313.9846,10.4039,-3.0291960257369E-01
Sc2_WO4_3_5516_POSCAR,9.7738860000,6.8046,1.9925,313.9846,10.4115,-2.5192623410762E-01
Sc2_WO4_3_5516_POSCAR,10.2625803000,6.1957,1.9480,313.9846,10.4284,-2.1131753798545E-01
Sc2_WO4_3_5516_POSCAR,10.7512746000,5.5881,1.8655,313.9846,10.4796,-1.8061787241029E-01
Sc2_WO4_3_5516_POSCAR,11.2399689000,4.8204,1.7256,313.9846,10.6753,-1.5694887514473E-01
Sc2_WO4_3_5516_POSCAR,11.7286632000,3.8672,1.5228,313.9846,11.3923,-1.3802186267508E-01
Sc2_WO4_3_5516_POSCAR,12.2173575000,2.8589,1.2745,314.1646,12.4267,-1.2076951403403E-01
Sc2_WO4_3_5516_POSCAR,12.7060518000,1.9731,1.0101,324.1346,12.8021,-1.0293992676368E-01
Sc2_WO4_3_5516_POSCAR,13.1947461000,1.3046,0.7585,327.0846,13.0899,-8.6963109526128E-02
Sc2_WO4_3_5516_POSCAR,14.1721347000,0.5511,0.3743,1516.5291,14.7315,-9.9533364167854E-02
Sc2_WO4_3_5516_POSCAR,13.6834404000,0.8476,0.5425,1164.2617,13.8746,-1.0361959348675E-01
Sc2_WO4_3_5516_POSCAR,14.6608290000,0.3625,0.2533,1522.1085,15.1459,-1.0257821309201E-01
Sc2_WO4_3_5516_POSCAR,15.1495233000,0.2426,0.1706,1522.4074,15.3065,-9.3287078626255E-02
Sc2_WO4_3_5516_POSCAR,16.1269119000,0.1153,0.0791,1522.4586,15.4056,-7.9304173948290E-02
Sc2_WO4_3_5516_POSCAR,15.6382176000,0.1656,0.1155,1522.4485,15.3736,-8.5338860112525E-02
Sc2_WO4_3_5516_POSCAR,16.6156062000,0.0819,0.0551,1522.4621,15.4225,-7.4586161455257E-02
Sc2_WO4_3_5516_POSCAR,17.1043005000,0.0592,0.0389,1522.4637,15.4322,-7.0673650689887E-02
Sc2_WO4_3_5516_POSCAR,18.0816891000,0.0327,0.0205,1522.4650,15.4420,-6.4059763014473E-02
Sc2_WO4_3_5516_POSCAR,17.5929948000,0.0436,0.0280,1522.4645,15.4382,-6.7229068570388E-02
Sc2_WO4_3_5516_POSCAR,18.5703834000,0.0249,0.0152,1522.4653,15.4446,-6.1026835466709E-02
Sc2_WO4_3_5516_POSCAR,19.0590777000,0.0192,0.0115,1522.4654,15.4463,-5.7979470159910E-02
Sc2_WO4_3_5516_POSCAR,20.0364663000,0.0119,0.0068,1522.4657,15.4485,-5.1372840848554E-02
Sc2_WO4_3_5516_POSCAR,19.5477720000,0.0150,0.0088,1522.4656,15.4476,-5.4780566991012E-02
Sc2_WO4_3_5516_POSCAR,20.5251606000,0.0095,0.0054,1522.4657,15.4491,-4.7797149755542E-02
Sc2_WO4_3_5516_POSCAR,21.0138549000,0.0077,0.0043,1522.4658,15.4496,-4.4164885377067E-02
Sc2_WO4_3_5516_POSCAR,21.5025492000,0.0063,0.0034,1522.4658,15.4500,-4.0606893176119E-02
Sc2_WO4_3_5516_POSCAR,21.9912435000,0.0052,0.0028,1522.4659,15.4502,-3.7220451297081E-02
Sc2_WO4_3_5516_POSCAR,22.4799378000,0.0043,0.0023,1522.4659,15.4505,-3.4062042201606E-02
Sc2_WO4_3_5516_POSCAR,23.9460207000,0.0026,0.0013,1522.4659,15.4509,-2.6032143389727E-02
Sc2_WO4_3_5516_POSCAR,22.9686321000,0.0036,0.0019,1522.4659,15.4506,-3.1153992601086E-02
Sc2_WO4_3_5516_POSCAR,23.4573264000,0.0031,0.0016,1522.4659,15.4508,-2.8485645862366E-02
