source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1045350_POSCAR,4.6305858860,17.7386,12.7078,321.5890,125.8109,-3.1901081489327E-01
Ti2ZnS4_1045350_POSCAR,5.5567030632,11.2077,5.2407,321.5890,125.8109,-1.7135354722118E-01
Ti2ZnS4_1045350_POSCAR,4.9392916117,15.7326,8.9254,321.5890,125.8109,-2.5652953109885E-01
Ti2ZnS4_1045350_POSCAR,5.2479973375,13.5841,6.5143,321.5890,125.8109,-2.0677364487418E-01
Ti2ZnS4_1045350_POSCAR,6.7915259661,5.5358,3.2262,321.5890,125.8109,-1.0332333430119E-01
Ti2ZnS4_1045350_POSCAR,6.1741145147,7.6005,4.1520,321.5890,125.8109,-1.3020127735226E-01
Ti2ZnS4_1045350_POSCAR,6.4828202404,6.5106,3.7422,321.5890,125.8109,-1.1604650211438E-01
Ti2ZnS4_1045350_POSCAR,5.8654087889,9.1137,4.5777,321.5890,125.8109,-1.4744771687605E-01
Ti2ZnS4_1045350_POSCAR,7.1002316919,4.4795,2.5865,321.5890,125.8117,-9.1716689732183E-02
Ti2ZnS4_1045350_POSCAR,7.4089374176,3.3592,1.9076,321.5840,125.9925,-8.1442696612123E-02
Ti2ZnS4_1045350_POSCAR,8.0263488691,1.5439,0.8563,302.0610,131.1271,-7.6260617517691E-02
Ti2ZnS4_1045350_POSCAR,7.7176431434,2.3374,1.3084,302.0032,130.0210,-7.6055516236181E-02
Ti2ZnS4_1045350_POSCAR,8.3350545948,0.9954,0.5496,472.4827,132.1865,-8.6033053505004E-02
Ti2ZnS4_1045350_POSCAR,8.6437603206,0.6401,0.3530,1335.7196,133.2787,-1.0949635498881E-01
Ti2ZnS4_1045350_POSCAR,8.9524660463,0.4161,0.2297,1360.9087,133.6853,-9.8374854965350E-02
Ti2ZnS4_1045350_POSCAR,9.2611717720,0.2753,0.1522,1361.7899,133.8241,-8.8111776141569E-02
Ti2ZnS4_1045350_POSCAR,9.5698774978,0.1860,0.1031,1361.8837,133.8807,-7.9268916019831E-02
Ti2ZnS4_1045350_POSCAR,9.8785832235,0.1284,0.0714,1361.9035,133.9079,-7.1563375341638E-02
Ti2ZnS4_1045350_POSCAR,10.1872889492,0.0905,0.0506,1361.9099,133.9225,-6.4594983157244E-02
Ti2ZnS4_1045350_POSCAR,10.4959946750,0.0651,0.0365,1361.9126,133.9312,-5.8032919198164E-02
Ti2ZnS4_1045350_POSCAR,10.8047004007,0.0477,0.0269,1361.9139,133.9367,-5.1753074422679E-02
Ti2ZnS4_1045350_POSCAR,11.1134061264,0.0356,0.0201,1361.9147,133.9402,-4.5832468145280E-02
Ti2ZnS4_1045350_POSCAR,11.4221118522,0.0270,0.0153,1361.9151,133.9427,-4.0415580267749E-02
Ti2ZnS4_1045350_POSCAR,11.7308175779,0.0208,0.0119,1361.9154,133.9444,-3.5596901767010E-02
Ti2ZnS4_1045350_POSCAR,12.3482290294,0.0128,0.0074,1361.9157,133.9465,-2.7759626094410E-02
Ti2ZnS4_1045350_POSCAR,12.0395233036,0.0162,0.0093,1361.9156,133.9456,-3.1398081326956E-02
Ti2ZnS4_1045350_POSCAR,12.6569347551,0.0103,0.0059,1361.9158,133.9472,-2.4602942477731E-02
Ti2ZnS4_1045350_POSCAR,13.5830519323,0.0056,0.0033,1361.9160,133.9484,-1.7181271029553E-02
Ti2ZnS4_1045350_POSCAR,13.2743462066,0.0068,0.0040,1361.9160,133.9481,-1.9376652764702E-02
Ti2ZnS4_1045350_POSCAR,12.9656404808,0.0083,0.0048,1361.9159,133.9477,-2.1832614436339E-02
Ti2ZnS4_1045350_POSCAR,13.8917576580,0.0046,0.0027,1361.9161,133.9486,-1.5216900799530E-02
Ti2ZnS4_1045350_POSCAR,14.8178748352,0.0028,0.0017,1361.9161,133.9491,-1.0511213470104E-02
Ti2ZnS4_1045350_POSCAR,14.2004633838,0.0039,0.0023,1361.9161,133.9488,-1.3462491355831E-02
Ti2ZnS4_1045350_POSCAR,14.5091691095,0.0033,0.0020,1361.9161,133.9490,-1.1897283531442E-02
Ti2ZnS4_1045350_POSCAR,15.1265805610,0.0024,0.0015,1361.9161,133.9492,-9.2886012224580E-03
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970,0.0000000000,read,real,scaling,value,N/A
Ti2ZnS4_1410970_POSCAR,4.6653869583,16.0460,11.8720,321.5890,125.8109,-2.9944343743773E-01
Ti2ZnS4_1410970_POSCAR,5.2874385527,11.4475,6.2819,321.5890,125.8109,-2.0797648216698E-01
Ti2ZnS4_1410970_POSCAR,4.9764127555,13.4322,8.4299,321.5890,125.8109,-2.4647014273691E-01
Ti2ZnS4_1410970_POSCAR,5.5984643500,9.6422,5.1411,321.5890,125.8109,-1.7951472650765E-01
Ti2ZnS4_1410970_POSCAR,5.9094901472,8.1319,4.5526,321.5890,125.8109,-1.5605562243172E-01
Ti2ZnS4_1410970_POSCAR,6.5315417416,6.1975,3.8646,321.5890,125.8109,-1.1591969029997E-01
Ti2ZnS4_1410970_POSCAR,6.2205159444,7.0377,4.1934,321.5890,125.8109,-1.3484870206814E-01
Ti2ZnS4_1410970_POSCAR,6.8425675388,5.3592,3.4360,321.5890,125.8109,-9.9723938904941E-02
Ti2ZnS4_1410970_POSCAR,7.7756449305,2.2969,1.5222,302.0011,128.0863,-6.3089756883885E-02
Ti2ZnS4_1410970_POSCAR,7.4646191333,3.2956,2.1704,321.5748,125.8340,-7.4258052297641E-02
Ti2ZnS4_1410970_POSCAR,7.1535933361,4.3758,2.8525,321.5890,125.8110,-8.6021216592280E-02
Ti2ZnS4_1410970_POSCAR,8.0866707277,1.5175,1.0092,302.0903,130.9381,-5.7278890221670E-02
Ti2ZnS4_1410970_POSCAR,8.3976965249,0.9779,0.6513,514.1371,131.6709,-6.7601700842529E-02
Ti2ZnS4_1410970_POSCAR,8.7087223222,0.6283,0.4186,1339.7749,132.9537,-9.2236940815151E-02
Ti2ZnS4_1410970_POSCAR,9.0197481194,0.4080,0.2718,1361.0221,133.5757,-8.3591325403577E-02
