source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_1390164_POSCAR,4.6274256874,16.2175,12.3040,269.3349,125.8109,-2.9128742904418E-01
V2ZnS4_1390164_POSCAR,4.9359207332,13.5305,8.8730,269.3349,125.8109,-2.3991992169027E-01
V2ZnS4_1390164_POSCAR,5.5529108248,9.6699,5.3297,269.3349,125.8109,-1.7485869772703E-01
V2ZnS4_1390164_POSCAR,5.2444157790,11.4969,6.6047,269.3349,125.8109,-2.0274912714755E-01
V2ZnS4_1390164_POSCAR,5.8614058707,8.1576,4.6574,269.3349,125.8109,-1.5165403164710E-01
V2ZnS4_1390164_POSCAR,6.1699009165,7.0806,4.2608,269.3349,125.8109,-1.3086879326975E-01
V2ZnS4_1390164_POSCAR,6.4783959623,6.2820,3.9267,269.3349,125.8109,-1.1255884602123E-01
V2ZnS4_1390164_POSCAR,6.7868910081,5.5095,3.5140,269.3349,125.8109,-9.6966425894553E-02
V2ZnS4_1390164_POSCAR,7.0953860539,4.5948,2.9532,269.3349,125.8109,-8.3687742665060E-02
V2ZnS4_1390164_POSCAR,7.7123761456,2.5274,1.6228,275.0863,127.1578,-6.3121753275597E-02
V2ZnS4_1390164_POSCAR,7.4038810998,3.5468,2.2815,269.3372,125.8205,-7.2206657164231E-02
V2ZnS4_1390164_POSCAR,8.0208711914,1.6962,1.0868,290.0783,130.8253,-5.9980221348807E-02
V2ZnS4_1390164_POSCAR,8.9463563289,0.4618,0.2953,1115.5192,133.5019,-7.8697714324094E-02
V2ZnS4_1390164_POSCAR,8.6378612831,0.7110,0.4546,1090.5485,132.7499,-8.6280872614664E-02
V2ZnS4_1390164_POSCAR,8.3293662372,1.1027,0.7056,343.1025,131.4671,-6.0835146511052E-02
V2ZnS4_1390164_POSCAR,9.2548513747,0.3046,0.1949,1116.0462,133.7566,-7.1775117432451E-02
V2ZnS4_1390164_POSCAR,9.5633464205,0.2049,0.1312,1116.0871,133.8509,-6.5842885878284E-02
V2ZnS4_1390164_POSCAR,10.1803365122,0.0987,0.0634,1116.0962,133.9138,-5.5382872315748E-02
V2ZnS4_1390164_POSCAR,9.8718414664,0.1408,0.0902,1116.0941,133.8925,-6.0476882115633E-02
V2ZnS4_1390164_POSCAR,10.4888315580,0.0706,0.0454,1116.0969,133.9258,-5.0381854694667E-02
V2ZnS4_1390164_POSCAR,10.7973266038,0.0515,0.0331,1116.0973,133.9332,-4.5446475907857E-02
V2ZnS4_1390164_POSCAR,11.1058216497,0.0382,0.0246,1116.0975,133.9379,-4.0687031412356E-02
V2ZnS4_1390164_POSCAR,11.4143166955,0.0289,0.0186,1116.0976,133.9410,-3.6259678832565E-02
V2ZnS4_1390164_POSCAR,11.7228117413,0.0221,0.0143,1116.0977,133.9432,-3.2263543180345E-02
V2ZnS4_1390164_POSCAR,12.0313067871,0.0172,0.0112,1116.0978,133.9447,-2.8730657119399E-02
V2ZnS4_1390164_POSCAR,12.3398018329,0.0135,0.0088,1116.0978,133.9458,-2.5629455678086E-02
V2ZnS4_1390164_POSCAR,12.6482968788,0.0108,0.0070,1116.0978,133.9467,-2.2897397350285E-02
V2ZnS4_1390164_POSCAR,12.9567919246,0.0087,0.0057,1116.0978,133.9473,-2.0467511023635E-02
V2ZnS4_1390164_POSCAR,13.2652869704,0.0071,0.0046,1116.0979,133.9478,-1.8279287004857E-02
V2ZnS4_1390164_POSCAR,13.5737820162,0.0058,0.0038,1116.0979,133.9481,-1.6297468028672E-02
V2ZnS4_1390164_POSCAR,13.8822770621,0.0048,0.0032,1116.0979,133.9484,-1.4500418200729E-02
V2ZnS4_1390164_POSCAR,14.1907721079,0.0040,0.0027,1116.0979,133.9487,-1.2875712948604E-02
V2ZnS4_1390164_POSCAR,14.8077621995,0.0029,0.0019,1116.0979,133.9490,-1.0107569495271E-02
V2ZnS4_1390164_POSCAR,15.1162572454,0.0025,0.0017,1116.0979,133.9491,-8.9465451235828E-03
V2ZnS4_1390164_POSCAR,14.4992671537,0.0034,0.0023,1116.0979,133.9488,-1.1412755064512E-02
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772,0.0000000000,read,real,scaling,value,N/A
V2ZnS4_mvc-14772_POSCAR,5.2508451218,11.4394,6.7188,269.3349,125.8109,-2.0237689799077E-01
V2ZnS4_mvc-14772_POSCAR,4.9419718794,13.4732,8.9413,269.3349,125.8109,-2.3941020825307E-01
V2ZnS4_mvc-14772_POSCAR,5.5597183643,9.6490,5.4122,269.3349,125.8109,-1.7450053592466E-01
V2ZnS4_mvc-14772_POSCAR,4.6330986369,16.1700,12.2277,269.3349,125.8109,-2.9056825904628E-01
V2ZnS4_mvc-14772_POSCAR,5.8685916068,8.1735,4.6969,269.3349,125.8109,-1.5123522849645E-01
V2ZnS4_mvc-14772_POSCAR,6.4863380917,6.3022,3.8874,269.3349,125.8109,-1.1208691957449E-01
V2ZnS4_mvc-14772_POSCAR,6.1774648492,7.1051,4.2624,269.3349,125.8109,-1.3040358968541E-01
V2ZnS4_mvc-14772_POSCAR,6.7952113341,5.5268,3.4260,269.3349,125.8109,-9.6501535623544E-02
V2ZnS4_mvc-14772_POSCAR,7.1040845766,4.6139,2.8201,269.3349,125.8110,-8.3259669203404E-02
V2ZnS4_mvc-14772_POSCAR,7.4129578191,3.5697,2.1291,269.3368,125.8429,-7.1881106495402E-02
V2ZnS4_mvc-14772_POSCAR,8.0307043040,1.7169,0.9807,290.0639,130.9724,-6.1327346350615E-02
V2ZnS4_mvc-14772_POSCAR,7.7218310615,2.5513,1.4845,274.3268,128.4744,-6.2952206297712E-02
V2ZnS4_mvc-14772_POSCAR,8.3395775464,1.1182,0.6319,332.3484,131.7568,-6.0179143417912E-02
V2ZnS4_mvc-14772_POSCAR,8.9573240314,0.4689,0.2637,1115.4530,133.5988,-7.8586568053859E-02
V2ZnS4_mvc-14772_POSCAR,9.2661972738,0.3093,0.1744,1116.0423,133.7915,-7.1584431588958E-02
