source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_766222_POSCAR,4.2409208000,21.9497,4.6325,458.6896,10.3708,-4.7785400903883E-01
Zr11VO24_766222_POSCAR,3.9758632500,24.4887,5.3858,458.6896,10.3708,-5.8603343157701E-01
Zr11VO24_766222_POSCAR,4.7710359000,18.8863,4.1236,458.6896,10.3708,-3.3004400875440E-01
Zr11VO24_766222_POSCAR,4.5059783500,20.4238,4.3010,458.6896,10.3708,-3.9646101789629E-01
Zr11VO24_766222_POSCAR,5.0360934500,16.7147,3.9730,458.6896,10.3708,-2.7441021494654E-01
Zr11VO24_766222_POSCAR,5.3011510000,13.9006,3.7652,458.6896,10.3708,-2.3177856023877E-01
Zr11VO24_766222_POSCAR,5.8312661000,8.4305,3.0062,458.6896,10.3708,-1.8278440274445E-01
Zr11VO24_766222_POSCAR,5.5662085500,10.9773,3.4433,458.6896,10.3708,-2.0226430009921E-01
Zr11VO24_766222_POSCAR,6.3613812000,4.7943,2.0012,458.6896,10.4088,-1.5735864492989E-01
Zr11VO24_766222_POSCAR,6.0963236500,6.3986,2.5077,458.6896,10.3715,-1.6910141494520E-01
Zr11VO24_766222_POSCAR,6.8914963000,2.4496,1.0917,568.6100,12.7333,-1.5621213833066E-01
Zr11VO24_766222_POSCAR,6.6264387500,3.4945,1.5188,458.7013,11.4117,-1.4749109826272E-01
Zr11VO24_766222_POSCAR,7.1565538500,1.6575,0.7493,568.6982,13.1095,-1.3848334339131E-01
Zr11VO24_766222_POSCAR,7.4216114000,1.0987,0.4995,671.7594,14.1006,-1.4508415926863E-01
Zr11VO24_766222_POSCAR,7.6866689500,0.7252,0.3295,1784.7842,14.9126,-2.6441043620751E-01
Zr11VO24_766222_POSCAR,7.9517265000,0.4823,0.2181,1821.8099,15.2246,-2.3920704238183E-01
Zr11VO24_766222_POSCAR,8.2167840500,0.3256,0.1461,1822.6378,15.3395,-2.1087707404347E-01
Zr11VO24_766222_POSCAR,8.4818416000,0.2239,0.0995,1822.7015,15.3887,-1.8636682924433E-01
Zr11VO24_766222_POSCAR,9.0119567000,0.1121,0.0489,1822.7152,15.4264,-1.4611012218495E-01
Zr11VO24_766222_POSCAR,8.7468991500,0.1568,0.0691,1822.7122,15.4130,-1.6495432733288E-01
Zr11VO24_766222_POSCAR,9.2770142500,0.0817,0.0352,1822.7163,15.4343,-1.2941912355746E-01
Zr11VO24_766222_POSCAR,9.5420718000,0.0605,0.0258,1822.7168,15.4393,-1.1453159028558E-01
Zr11VO24_766222_POSCAR,9.8071293500,0.0457,0.0193,1822.7170,15.4426,-1.0117718681456E-01
Zr11VO24_766222_POSCAR,10.0721869000,0.0350,0.0146,1822.7172,15.4449,-8.9222379120797E-02
Zr11VO24_766222_POSCAR,10.3372444500,0.0272,0.0113,1822.7173,15.4464,-7.8610578514546E-02
Zr11VO24_766222_POSCAR,10.6023020000,0.0214,0.0088,1822.7174,15.4476,-6.9265540089406E-02
Zr11VO24_766222_POSCAR,10.8673595500,0.0170,0.0070,1822.7174,15.4484,-6.1109954844869E-02
Zr11VO24_766222_POSCAR,11.1324171000,0.0138,0.0056,1822.7175,15.4490,-5.4016478874324E-02
Zr11VO24_766222_POSCAR,11.3974746500,0.0112,0.0045,1822.7175,15.4495,-4.7845434222012E-02
Zr11VO24_766222_POSCAR,11.6625322000,0.0092,0.0037,1822.7175,15.4498,-4.2452124161731E-02
Zr11VO24_766222_POSCAR,11.9275897500,0.0076,0.0030,1822.7175,15.4501,-3.7706936083780E-02
Zr11VO24_766222_POSCAR,12.1926473000,0.0064,0.0025,1822.7175,15.4503,-3.3514383688909E-02
Zr11VO24_766222_POSCAR,12.4577048500,0.0054,0.0021,1822.7175,15.4505,-2.9791793413866E-02
Zr11VO24_766222_POSCAR,12.7227624000,0.0046,0.0018,1822.7175,15.4507,-2.6472297244047E-02
Zr11VO24_766222_POSCAR,12.9878199500,0.0039,0.0015,1822.7175,15.4508,-2.3518090362825E-02
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
Zr11VO24_861249,0.0000000000,read,real,scaling,value,N/A
