chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,pair,IE_1,IE_2,IE_avg,IE_diff
Ti-Zn-O,Ti,Zn,O,Ti3Zn2O8_1385787_POSCAR,35,global_gradient_fallback,7.9821979282,-0.048561059637538,-0.0484243992216658,-0.0001366604158721,7.697119,13.968846,0.00667163,Ti-Zn,658.8,906.4,782.5999999999999,247.60000000000002
Fe-Ti-O,Fe,Ti,O,TiFeO3_19417_POSCAR,35,global_gradient_fallback,6.2958834785,-0.045446181306329,-0.0451296380882415,-0.0003165432180874,6.07103,11.017796,0.0080272,Fe-Ti,762.5,658.8,710.65,103.70000000000005
Fe-Ti-O,Fe,Ti,O,TiFeO3_19270_POSCAR,35,global_gradient_fallback,6.2939565521,-0.048688958951292,-0.0480555556958612,-0.0006334032554307,5.844388,11.014424,0.00867808,Fe-Ti,762.5,658.8,710.65,103.70000000000005
V-Zn-O,V,Zn,O,V4ZnO8_1048588_POSCAR,35,global_gradient_fallback,7.6924010754,-0.047727778508513,-0.0467531160631166,-0.0009746624453963,6.593487,13.461702,0.00657618,V-Zn,650.9,906.4,778.65,255.5
Ni-Y-O,Ni,Y,O,Y_NiO2_2_1045534_POSCAR,35,global_gradient_fallback,6.6335458853,-0.065867321311506,-0.0647594785357193,-0.0011078427757866,6.357148,13.54349,0.00807089,Ni-Y,737.1,600.0,668.55,137.10000000000002
Fe-Mn-O,Fe,Mn,O,MnFeO4_1221655_POSCAR,35,global_gradient_fallback,6.5977086809,-0.03779242255478,-0.0365430765864869,-0.001249345968293,6.343951,12.434143,0.00527539,Fe-Mn,762.5,717.3,739.9,45.200000000000045
Fe-Ti-O,Fe,Ti,O,Ti4_FeO4_3_1337025_POSCAR,35,global_gradient_fallback,8.5510700539,-0.075231766136653,-0.0739112242336627,-0.0013205419029902,8.245675,14.964373,0.00971232,Fe-Ti,762.5,658.8,710.65,103.70000000000005
Pd-Zn-O,Pd,Zn,O,Zn2PdO4_22257_POSCAR,35,global_gradient_fallback,6.6523211817,-0.1168255873974,-0.1153718050608127,-0.0014537823365872,5.321857,13.03855,0.01718268,Pd-Zn,804.4,906.4,855.4,102.0
Cd-Fe-O,Cd,Fe,O,Cd_FeO2_2_1283389_POSCAR,35,global_gradient_fallback,6.6575206185,-0.072057880639488,-0.0704473754642781,-0.0016105051752098,6.124919,13.04874,0.0100072,Cd-Fe,867.8,762.5,815.15,105.29999999999995
Fe-Zn-O,Fe,Zn,O,Zn2Fe3O8_1042894_POSCAR,35,global_gradient_fallback,7.43068375,-0.11159143407919,-0.1092812019858782,-0.0023102320933117,6.836229,14.56414,0.01376085,Fe-Zn,762.5,906.4,834.45,143.89999999999998
Mn-Nb-O,Mn,Nb,O,Mn3NbO8_1176463_POSCAR,35,global_gradient_fallback,7.6660758963,-0.096080503758316,-0.0935652835118136,-0.0025152202465023,7.076378,14.447605,0.01164143,Mn-Nb,717.3,652.1,684.7,65.19999999999993
Fe-Ti-O,Fe,Ti,O,TiFeO4_1278941_POSCAR,35,global_gradient_fallback,7.545832,-0.036540012048112,-0.0338416014266282,-0.0026984106214837,6.467856,13.205206,0.00479065,Fe-Ti,762.5,658.8,710.65,103.70000000000005
Co-V-O,Co,V,O,V2CoO6_1078719_POSCAR,35,global_gradient_fallback,11.027401267,-0.013504488753896,-0.0107902817202571,-0.0027142070336388,10.659821,18.011422,0.00093872,Co-V,760.4,650.9,705.65,109.5
Cd-Mn-S,Cd,Mn,S,Mn4CdS5_1221768_POSCAR,35,global_gradient_fallback,7.6579002202,-0.076747846993003,-0.0740227910105133,-0.0027250559824896,7.019742,15.63488,0.00865141,Cd-Mn,867.8,717.3,792.55,150.5
Fe-Zn-O,Fe,Zn,O,Zn_FeO2_4_1045634_POSCAR,35,global_gradient_fallback,7.1307031463,-0.052936319126605,-0.0496823367463023,-0.0032539823803026,6.560247,13.976178,0.00643642,Fe-Zn,762.5,906.4,834.45,143.89999999999998
V-Zn-O,V,Zn,O,V2ZnO4_1396989_POSCAR,35,global_gradient_fallback,7.8522633435,-0.066601877851562,-0.0631901960709622,-0.0034116817805997,7.571825,13.741461,0.00892751,V-Zn,650.9,906.4,778.65,255.5
Cu-Mn-O,Cu,Mn,O,MnCuO3_1176440_POSCAR,35,global_gradient_fallback,5.7959171988,-0.047100244782413,-0.0436796346890244,-0.0034206100933885,5.350077,10.923075,0.00740832,Cu-Mn,745.5,717.3,731.4,28.200000000000045
Ag-Mn-O,Ag,Mn,O,MnAgO2_996995_POSCAR,35,global_gradient_fallback,3.774142775,-0.03137127846746,-0.0277138856511964,-0.0036573928162635,3.338665,7.112808,0.00760262,Ag-Mn,731.0,717.3,724.15,13.700000000000045
Mn-Y-S,Mn,Y,S,Y_MnS2_2_1045492_POSCAR,35,global_gradient_fallback,8.1438484366,-0.076373232317106,-0.0726868367749598,-0.0036863955421461,7.492341,15.961943,0.00824398,Mn-Y,717.3,600.0,658.65,117.29999999999995
Co-Fe-O,Co,Fe,O,FeCo3O8_771245_POSCAR,35,global_gradient_fallback,6.4148026051,-0.038023675463968,-0.0342393275481528,-0.0037843479158151,5.921356,12.089436,0.00491381,Co-Fe,760.4,762.5,761.45,2.1000000000000227
