chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,pair,IE_1,IE_2,IE_avg,IE_diff
V-Zr-O,V,Zr,O,Zr9V9O2_1217608_POSCAR,35,local_max_drop,12.3136584917,-2.2278011952063,-0.5452607592603581,-1.682540435945942,10.554564,21.548902,0.04349974,V-Zr,650.9,640.1,645.5,10.799999999999955
Sc-Zr-O,Sc,Zr,O,Zr25Sc6O59_686417_POSCAR,35,local_max_drop,18.6866441621,-1.3990826372178,-0.6334687454194191,-0.7656138917983809,17.39791,31.573985,0.03969898,Sc-Zr,633.1,640.1,636.6,7.0
Nb-Ni-O,Nb,Ni,O,Nb6Ni6O_541419_POSCAR,35,local_max_drop,9.9013571389,-0.96996573178745,-0.2962788241540369,-0.6736869076334131,7.8528,16.729879,0.03450829,Nb-Ni,652.1,737.1,694.6,85.0
Hf-Re-S,Hf,Re,S,Hf9Re4S_1399219_POSCAR,35,local_max_drop,17.552238922,-1.3139133391373,-0.668518482219952,-0.6453948569173479,14.525991,29.657231,0.04489159,Hf-Re,658.5,760.0,709.25,101.5
Mn-Ni-O,Mn,Ni,O,Mn_Ni9O10_2_758680_POSCAR,35,local_max_drop,7.3689646528,-1.0780433729613,-0.4429842298033844,-0.6350591431579156,6.779447,14.443171,0.05433035,Mn-Ni,717.3,737.1,727.2,19.800000000000068
W-Y-O,W,Y,O,Y10W2O21_556220_POSCAR,35,local_max_drop,14.9012724,-1.0446564578558,-0.4243174739071879,-0.6203389839486121,13.304707,26.077227,0.03060603,W-Y,770.0,600.0,685.0,170.0
Pd-Zr-O,Pd,Zr,O,Zr4Pd2O_22479_POSCAR,35,local_max_drop,10.7236102353,-0.92697101766846,-0.311746522439837,-0.615224495228623,9.191666,18.766318,0.03330229,Pd-Zr,804.4,640.1,722.25,164.29999999999995
Mo-Zr-S,Mo,Zr,S,Zr9Mo4S_1207420_POSCAR,35,local_max_drop,12.268524156,-0.86321771793896,-0.2681662140655645,-0.5950515038733954,10.077716,21.469917,0.02413065,Mo-Zr,684.3,640.1,662.2,44.19999999999993
V-Zr-S,V,Zr,S,Zr9V4S_9483_POSCAR,35,local_max_drop,12.551663971,-0.77827099707844,-0.1977257340418381,-0.5805452630366019,10.387584,21.207984,0.01643121,V-Zr,650.9,640.1,645.5,10.799999999999955
Mn-Ni-O,Mn,Ni,O,Mn3_Ni17O20_2_758834_POSCAR,35,local_max_drop,7.3809747446,-0.99685166722266,-0.4255331682834942,-0.5713184989391659,6.790497,14.46671,0.05210309,Mn-Ni,717.3,737.1,727.2,19.800000000000068
Ni-Ti-O,Ni,Ti,O,Ti4Ni2O_540679_POSCAR,35,local_max_drop,9.7444386021,-0.75916907926073,-0.1936756039671866,-0.5654934752935433,8.700392,17.052768,0.01816394,Ni-Ti,737.1,658.8,697.95,78.30000000000007
V-Zr-O,V,Zr,O,Zr3V3O_504834_POSCAR,35,local_max_drop,10.6734252218,-0.74681834312712,-0.1856976219229985,-0.5611207212041216,9.14865,18.678494,0.01703771,V-Zr,650.9,640.1,645.5,10.799999999999955
Ni-Ti-O,Ni,Ti,O,Ti3Ni3O_504735_POSCAR,35,local_max_drop,9.4209163575,-0.74706338280252,-0.1968120631103917,-0.5502513196921284,8.411532,16.486604,0.01876295,Ni-Ti,737.1,658.8,697.95,78.30000000000007
Mn-Ti-O,Mn,Ti,O,Ti3Mn3O_504732_POSCAR,35,local_max_drop,9.8319117721,-0.74469269681523,-0.1963930463911314,-0.5482996504240986,8.739477,17.843099,0.01872949,Mn-Ti,717.3,658.8,688.05,58.5
Ni-Ti-O,Ni,Ti,O,Ti4Ni2O_1217223_POSCAR,35,local_max_drop,10.0237081748,-0.72862983174227,-0.1909358169427698,-0.5376940147995002,8.641128,16.93661,0.01835363,Ni-Ti,737.1,658.8,697.95,78.30000000000007
Mn-Ti-O,Mn,Ti,O,Ti4Mn2O_1217173_POSCAR,35,local_max_drop,10.1929977382,-0.72810450387778,-0.191365176726462,-0.536739327151318,9.100891,17.837746,0.01828976,Mn-Ti,717.3,658.8,688.05,58.5
Ti-Y-O,Ti,Y,O,Y16Ti16O35_685259_POSCAR,35,local_max_drop,10.1077793366,-0.78062988481307,-0.2530497641884767,-0.5275801206245934,8.713603,17.078662,0.02827343,Ti-Y,658.8,600.0,629.4,58.799999999999955
Fe-Zr-S,Fe,Zr,S,Zr6FeS2_1207526_POSCAR,35,local_max_drop,5.0141226635,-0.7703804259351,-0.2439323348089809,-0.5264480911261191,4.149619,8.472138,0.0547722,Fe-Zr,762.5,640.1,701.3,122.39999999999998
Ni-Zr-O,Ni,Zr,O,Zr4Ni2O_21602_POSCAR,35,local_max_drop,10.5980867994,-0.72585591391466,-0.2009991351330938,-0.5248567787815661,9.084074,18.546652,0.01944633,Ni-Zr,737.1,640.1,688.6,97.0
Mo-Zr-O,Mo,Zr,O,Zr9Mo4O3_1207427_POSCAR,35,local_max_drop,12.219475044,-0.83435683824745,-0.311182254395776,-0.5231745838516739,10.473836,21.384081,0.02867823,Mo-Zr,684.3,640.1,662.2,44.19999999999993
