"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1222025","Mn(CoO2)2","Cubic","Fd-3m","227","14","0.10611305642857201","-1.4581127304187191","False","155.87815562256213","5.045210197636765","0.0","False","True","FM","9.9999991","# generated using pymatgen
data_Mn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.04087829
_cell_length_b   6.04087829
_cell_length_c   6.04087829
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn(CoO2)2
_chemical_formula_sum   'Mn2 Co4 O8'
_cell_volume   155.87815562
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.50000000  0.50000000  0.50000000  1
  Mn  Mn1  1  0.75000000  0.75000000  0.75000000  1
  Co  Co2  1  0.62500000  0.12500000  0.12500000  1
  Co  Co3  1  0.12500000  0.62500000  0.12500000  1
  Co  Co4  1  0.12500000  0.12500000  0.62500000  1
  Co  Co5  1  0.12500000  0.12500000  0.12500000  1
  O  O6  1  0.91074300  0.36308600  0.36308600  1
  O  O7  1  0.36308600  0.91074300  0.36308600  1
  O  O8  1  0.36308600  0.36308600  0.91074300  1
  O  O9  1  0.36308600  0.36308600  0.36308600  1
  O  O10  1  0.33925700  0.88691400  0.88691400  1
  O  O11  1  0.88691400  0.33925700  0.88691400  1
  O  O12  1  0.88691400  0.88691400  0.33925700  1
  O  O13  1  0.88691400  0.88691400  0.88691400  1
"
"True","mp-767807","Mn(CoO2)2","Triclinic","P1","1","28","0.014759003928571001","-1.549466782918719","False","286.26826329703243","5.494413186275921","0.48210000000000003","False","False","FM","25.9999775","# generated using pymatgen
data_Mn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.79979300
_cell_length_b   5.85743159
_cell_length_c   10.11989925
_cell_angle_alpha   89.16675613
_cell_angle_beta   106.22685785
_cell_angle_gamma   118.81208752
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn(CoO2)2
_chemical_formula_sum   'Mn4 Co8 O16'
_cell_volume   286.26826330
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.99117300  0.74161900  0.74647300  1
  Mn  Mn1  1  0.12549500  0.81982800  0.43882800  1
  Mn  Mn2  1  0.00866600  0.26100900  0.25453100  1
  Mn  Mn3  1  0.50126200  0.99996600  0.00037700  1
  Co  Co4  1  0.12161000  0.31109500  0.93965200  1
  Co  Co5  1  0.86993500  0.18277600  0.56159600  1
  Co  Co6  1  0.50328600  0.75180900  0.25123000  1
  Co  Co7  1  0.49368400  0.74364100  0.74690000  1
  Co  Co8  1  0.49643500  0.24837200  0.74852100  1
  Co  Co9  1  0.50501400  0.25640600  0.25270800  1
  Co  Co10  1  0.49837200  0.50010300  0.49913000  1
  Co  Co11  1  0.87888600  0.68812300  0.06012800  1
  O  O12  1  0.70704900  0.36614700  0.62083500  1
  O  O13  1  0.72567700  0.83184800  0.62523300  1
  O  O14  1  0.24632100  0.63707900  0.85864300  1
  O  O15  1  0.28064800  0.12561100  0.87663200  1
  O  O16  1  0.70997300  0.09451700  0.85953000  1
  O  O17  1  0.27146800  0.89518600  0.64894900  1
  O  O18  1  0.70323800  0.59511800  0.36640100  1
  O  O19  1  0.28198400  0.40055200  0.14515500  1
  O  O20  1  0.72222700  0.60208000  0.85239000  1
  O  O21  1  0.28666100  0.40002600  0.63158200  1
  O  O22  1  0.29087200  0.90635900  0.14003900  1
  O  O23  1  0.72532800  0.10396200  0.35666300  1
  O  O24  1  0.72531000  0.87818200  0.12563600  1
  O  O25  1  0.75733300  0.36430700  0.14350200  1
  O  O26  1  0.27262800  0.17386800  0.37161300  1
  O  O27  1  0.29046200  0.62996900  0.37567500  1
"
"True","mp-757157","Mn(CoO2)4","Triclinic","P-1","2","13","0.070317376804036","-1.296383139071617","False","134.5464218234662","5.167073794669882","0.0","False","True","FiM","6.0670497","# generated using pymatgen
data_Mn(CoO2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.68251300
_cell_length_b   5.69120971
_cell_length_c   5.71390876
_cell_angle_alpha   91.12209479
_cell_angle_beta   119.72168614
_cell_angle_gamma   117.60242095
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn(CoO2)4
_chemical_formula_sum   'Mn1 Co4 O8'
_cell_volume   134.54642182
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.50000000  0.00000000  0.50000000  1
  Co  Co1  1  0.00000000  0.50000000  0.50000000  1
  Co  Co2  1  0.00000000  0.00000000  0.00000000  1
  Co  Co3  1  0.50000000  0.00000000  0.00000000  1
  Co  Co4  1  0.00000000  0.00000000  0.50000000  1
  O  O5  1  0.54397500  0.80222600  0.26654400  1
  O  O6  1  0.03666500  0.78985200  0.27306900  1
  O  O7  1  0.52613400  0.79058200  0.76245700  1
  O  O8  1  0.04538700  0.79357600  0.76261300  1
  O  O9  1  0.95461300  0.20642400  0.23738700  1
  O  O10  1  0.47386600  0.20941800  0.23754300  1
  O  O11  1  0.96333500  0.21014800  0.72693100  1
  O  O12  1  0.45602500  0.19777400  0.73345600  1
"
"True","mp-773238","Mn(CoO2)4","Monoclinic","C2/m","12","13","0.072959845265574","-1.2937406706100791","False","139.51092116380568","4.983203354770737","0.0","False","True","FM","10.9503197","# generated using pymatgen
data_Mn(CoO2)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.75604322
_cell_length_b   5.75604322
_cell_length_c   5.97888574
_cell_angle_alpha   59.75485228
_cell_angle_beta   59.75485228
_cell_angle_gamma   59.96139317
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn(CoO2)4
_chemical_formula_sum   'Mn1 Co4 O8'
_cell_volume   139.51092116
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.50000000  0.50000000  0.00000000  1
  Co  Co1  1  0.50000000  0.50000000  0.50000000  1
  Co  Co2  1  0.00000000  0.00000000  0.00000000  1
  Co  Co3  1  0.50000000  0.00000000  0.00000000  1
  Co  Co4  1  0.00000000  0.50000000  0.00000000  1
  O  O5  1  0.26249800  0.26249800  0.19605300  1
  O  O6  1  0.74653200  0.28219200  0.21474300  1
  O  O7  1  0.28219200  0.74653200  0.21474300  1
  O  O8  1  0.74852000  0.74852000  0.21100800  1
  O  O9  1  0.25148000  0.25148000  0.78899200  1
  O  O10  1  0.71780800  0.25346800  0.78525700  1
  O  O11  1  0.25346800  0.71780800  0.78525700  1
  O  O12  1  0.73750200  0.73750200  0.80394700  1
"
"True","mp-759777","Mn(CoO3)2","Orthorhombic","Cmce","64","18","0.028057288796297004","-1.294407125881226","False","204.7334159797374","4.360346214282641","0.0","False","True","FM","9.9999932","# generated using pymatgen
data_Mn(CoO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.95741565
_cell_length_b   4.95741565
_cell_length_c   9.62844100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.09317879
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn(CoO3)2
_chemical_formula_sum   'Mn2 Co4 O12'
_cell_volume   204.73341598
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.50000000  0.50000000  0.50000000  1
  Mn  Mn1  1  0.00000000  0.00000000  0.00000000  1
  Co  Co2  1  0.83331300  0.16668700  0.50000000  1
  Co  Co3  1  0.33331300  0.66668700  0.00000000  1
  Co  Co4  1  0.66668700  0.33331300  0.00000000  1
  Co  Co5  1  0.16668700  0.83331300  0.50000000  1
  O  O6  1  0.66113400  0.66113400  0.09882700  1
  O  O7  1  0.83886600  0.83886600  0.59882700  1
  O  O8  1  0.16113400  0.16113400  0.40117300  1
  O  O9  1  0.49997300  0.83846900  0.40120400  1
  O  O10  1  0.33886600  0.33886600  0.90117300  1
  O  O11  1  0.66153100  0.00002700  0.90120400  1
  O  O12  1  0.99997300  0.33846900  0.09879600  1
  O  O13  1  0.16153100  0.50002700  0.59879600  1
  O  O14  1  0.50002700  0.16153100  0.59879600  1
  O  O15  1  0.83846900  0.49997300  0.40120400  1
  O  O16  1  0.00002700  0.66153100  0.90120400  1
  O  O17  1  0.33846900  0.99997300  0.09879600  1
"
"True","mp-763057","Mn(CoO3)2","Monoclinic","C2/m","12","9","0.028559463796297","-1.2939049508812261","False","101.34758383090173","4.404192687977071","1.068","False","False","FM","5.0000181","# generated using pymatgen
data_Mn(CoO3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.44796850
_cell_length_b   6.44796850
_cell_length_c   5.77149287
_cell_angle_alpha   76.30409012
_cell_angle_beta   76.30409012
_cell_angle_gamma   25.81054333
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn(CoO3)2
_chemical_formula_sum   'Mn1 Co2 O6'
_cell_volume   101.34758383
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.50000000  0.50000000  0.00000000  1
  Co  Co1  1  0.16805300  0.16805300  0.66421000  1
  Co  Co2  1  0.83194700  0.83194700  0.33579000  1
  O  O3  1  0.65806000  0.65806000  0.88330200  1
  O  O4  1  0.98674000  0.98674000  0.22726600  1
  O  O5  1  0.32174800  0.32174800  0.55432700  1
  O  O6  1  0.01326000  0.01326000  0.77273400  1
  O  O7  1  0.34194000  0.34194000  0.11669800  1
  O  O8  1  0.67825200  0.67825200  0.44567300  1
"
"True","mp-974861","Mn2Co2O5","Tetragonal","P4/mmm","123","9","0.5102241363888821","-1.20204872342912","False","96.83599866964602","5.277101861865245","0.0","False","True","FM","13.9921438","# generated using pymatgen
data_Mn2Co2O5
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.64792500
_cell_length_b   3.64792500
_cell_length_c   7.27687700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn2Co2O5
_chemical_formula_sum   'Mn2 Co2 O5'
_cell_volume   96.83599867
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00000000  0.00000000  0.00000000  1
  Mn  Mn1  1  0.00000000  0.00000000  0.50000000  1
  Co  Co2  1  0.50000000  0.50000000  0.76107100  1
  Co  Co3  1  0.50000000  0.50000000  0.23892900  1
  O  O4  1  0.00000000  0.50000000  0.81345800  1
  O  O5  1  0.00000000  0.50000000  0.18654200  1
  O  O6  1  0.50000000  0.50000000  0.50000000  1
  O  O7  1  0.50000000  0.00000000  0.81345800  1
  O  O8  1  0.50000000  0.00000000  0.18654200  1
"
"True","mp-757022","Mn2Co5O12","Monoclinic","C2","5","19","0.09641992803257501","-1.295789990834846","False","197.0506677305753","5.026978387486862","0.0","False","True","FM","15.0002076","# generated using pymatgen
data_Mn2Co5O12
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.91033459
_cell_length_b   4.91033459
_cell_length_c   9.64720121
_cell_angle_alpha   84.09040781
_cell_angle_beta   84.09040781
_cell_angle_gamma   120.03592514
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn2Co5O12
_chemical_formula_sum   'Mn2 Co5 O12'
_cell_volume   197.05066773
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.76795200  0.23204800  0.50000000  1
  Mn  Mn1  1  0.24823700  0.75176300  0.00000000  1
  Co  Co2  1  0.91367000  0.08633000  0.00000000  1
  Co  Co3  1  0.98180400  0.54039100  0.72956600  1
  Co  Co4  1  0.45960900  0.01819600  0.27043400  1
  Co  Co5  1  0.57756700  0.42243300  0.00000000  1
  Co  Co6  1  0.42717900  0.57282100  0.50000000  1
  O  O7  1  0.05021300  0.24455100  0.62123400  1
  O  O8  1  0.75544900  0.94978700  0.37876600  1
  O  O9  1  0.85231100  0.36024600  0.10755600  1
  O  O10  1  0.63975400  0.14768900  0.89244400  1
  O  O11  1  0.71030000  0.51419400  0.61052600  1
  O  O12  1  0.48580600  0.28970000  0.38947400  1
  O  O13  1  0.53725500  0.72328100  0.10656300  1
  O  O14  1  0.27671900  0.46274500  0.89343700  1
  O  O15  1  0.40448100  0.84044700  0.60929000  1
  O  O16  1  0.15955300  0.59551900  0.39071000  1
  O  O17  1  0.21778300  0.04422000  0.11035800  1
  O  O18  1  0.95578000  0.78221700  0.88964200  1
"
"True","mp-1221996","Mn2CoO4","Tetragonal","I4_1/amd","141","14","0.0","-1.838113349408867","True","151.7646126556744","5.094533182027652","0.6991","False","False","FM","22.0000242","# generated using pymatgen
data_Mn2CoO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.73131592
_cell_length_b   5.73030906
_cell_length_c   6.14807785
_cell_angle_alpha   62.17860461
_cell_angle_beta   62.22066125
_cell_angle_gamma   90.00296500
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn2CoO4
_chemical_formula_sum   'Mn4 Co2 O8'
_cell_volume   151.76461266
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.62500559  0.37496649  0.75001632  1
  Mn  Mn1  1  0.62497822  0.37494175  0.25001869  1
  Mn  Mn2  1  0.12496304  0.37494696  0.24999891  1
  Mn  Mn3  1  0.62502012  0.87502430  0.74999373  1
  Co  Co4  1  0.24984741  0.74945972  0.50031703  1
  Co  Co5  1  0.00019006  0.00056677  -0.00033808  1
  O  O6  1  0.40205061  0.12852285  0.74294854  1
  O  O7  1  0.85504026  0.12854318  0.74294610  1
  O  O8  1  0.39497285  0.62143442  0.75706310  1
  O  O9  1  0.84799374  0.62145045  0.75707378  1
  O  O10  1  0.87158612  0.14531507  0.25677473  1
  O  O11  1  0.87155356  0.59819240  0.25687858  1
  O  O12  1  0.37840795  0.15181388  0.24311735  1
  O  O13  1  0.37839047  0.60482376  0.24318924  1
"
"True","mp-766445","Mn2CoO4","Triclinic","P1","1","28","0.037909638571429004","-1.800203710837438","False","314.22423357054475","4.921134479326063","0.3385","False","False","FM","41.9999844","# generated using pymatgen
data_Mn2CoO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.16440100
_cell_length_b   6.19745340
_cell_length_c   8.27075920
_cell_angle_alpha   89.91114268
_cell_angle_beta   89.58925047
_cell_angle_gamma   83.98382736
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Mn2CoO4
_chemical_formula_sum   'Mn8 Co4 O16'
_cell_volume   314.22423357
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00104900  0.00559200  0.00410800  1
  Mn  Mn1  1  0.49449000  0.25068300  0.87711900  1
  Mn  Mn2  1  0.00817700  0.25641300  0.37566200  1
  Mn  Mn3  1  0.49444400  0.74445700  0.87445000  1
  Mn  Mn4  1  0.74855500  0.00078900  0.62307900  1
  Mn  Mn5  1  0.00382600  0.74889800  0.37350700  1
  Mn  Mn6  1  0.74876400  0.50152400  0.12663800  1
  Mn  Mn7  1  0.25151600  0.99925800  0.62290100  1
  Co  Co8  1  0.00142800  0.50132300  0.75146800  1
  Co  Co9  1  0.49874800  0.49855600  0.49843900  1
  Co  Co10  1  0.25067400  0.49949600  0.12667500  1
  Co  Co11  1  0.49855600  0.99568200  0.24672500  1
  O  O12  1  0.00823500  0.23412900  0.61388500  1
  O  O13  1  0.27071200  0.99066500  0.85915800  1
  O  O14  1  0.73337300  0.50940000  0.89045600  1
  O  O15  1  0.76711400  0.99202600  0.38164500  1
  O  O16  1  0.26341600  0.49168700  0.89087200  1
  O  O17  1  0.50769700  0.23515100  0.63645200  1
  O  O18  1  0.72657500  0.00685600  0.86316300  1
  O  O19  1  0.76661200  0.49008800  0.36231500  1
  O  O20  1  0.49307200  0.76380100  0.63461000  1
  O  O21  1  0.00790400  0.72753300  0.13915900  1
  O  O22  1  0.99071400  0.76695000  0.61269900  1
  O  O23  1  0.49291500  0.26508800  0.11423100  1
  O  O24  1  0.23704700  0.50872300  0.36167600  1
  O  O25  1  0.02311100  0.29207800  0.13639300  1
  O  O26  1  0.23360900  0.00903100  0.38580800  1
  O  O27  1  0.47766500  0.71412600  0.11671000  1
"
