"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1043057","Zn(Co2O3)2","Orthorhombic","Cmcm","63","22","0.352235084744318","-1.06801192590909","False","217.1068140125884","6.07501395778564","0.0","False","True","FM","14.362708","# generated using pymatgen
data_Zn(Co2O3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.13327517
_cell_length_b   5.13327517
_cell_length_c   14.99847400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   146.67859517
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Co2O3)2
_chemical_formula_sum   'Zn2 Co8 O12'
_cell_volume   217.10681401
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.34405800  0.65594200  0.75000000  1
  Zn  Zn1  1  0.65594200  0.34405800  0.25000000  1
  Co  Co2  1  0.13749800  0.86250200  0.04487100  1
  Co  Co3  1  0.59596000  0.40404000  0.63780500  1
  Co  Co4  1  0.86250200  0.13749800  0.95512900  1
  Co  Co5  1  0.40404000  0.59596000  0.36219500  1
  Co  Co6  1  0.13749800  0.86250200  0.45512900  1
  Co  Co7  1  0.86250200  0.13749800  0.54487100  1
  Co  Co8  1  0.40404000  0.59596000  0.13780500  1
  Co  Co9  1  0.59596000  0.40404000  0.86219500  1
  O  O10  1  0.50000000  0.50000000  0.50000000  1
  O  O11  1  0.50000000  0.50000000  0.00000000  1
  O  O12  1  0.95133600  0.04866400  0.84142900  1
  O  O13  1  0.04866400  0.95133600  0.15857100  1
  O  O14  1  0.04866400  0.95133600  0.34142900  1
  O  O15  1  0.95133600  0.04866400  0.65857100  1
  O  O16  1  0.22168400  0.77831600  0.92553800  1
  O  O17  1  0.77831600  0.22168400  0.07446200  1
  O  O18  1  0.77831600  0.22168400  0.42553800  1
  O  O19  1  0.22168400  0.77831600  0.57446200  1
  O  O20  1  0.69693700  0.30306300  0.75000000  1
  O  O21  1  0.30306300  0.69693700  0.25000000  1
"
"True","mp-1215794","Zn(Co2O5)2","Monoclinic","C2/m","12","15","0.15887135386665702","-0.9662757186666661","False","163.56683451516054","4.6814745786749885","0.0","False","True","FM","5.99996","# generated using pymatgen
data_Zn(Co2O5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.60273292
_cell_length_b   7.60273292
_cell_length_c   4.52818548
_cell_angle_alpha   89.90778351
_cell_angle_beta   89.90778351
_cell_angle_gamma   141.32238748
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Co2O5)2
_chemical_formula_sum   'Zn1 Co4 O10'
_cell_volume   163.56683452
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.00000000  0.00000000  1
  Co  Co1  1  0.60138900  0.39861100  0.00000000  1
  Co  Co2  1  0.39861100  0.60138900  0.00000000  1
  Co  Co3  1  0.79811400  0.20188600  0.00000000  1
  Co  Co4  1  0.20188600  0.79811400  0.00000000  1
  O  O5  1  0.93413400  0.72014800  0.79318000  1
  O  O6  1  0.35802800  0.35802800  0.78946300  1
  O  O7  1  0.72014800  0.93413400  0.79318000  1
  O  O8  1  0.13418500  0.53558500  0.79437800  1
  O  O9  1  0.53558500  0.13418500  0.79437800  1
  O  O10  1  0.86581500  0.46441500  0.20562200  1
  O  O11  1  0.27985200  0.06586600  0.20682000  1
  O  O12  1  0.64197200  0.64197200  0.21053700  1
  O  O13  1  0.06586600  0.27985200  0.20682000  1
  O  O14  1  0.46441500  0.86581500  0.20562200  1
"
"True","mp-1040942","Zn(CoO2)2","Trigonal","P3m1","156","42","0.064113180313284","-1.398846586190475","False","449.4784499132274","5.481105402351451","0.0","False","True","FM","4.0004712","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.95410372
_cell_length_b   5.95410372
_cell_length_c   14.64014700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999691
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn6 Co12 O24'
_cell_volume   449.47844991
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.33333300  0.66666700  0.95700200  1
  Zn  Zn1  1  0.00000000  0.00000000  0.62433900  1
  Zn  Zn2  1  0.00000000  0.00000000  0.00010400  1
  Zn  Zn3  1  0.66666700  0.33333300  0.29234000  1
  Zn  Zn4  1  0.33333300  0.66666700  0.70838800  1
  Zn  Zn5  1  0.00000000  0.00000000  0.37521700  1
  Co  Co6  1  0.83436800  0.66873600  0.83317500  1
  Co  Co7  1  0.33126400  0.16563200  0.83317500  1
  Co  Co8  1  0.49974700  0.99949400  0.49992300  1
  Co  Co9  1  0.83436800  0.16563200  0.83317500  1
  Co  Co10  1  0.66666700  0.33333300  0.66821700  1
  Co  Co11  1  0.00050600  0.50025300  0.49992300  1
  Co  Co12  1  0.16674000  0.33348000  0.16709500  1
  Co  Co13  1  0.49974700  0.50025300  0.49992300  1
  Co  Co14  1  0.16674000  0.83326000  0.16709500  1
  Co  Co15  1  0.33333300  0.66666700  0.33184300  1
  Co  Co16  1  0.66652000  0.83326000  0.16709500  1
  Co  Co17  1  0.66666700  0.33333300  0.04301800  1
  O  O18  1  0.68752900  0.84376400  0.90594300  1
  O  O19  1  0.00000000  0.00000000  0.75819400  1
  O  O20  1  0.15623600  0.84376400  0.90594300  1
  O  O21  1  0.15623600  0.31247100  0.90594300  1
  O  O22  1  0.51501900  0.03003800  0.75324800  1
  O  O23  1  0.36086300  0.18043100  0.57791700  1
  O  O24  1  0.51501900  0.48498100  0.75324800  1
  O  O25  1  0.66666700  0.33333300  0.90862400  1
  O  O26  1  0.81956900  0.18043100  0.57791700  1
  O  O27  1  0.66666700  0.33333300  0.42734200  1
  O  O28  1  0.96996200  0.48498100  0.75324800  1
  O  O29  1  0.81956900  0.63913700  0.57791700  1
  O  O30  1  0.18111500  0.36223100  0.41973600  1
  O  O31  1  0.02754000  0.51377000  0.24692300  1
  O  O32  1  0.18111500  0.81888500  0.41973600  1
  O  O33  1  0.33333300  0.66666700  0.57346900  1
  O  O34  1  0.33333300  0.66666700  0.09170600  1
  O  O35  1  0.48623000  0.51377000  0.24692300  1
  O  O36  1  0.63776900  0.81888500  0.41973600  1
  O  O37  1  0.48623000  0.97246000  0.24692300  1
  O  O38  1  0.84163100  0.68326300  0.09318100  1
  O  O39  1  0.00000000  0.00000000  0.24117700  1
  O  O40  1  0.84163100  0.15836900  0.09318100  1
  O  O41  1  0.31673700  0.15836900  0.09318100  1
"
"True","mp-1041156","Zn(CoO2)2","Trigonal","P3m1","156","42","0.08489200293233001","-1.378067763571428","False","451.34595540021536","5.45842658072653","0.0","False","True","FM","8.0023615","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.95306207
_cell_length_b   5.95306207
_cell_length_c   14.70612000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000075
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn6 Co12 O24'
_cell_volume   451.34595540
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.33333300  0.66666700  0.95669900  1
  Zn  Zn1  1  0.00000000  0.00000000  0.62291800  1
  Zn  Zn2  1  0.66666700  0.33333300  0.66588700  1
  Zn  Zn3  1  0.66666700  0.33333300  0.29083600  1
  Zn  Zn4  1  0.00000000  0.00000000  0.99992500  1
  Zn  Zn5  1  0.00000000  0.00000000  0.37529800  1
  Co  Co6  1  0.83408500  0.16591500  0.83328200  1
  Co  Co7  1  0.83408500  0.66817100  0.83328200  1
  Co  Co8  1  0.50066500  0.49933500  0.49969900  1
  Co  Co9  1  0.33182900  0.16591500  0.83328200  1
  Co  Co10  1  0.50066500  0.00132900  0.49969900  1
  Co  Co11  1  0.33333300  0.66666700  0.33571700  1
  Co  Co12  1  0.33333300  0.66666700  0.71040800  1
  Co  Co13  1  0.16646700  0.83353300  0.16707900  1
  Co  Co14  1  0.99867100  0.49933500  0.49969900  1
  Co  Co15  1  0.16646700  0.33293500  0.16707900  1
  Co  Co16  1  0.66706500  0.83353300  0.16707900  1
  Co  Co17  1  0.66666700  0.33333300  0.04335400  1
  O  O18  1  0.15504200  0.84495800  0.90729800  1
  O  O19  1  0.00000000  0.00000000  0.75772400  1
  O  O20  1  0.15504200  0.31008400  0.90729800  1
  O  O21  1  0.68991600  0.84495800  0.90729800  1
  O  O22  1  0.82399000  0.17601000  0.57189900  1
  O  O23  1  0.97987300  0.48993600  0.75820800  1
  O  O24  1  0.66666700  0.33333300  0.42486900  1
  O  O25  1  0.51006400  0.02012700  0.75820800  1
  O  O26  1  0.66666700  0.33333300  0.90909000  1
  O  O27  1  0.82399000  0.64797900  0.57189900  1
  O  O28  1  0.35202100  0.17601000  0.57189900  1
  O  O29  1  0.51006400  0.48993600  0.75820800  1
  O  O30  1  0.48208200  0.51791800  0.24901800  1
  O  O31  1  0.63915600  0.81957800  0.42112600  1
  O  O32  1  0.18042200  0.36084400  0.42112600  1
  O  O33  1  0.33333300  0.66666700  0.09295300  1
  O  O34  1  0.33333300  0.66666700  0.57529100  1
  O  O35  1  0.48208200  0.96416400  0.24901800  1
  O  O36  1  0.03583600  0.51791800  0.24901800  1
  O  O37  1  0.18042200  0.81957800  0.42112600  1
  O  O38  1  0.31150500  0.15575300  0.09298800  1
  O  O39  1  0.84424700  0.68849500  0.09298800  1
  O  O40  1  0.00000000  0.00000000  0.24060100  1
  O  O41  1  0.84424700  0.15575300  0.09298800  1
"
"True","mp-1041967","Zn(CoO2)2","Orthorhombic","Imma","74","14","0.15863620578947302","-1.304323560714285","False","149.55969547223685","5.490870501086477","0.198299999999999","False","False","FM","7.9990375","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.98232231
_cell_length_b   5.98232231
_cell_length_c   5.98232231
_cell_angle_alpha   120.97042860
_cell_angle_beta   120.58759418
_cell_angle_gamma   88.65625409
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn2 Co4 O8'
_cell_volume   149.55969547
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.50000000  0.50000000  0.00000000  1
  Zn  Zn1  1  0.00000000  0.50000000  0.50000000  1
  Co  Co2  1  0.63140600  0.88140600  0.75000000  1
  Co  Co3  1  0.36859400  0.11859400  0.25000000  1
  Co  Co4  1  0.00000000  0.00000000  0.50000000  1
  Co  Co5  1  0.00000000  0.50000000  0.00000000  1
  O  O6  1  0.23348100  0.23708200  0.50360100  1
  O  O7  1  0.23892500  0.25029500  0.98863000  1
  O  O8  1  0.23348100  0.72988000  0.99639900  1
  O  O9  1  0.76166600  0.25029500  0.51137000  1
  O  O10  1  0.23833400  0.74970500  0.48863000  1
  O  O11  1  0.76107500  0.74970500  0.01137000  1
  O  O12  1  0.76651900  0.27012000  0.00360100  1
  O  O13  1  0.76651900  0.76291800  0.49639900  1
"
"True","mp-1042295","Zn(CoO2)2","Orthorhombic","P2_12_12","18","28","0.25412940757518704","-1.208830358928571","False","276.36670167823405","5.9429223204762","0.15989999999999902","True","False","FM","16.0029927","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.92739982
_cell_length_b   9.74213473
_cell_length_c   9.69061310
_cell_angle_alpha   89.99040038
_cell_angle_beta   90.09021003
_cell_angle_gamma   90.13285042
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn4 Co8 O16'
_cell_volume   276.36670168
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.26245800  0.74776300  0.13736800  1
  Zn  Zn1  1  0.26466500  0.25122700  0.36180500  1
  Zn  Zn2  1  0.73292800  0.75637600  0.63999800  1
  Zn  Zn3  1  0.73458200  0.24981300  0.86140400  1
  Co  Co4  1  0.75481600  0.57157600  0.38317000  1
  Co  Co5  1  0.75145700  0.07196800  0.11831600  1
  Co  Co6  1  0.24623500  0.07144000  0.61729000  1
  Co  Co7  1  0.75851800  0.42962900  0.11831200  1
  Co  Co8  1  0.24614100  0.42951400  0.61781600  1
  Co  Co9  1  0.75333600  0.92841900  0.38097600  1
  Co  Co10  1  0.24264600  0.92990700  0.88290000  1
  Co  Co11  1  0.25084500  0.57107100  0.88126800  1
  O  O12  1  0.25070300  0.88674100  0.52481600  1
  O  O13  1  0.74864700  0.11182800  0.47380800  1
  O  O14  1  0.25356500  0.99884300  0.24912800  1
  O  O15  1  0.74162300  0.88865300  0.02493600  1
  O  O16  1  0.75449300  0.61357400  0.02605800  1
  O  O17  1  0.76443900  0.24984400  0.20800000  1
  O  O18  1  0.24912100  0.11398200  0.97378700  1
  O  O19  1  0.23540100  0.24893700  0.70771300  1
  O  O20  1  0.25584100  0.49892500  0.25072200  1
  O  O21  1  0.74321800  0.99682000  0.74885100  1
  O  O22  1  0.25454900  0.61222200  0.52577000  1
  O  O23  1  0.23436300  0.74928500  0.79321400  1
  O  O24  1  0.76130800  0.74908000  0.29138900  1
  O  O25  1  0.74756200  0.49740600  0.75093700  1
  O  O26  1  0.25999400  0.38829100  0.97541500  1
  O  O27  1  0.74654300  0.38686600  0.47483400  1
"
"True","mp-1042573","Zn(CoO2)2","Monoclinic","C2/m","12","14","0.31138233721804404","-1.151577429285714","False","159.1820902479926","5.158952987365602","0.27689999999999904","False","False","FM","3.999984699999999","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.47129852
_cell_length_b   7.47129852
_cell_length_c   9.12159631
_cell_angle_alpha   53.12172375
_cell_angle_beta   53.12172375
_cell_angle_gamma   23.30298529
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn2 Co4 O8'
_cell_volume   159.18209025
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.67601400  0.67601400  0.31300300  1
  Zn  Zn1  1  0.32398600  0.32398600  0.68699700  1
  Co  Co2  1  0.36898000  0.36898000  0.95462800  1
  Co  Co3  1  0.86818700  0.86818700  0.30869300  1
  Co  Co4  1  0.13181300  0.13181300  0.69130700  1
  Co  Co5  1  0.63102000  0.63102000  0.04537200  1
  O  O6  1  0.14387400  0.14387400  0.89080600  1
  O  O7  1  0.52948600  0.52948600  0.76759200  1
  O  O8  1  0.47051400  0.47051400  0.23240800  1
  O  O9  1  0.85612600  0.85612600  0.10919400  1
  O  O10  1  0.83152700  0.83152700  0.83811100  1
  O  O11  1  0.19957500  0.19957500  0.43846600  1
  O  O12  1  0.16847300  0.16847300  0.16188900  1
  O  O13  1  0.80042500  0.80042500  0.56153400  1
"
"True","mp-1047667","Zn(CoO2)2","Orthorhombic","Cmcm","63","14","0.254629660075187","-1.208330106428571","False","120.9968736283674","6.787058999080212","0.170799999999999","True","False","NM","8.2e-06","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.79493772
_cell_length_b   4.79493772
_cell_length_c   9.42026103
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   146.03702661
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn2 Co4 O8'
_cell_volume   120.99687363
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.60800978  0.39199022  0.75000000  1
  Zn  Zn1  1  0.39199022  0.60800978  0.25000000  1
  Co  Co2  1  0.13491686  0.86508314  0.06914815  1
  Co  Co3  1  0.86508314  0.13491686  0.93085185  1
  Co  Co4  1  0.13491686  0.86508314  0.43085185  1
  Co  Co5  1  0.86508314  0.13491686  0.56914815  1
  O  O6  1  0.76788352  0.23211648  0.39058709  1
  O  O7  1  0.23211648  0.76788352  0.60941291  1
  O  O8  1  0.23211648  0.76788352  0.89058709  1
  O  O9  1  0.76788352  0.23211648  0.10941291  1
  O  O10  1  0.04419890  0.95580110  0.25000000  1
  O  O11  1  0.95580110  0.04419890  0.75000000  1
  O  O12  1  0.50000000  0.50000000  -0.00000000  1
  O  O13  1  0.50000000  0.50000000  0.50000000  1
"
"True","mp-1048280","Zn(CoO2)2","Orthorhombic","Pmmn","59","28","0.21539063793233001","-1.247569128571428","False","303.35149243179603","5.414266555518064","0.38720000000000004","False","False","FM","8.0000369","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.01733600
_cell_length_b   5.86390700
_cell_length_c   10.31064600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn4 Co8 O16'
_cell_volume   303.35149243
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.34384200  0.00000000  0.50000000  1
  Zn  Zn1  1  0.65615800  0.50000000  0.00000000  1
  Zn  Zn2  1  0.01468700  0.00000000  0.00000000  1
  Zn  Zn3  1  0.98531300  0.50000000  0.50000000  1
  Co  Co4  1  0.01878100  0.50000000  0.23182600  1
  Co  Co5  1  0.01878100  0.50000000  0.76817400  1
  Co  Co6  1  0.98121900  0.00000000  0.26817400  1
  Co  Co7  1  0.98121900  0.00000000  0.73182600  1
  Co  Co8  1  0.50000000  0.25000000  0.25000000  1
  Co  Co9  1  0.50000000  0.75000000  0.75000000  1
  Co  Co10  1  0.50000000  0.75000000  0.25000000  1
  Co  Co11  1  0.50000000  0.25000000  0.75000000  1
  O  O12  1  0.34729900  0.50000000  0.14073100  1
  O  O13  1  0.34729900  0.50000000  0.85926900  1
  O  O14  1  0.65270100  0.00000000  0.35926900  1
  O  O15  1  0.65270100  0.00000000  0.64073100  1
  O  O16  1  0.68873700  0.50000000  0.34575900  1
  O  O17  1  0.68873700  0.50000000  0.65424100  1
  O  O18  1  0.31126300  0.00000000  0.15424100  1
  O  O19  1  0.31126300  0.00000000  0.84575900  1
  O  O20  1  0.16673500  0.25226400  0.36532400  1
  O  O21  1  0.16673500  0.74773600  0.63467600  1
  O  O22  1  0.83326500  0.75226400  0.13467600  1
  O  O23  1  0.83326500  0.24773600  0.86532400  1
  O  O24  1  0.83326500  0.24773600  0.13467600  1
  O  O25  1  0.83326500  0.75226400  0.86532400  1
  O  O26  1  0.16673500  0.74773600  0.36532400  1
  O  O27  1  0.16673500  0.25226400  0.63467600  1
"
"True","mp-1048393","Zn(CoO2)2","Orthorhombic","Pnma","62","28","0.23775958793232901","-1.225200178571429","False","278.91518970336415","5.888620988289452","0.3609","False","False","FM","8.003568","# generated using pymatgen
data_Zn(CoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.95632800
_cell_length_b   9.18805400
_cell_length_c   10.26824000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(CoO2)2
_chemical_formula_sum   'Zn4 Co8 O16'
_cell_volume   278.91518970
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.75000000  0.74477300  0.34399900  1
  Zn  Zn1  1  0.25000000  0.25522700  0.65600100  1
  Zn  Zn2  1  0.75000000  0.24477300  0.15600100  1
  Zn  Zn3  1  0.25000000  0.75522700  0.84399900  1
  Co  Co4  1  0.25000000  0.90661100  0.10333000  1
  Co  Co5  1  0.75000000  0.59338900  0.60333000  1
  Co  Co6  1  0.25000000  0.40661100  0.39667000  1
  Co  Co7  1  0.75000000  0.09338900  0.89667000  1
  Co  Co8  1  0.75000000  0.05859700  0.38427300  1
  Co  Co9  1  0.25000000  0.94140300  0.61572700  1
  Co  Co10  1  0.75000000  0.55859700  0.11572700  1
  Co  Co11  1  0.25000000  0.44140300  0.88427300  1
  O  O12  1  0.25000000  0.40258100  0.06395900  1
  O  O13  1  0.75000000  0.59741900  0.93604100  1
  O  O14  1  0.25000000  0.90258100  0.43604100  1
  O  O15  1  0.75000000  0.09741900  0.56395900  1
  O  O16  1  0.25000000  0.55943700  0.72274800  1
  O  O17  1  0.75000000  0.44056300  0.27725200  1
  O  O18  1  0.25000000  0.05943700  0.77725200  1
  O  O19  1  0.75000000  0.94056300  0.22274800  1
  O  O20  1  0.25000000  0.11507400  0.04291100  1
  O  O21  1  0.75000000  0.88492600  0.95708900  1
  O  O22  1  0.25000000  0.61507400  0.45708900  1
  O  O23  1  0.75000000  0.38492600  0.54291100  1
  O  O24  1  0.75000000  0.30481400  0.82289700  1
  O  O25  1  0.25000000  0.69518600  0.17710300  1
  O  O26  1  0.25000000  0.19518600  0.32289700  1
  O  O27  1  0.75000000  0.80481400  0.67710300  1
"
