"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1238791","Cr2CuS4","Monoclinic","C2/m","12","7","0.137175084285713","-0.783912019999998","False","106.79698053546778","4.599235525828703","0.0","False","True","FM","2.4883202","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.48227636
_cell_length_b   6.48227636
_cell_length_c   5.66706639
_cell_angle_alpha   65.06208894
_cell_angle_beta   65.06208894
_cell_angle_gamma   29.89766094
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr2 Cu1 S4'
_cell_volume   106.79698054
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.75725800  0.75725800  0.18939300  1
  Cr  Cr1  1  0.24274200  0.24274200  0.81060700  1
  Cu  Cu2  1  0.50000000  0.50000000  0.50000000  1
  S  S3  1  0.38352400  0.38352400  0.95907900  1
  S  S4  1  0.61647600  0.61647600  0.04092100  1
  S  S5  1  0.85273400  0.85273400  0.48540700  1
  S  S6  1  0.14726600  0.14726600  0.51459300  1
"
"True","mp-1238801","Cr2CuS4","Monoclinic","P2/m","10","14","0.10949004214285601","-0.8115970621428551","False","231.1471952978498","4.249971247083777","0.0","False","True","FiM","10.0584333","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.91496253
_cell_length_b   5.90687124
_cell_length_c   5.66518518
_cell_angle_alpha   92.67308518
_cell_angle_beta   90.00414296
_cell_angle_gamma   90.00066340
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr4 Cu2 S8'
_cell_volume   231.14719530
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.25001900  0.50001600  0.49999000  1
  Cr  Cr1  1  0.74997200  0.49998800  0.50000500  1
  Cr  Cr2  1  0.00003200  0.00000300  0.50000800  1
  Cr  Cr3  1  0.50003700  0.00003800  0.50000000  1
  Cu  Cu4  1  0.00003000  0.99999500  0.99998900  1
  Cu  Cu5  1  0.49998600  0.99998500  0.00001000  1
  S  S6  1  0.99996900  0.32639200  0.27016300  1
  S  S7  1  0.49997700  0.32644500  0.27016700  1
  S  S8  1  0.24995900  0.82391700  0.25998500  1
  S  S9  1  0.75004400  0.82387600  0.25997600  1
  S  S10  1  0.24995700  0.17607900  0.74000400  1
  S  S11  1  0.75003000  0.17611200  0.74003300  1
  S  S12  1  0.49999700  0.67353200  0.72985200  1
  S  S13  1  0.99999000  0.67362000  0.72981900  1
"
"True","mp-1238809","Cr2CuS4","Orthorhombic","Pnma","62","28","0.20158794214285602","-0.719499162142855","False","454.89743275490736","4.319078821397558","0.0","False","True","FiM","20.2972469","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.30959300
_cell_length_b   3.40828400
_cell_length_c   11.80132400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr8 Cu4 S16'
_cell_volume   454.89743275
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.10971700  0.25000000  0.07991900  1
  Cr  Cr1  1  0.89028300  0.75000000  0.92008100  1
  Cr  Cr2  1  0.39028300  0.75000000  0.57991900  1
  Cr  Cr3  1  0.60971700  0.25000000  0.42008100  1
  Cr  Cr4  1  0.14408400  0.25000000  0.70590700  1
  Cr  Cr5  1  0.85591600  0.75000000  0.29409300  1
  Cr  Cr6  1  0.35591600  0.75000000  0.20590700  1
  Cr  Cr7  1  0.64408400  0.25000000  0.79409300  1
  Cu  Cu8  1  0.12476900  0.75000000  0.42333600  1
  Cu  Cu9  1  0.87523100  0.25000000  0.57666400  1
  Cu  Cu10  1  0.37523100  0.25000000  0.92333600  1
  Cu  Cu11  1  0.62476900  0.75000000  0.07666400  1
  S  S12  1  0.03294600  0.75000000  0.61377800  1
  S  S13  1  0.96705400  0.25000000  0.38622200  1
  S  S14  1  0.46705400  0.25000000  0.11377800  1
  S  S15  1  0.53294600  0.75000000  0.88622200  1
  S  S16  1  0.03175000  0.25000000  0.88177100  1
  S  S17  1  0.96825000  0.75000000  0.11822900  1
  S  S18  1  0.46825000  0.75000000  0.38177100  1
  S  S19  1  0.53175000  0.25000000  0.61822900  1
  S  S20  1  0.21422200  0.25000000  0.25350800  1
  S  S21  1  0.78577800  0.75000000  0.74649200  1
  S  S22  1  0.28577800  0.75000000  0.75350800  1
  S  S23  1  0.71422200  0.25000000  0.24649200  1
  S  S24  1  0.24763200  0.75000000  0.02988000  1
  S  S25  1  0.75236800  0.25000000  0.97012000  1
  S  S26  1  0.25236800  0.25000000  0.52988000  1
  S  S27  1  0.74763200  0.75000000  0.47012000  1
"
"True","mp-1238816","Cr2CuS4","Triclinic","P-1","2","28","0.20974790357142703","-0.711339200714283","False","532.7323459674234","3.688039373978587","0.0","False","True","FiM","20.0004946","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.23951058
_cell_length_b   7.21221344
_cell_length_c   12.00054802
_cell_angle_alpha   81.88320217
_cell_angle_beta   85.29385000
_cell_angle_gamma   90.36471855
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr8 Cu4 S16'
_cell_volume   532.73234597
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.14509700  0.70009100  0.70524500  1
  Cr  Cr1  1  0.85490300  0.29990900  0.29475500  1
  Cr  Cr2  1  0.24313100  0.87798400  0.99947000  1
  Cr  Cr3  1  0.75686900  0.12201600  0.00053000  1
  Cr  Cr4  1  0.36889900  0.55269300  0.29403500  1
  Cr  Cr5  1  0.63110100  0.44730700  0.70596500  1
  Cr  Cr6  1  0.37209400  0.04968400  0.29677900  1
  Cr  Cr7  1  0.62790600  0.95031600  0.70322100  1
  Cu  Cu8  1  0.12823300  0.20103100  0.70565300  1
  Cu  Cu9  1  0.87176700  0.79896900  0.29434700  1
  Cu  Cu10  1  0.25068800  0.37301400  0.99914300  1
  Cu  Cu11  1  0.74931200  0.62698600  0.00085700  1
  S  S12  1  0.10341000  0.65292500  0.89104700  1
  S  S13  1  0.89659000  0.34707500  0.10895300  1
  S  S14  1  0.09832500  0.14602000  0.89813600  1
  S  S15  1  0.90167500  0.85398000  0.10186400  1
  S  S16  1  0.19709200  0.78201700  0.36856000  1
  S  S17  1  0.80290800  0.21798300  0.63144000  1
  S  S18  1  0.18288300  0.28420800  0.36595600  1
  S  S19  1  0.81711700  0.71579200  0.63404400  1
  S  S20  1  0.31008900  0.96778400  0.63158900  1
  S  S21  1  0.68991100  0.03221600  0.36841100  1
  S  S22  1  0.31372800  0.46757500  0.63304100  1
  S  S23  1  0.68627200  0.53242500  0.36695900  1
  S  S24  1  0.40487400  0.09481400  0.10708800  1
  S  S25  1  0.59512600  0.90518600  0.89291200  1
  S  S26  1  0.39346400  0.60177900  0.10708500  1
  S  S27  1  0.60653600  0.39822100  0.89291500  1
"
"True","mp-1238841","Cr2CuS4","Orthorhombic","Pmmn","59","28","0.17280398607142702","-0.7482831182142841","False","483.85446663873716","4.060596735560948","0.0","False","True","FiM","20.000953","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.89023700
_cell_length_b   6.82454300
_cell_length_c   12.03672700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr8 Cu4 S16'
_cell_volume   483.85446664
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.98740700  0.00000000  0.24392800  1
  Cr  Cr1  1  0.98740700  0.00000000  0.75607200  1
  Cr  Cr2  1  0.01259300  0.50000000  0.25607200  1
  Cr  Cr3  1  0.01259300  0.50000000  0.74392800  1
  Cr  Cr4  1  0.50000000  0.25000000  0.25000000  1
  Cr  Cr5  1  0.50000000  0.75000000  0.75000000  1
  Cr  Cr6  1  0.50000000  0.75000000  0.25000000  1
  Cr  Cr7  1  0.50000000  0.25000000  0.75000000  1
  Cu  Cu8  1  0.35654600  0.00000000  0.00000000  1
  Cu  Cu9  1  0.64345400  0.50000000  0.50000000  1
  Cu  Cu10  1  0.03720500  0.00000000  0.50000000  1
  Cu  Cu11  1  0.96279500  0.50000000  0.00000000  1
  S  S12  1  0.83488200  0.25327600  0.36424900  1
  S  S13  1  0.83488200  0.74672400  0.63575100  1
  S  S14  1  0.16511800  0.75327600  0.13575100  1
  S  S15  1  0.16511800  0.24672400  0.86424900  1
  S  S16  1  0.16511800  0.24672400  0.13575100  1
  S  S17  1  0.16511800  0.75327600  0.86424900  1
  S  S18  1  0.83488200  0.74672400  0.36424900  1
  S  S19  1  0.83488200  0.25327600  0.63575100  1
  S  S20  1  0.65001500  0.00000000  0.13753800  1
  S  S21  1  0.65001500  0.00000000  0.86246200  1
  S  S22  1  0.34998500  0.50000000  0.36246200  1
  S  S23  1  0.34998500  0.50000000  0.63753800  1
  S  S24  1  0.32086200  0.00000000  0.35683600  1
  S  S25  1  0.32086200  0.00000000  0.64316400  1
  S  S26  1  0.67913800  0.50000000  0.14316400  1
  S  S27  1  0.67913800  0.50000000  0.85683600  1
"
"True","mp-1238867","Cr2CuS4","Orthorhombic","Pnma","62","28","0.20918405642856902","-0.7119030478571411","False","451.1433723398205","4.355018799300715","0.0","False","True","FiM","20.2522134","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.42682300
_cell_length_b   10.75790800
_cell_length_c   12.23756700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr8 Cu4 S16'
_cell_volume   451.14337234
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.25000000  0.04683500  0.12409100  1
  Cr  Cr1  1  0.75000000  0.95316500  0.87590900  1
  Cr  Cr2  1  0.75000000  0.45316500  0.62409100  1
  Cr  Cr3  1  0.25000000  0.54683500  0.37590900  1
  Cr  Cr4  1  0.25000000  0.10246700  0.58685900  1
  Cr  Cr5  1  0.75000000  0.89753300  0.41314100  1
  Cr  Cr6  1  0.75000000  0.39753300  0.08685900  1
  Cr  Cr7  1  0.25000000  0.60246700  0.91314100  1
  Cu  Cu8  1  0.25000000  0.26476200  0.33895000  1
  Cu  Cu9  1  0.75000000  0.73523800  0.66105000  1
  Cu  Cu10  1  0.75000000  0.23523800  0.83895000  1
  Cu  Cu11  1  0.25000000  0.76476200  0.16105000  1
  S  S12  1  0.75000000  0.07134900  0.71475300  1
  S  S13  1  0.25000000  0.92865100  0.28524700  1
  S  S14  1  0.25000000  0.42865100  0.21475300  1
  S  S15  1  0.75000000  0.57134900  0.78524700  1
  S  S16  1  0.25000000  0.09499600  0.93711500  1
  S  S17  1  0.75000000  0.90500400  0.06288500  1
  S  S18  1  0.75000000  0.40500400  0.43711500  1
  S  S19  1  0.25000000  0.59499600  0.56288500  1
  S  S20  1  0.75000000  0.11666600  0.44950800  1
  S  S21  1  0.25000000  0.88333400  0.55049200  1
  S  S22  1  0.25000000  0.38333400  0.94950800  1
  S  S23  1  0.75000000  0.61666600  0.05049200  1
  S  S24  1  0.75000000  0.18663200  0.16362400  1
  S  S25  1  0.25000000  0.81336800  0.83637600  1
  S  S26  1  0.25000000  0.31336800  0.66362400  1
  S  S27  1  0.75000000  0.68663200  0.33637600  1
"
"True","mp-1239195","Cr2CuS4","Orthorhombic","Pnma","62","28","0.09992993964285601","-0.821157164642855","False","468.0701237193541","4.197528891841555","0.0","False","True","FiM","20.0014607","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.63195300
_cell_length_b   6.95037100
_cell_length_c   11.95759700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr8 Cu4 S16'
_cell_volume   468.07012372
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.50000000  0.00000000  0.00000000  1
  Cr  Cr1  1  0.00000000  0.00000000  0.50000000  1
  Cr  Cr2  1  0.00000000  0.50000000  0.50000000  1
  Cr  Cr3  1  0.50000000  0.50000000  0.00000000  1
  Cr  Cr4  1  0.02011000  0.75000000  0.24443400  1
  Cr  Cr5  1  0.97989000  0.25000000  0.75556600  1
  Cr  Cr6  1  0.52011000  0.25000000  0.25556600  1
  Cr  Cr7  1  0.47989000  0.75000000  0.74443400  1
  Cu  Cu8  1  0.89871600  0.25000000  0.09132000  1
  Cu  Cu9  1  0.10128400  0.75000000  0.90868000  1
  Cu  Cu10  1  0.39871600  0.75000000  0.40868000  1
  Cu  Cu11  1  0.60128400  0.25000000  0.59132000  1
  S  S12  1  0.73298700  0.99132900  0.16977200  1
  S  S13  1  0.26701300  0.00867100  0.83022800  1
  S  S14  1  0.23298700  0.00867100  0.33022800  1
  S  S15  1  0.76701300  0.99132900  0.66977200  1
  S  S16  1  0.76701300  0.50867100  0.66977200  1
  S  S17  1  0.23298700  0.49132900  0.33022800  1
  S  S18  1  0.26701300  0.49132900  0.83022800  1
  S  S19  1  0.73298700  0.50867100  0.16977200  1
  S  S20  1  0.26211400  0.75000000  0.08250700  1
  S  S21  1  0.73788600  0.25000000  0.91749300  1
  S  S22  1  0.76211400  0.25000000  0.41749300  1
  S  S23  1  0.23788600  0.75000000  0.58250700  1
  S  S24  1  0.29180200  0.25000000  0.08769600  1
  S  S25  1  0.70819800  0.75000000  0.91230400  1
  S  S26  1  0.79180200  0.75000000  0.41230400  1
  S  S27  1  0.20819800  0.25000000  0.58769600  1
"
"True","mp-22803","Cr2CuS4","Cubic","Fd-3m","227","14","0.0","-0.9210871042857111","True","237.68287475674214","4.133107759090052","0.0","False","True","FiM","10.2040626","# generated using pymatgen
data_Cr2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.95293818
_cell_length_b   6.95293264
_cell_length_c   6.95294779
_cell_angle_alpha   60.00078116
_cell_angle_beta   60.00070537
_cell_angle_gamma   60.00080811
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cr2CuS4
_chemical_formula_sum   'Cr4 Cu2 S8'
_cell_volume   237.68287476
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.12499972  0.12499963  0.12499981  1
  Cr  Cr1  1  0.62500042  0.12499964  0.12499990  1
  Cr  Cr2  1  0.12499965  0.12500003  0.62500053  1
  Cr  Cr3  1  0.12499967  0.62500030  0.12499991  1
  Cu  Cu4  1  0.49999886  0.49999963  0.50000095  1
  Cu  Cu5  1  0.75000107  0.75000066  0.74999863  1
  S  S6  1  0.36781953  0.36781932  0.36782056  1
  S  S7  1  0.35346115  0.88217937  0.88217901  1
  S  S8  1  0.88217988  0.88217985  0.35346066  1
  S  S9  1  0.88217953  0.35346115  0.88217922  1
  S  S10  1  0.36781990  0.36781971  0.89653986  1
  S  S11  1  0.36782006  0.89653930  0.36782101  1
  S  S12  1  0.88218042  0.88218028  0.88217915  1
  S  S13  1  0.89653913  0.36782013  0.36782079  1
"
"True","mp-1226246","CrCuS2","Trigonal","R3m","160","4","0.25455741750000904","-0.551393798749998","False","75.15517819774298","3.969820155878783","0.0","False","True","FM","2.9999927","# generated using pymatgen
data_CrCuS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.73961337
_cell_length_b   3.73961400
_cell_length_c   6.57034645
_cell_angle_alpha   73.46609320
_cell_angle_beta   106.53390322
_cell_angle_gamma   120.00000555
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrCuS2
_chemical_formula_sum   'Cr1 Cu1 S2'
_cell_volume   75.15517820
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.53365300  0.46634700  0.60096000  1
  Cu  Cu1  1  0.10870500  0.89129500  0.32611500  1
  S  S2  1  0.25756500  0.74243500  0.77269400  1
  S  S3  1  0.77207700  0.22792300  0.31623200  1
"
"True","mp-555345","CrCuS2","Trigonal","R3m","160","4","0.22300565000000902","-0.582945566249998","False","59.811925300177236","4.98817818906053","0.0","False","True","FM","1.1338207","# generated using pymatgen
data_CrCuS2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.69454429
_cell_length_b   6.69454429
_cell_length_c   6.69454452
_cell_angle_alpha   28.35724964
_cell_angle_beta   28.35724964
_cell_angle_gamma   28.35725245
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrCuS2
_chemical_formula_sum   'Cr1 Cu1 S2'
_cell_volume   59.81192530
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cr  Cr0  1  0.85751300  0.85751300  0.85751300  1
  Cu  Cu1  1  0.00556900  0.00556900  0.00556900  1
  S  S2  1  0.26665600  0.26665600  0.26665600  1
  S  S3  1  0.12026200  0.12026200  0.12026200  1
"
