"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-849774","V16CrO41","Orthorhombic","Pmm2","25","58","0.07297059390086401","-2.240018756120689","False","788.0955247417975","3.209077920341263","0.023200000000000002","False","False","FiM","4.0021146","# generated using pymatgen
data_V16CrO41
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.64982100
_cell_length_b   14.67853700
_cell_length_c   4.60868300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V16CrO41
_chemical_formula_sum   'V16 Cr1 O41'
_cell_volume   788.09552474
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.10097500  0.31250000  0.11103400  1
  V  V1  1  0.10063400  0.06425800  0.10830800  1
  V  V2  1  0.10063400  0.56074200  0.10830800  1
  V  V3  1  0.10104800  0.81250000  0.11701900  1
  V  V4  1  0.39936600  0.06425800  0.10830800  1
  V  V5  1  0.39902500  0.31250000  0.11103400  1
  V  V6  1  0.39936600  0.56074200  0.10830800  1
  V  V7  1  0.39895200  0.81250000  0.11701900  1
  V  V8  1  0.60037500  0.18953300  0.88976300  1
  V  V9  1  0.60037500  0.43546700  0.88976300  1
  V  V10  1  0.59052600  0.94486700  0.87419800  1
  V  V11  1  0.59052600  0.68013300  0.87419800  1
  V  V12  1  0.90947400  0.94486700  0.87419800  1
  V  V13  1  0.89962500  0.18953300  0.88976300  1
  V  V14  1  0.89962500  0.43546700  0.88976300  1
  V  V15  1  0.90947400  0.68013300  0.87419800  1
  Cr  Cr16  1  0.75000000  0.81250000  0.13483000  1
  O  O17  1  0.06807100  0.68626600  0.00292100  1
  O  O18  1  0.06933200  0.18855300  0.00782500  1
  O  O19  1  0.06933200  0.43644700  0.00782500  1
  O  O20  1  0.06807100  0.93873400  0.00292100  1
  O  O21  1  0.10533400  0.06388900  0.45784900  1
  O  O22  1  0.10440400  0.31250000  0.46079600  1
  O  O23  1  0.10533400  0.56111100  0.45784900  1
  O  O24  1  0.10138000  0.81250000  0.46848100  1
  O  O25  1  0.25000000  0.56138500  0.00066300  1
  O  O26  1  0.25000000  0.06361500  0.00066300  1
  O  O27  1  0.25000000  0.31250000  0.00287000  1
  O  O28  1  0.25000000  0.81250000  0.02122700  1
  O  O29  1  0.39466600  0.06388900  0.45784900  1
  O  O30  1  0.39559600  0.31250000  0.46079600  1
  O  O31  1  0.39466600  0.56111100  0.45784900  1
  O  O32  1  0.39862000  0.81250000  0.46848100  1
  O  O33  1  0.43066800  0.43644700  0.00782500  1
  O  O34  1  0.43066800  0.18855300  0.00782500  1
  O  O35  1  0.43192900  0.68626600  0.00292100  1
  O  O36  1  0.43192900  0.93873400  0.00292100  1
  O  O37  1  0.59106700  0.81250000  0.99813100  1
  O  O38  1  0.56915400  0.06673700  0.99520600  1
  O  O39  1  0.56750000  0.31250000  0.99401200  1
  O  O40  1  0.56915400  0.55826300  0.99520600  1
  O  O41  1  0.59426900  0.94821000  0.52395500  1
  O  O42  1  0.60380100  0.18890500  0.53983800  1
  O  O43  1  0.60380100  0.43609500  0.53983800  1
  O  O44  1  0.59426900  0.67679000  0.52395500  1
  O  O45  1  0.75000000  0.81250000  0.47987700  1
  O  O46  1  0.75000000  0.93398800  0.99044000  1
  O  O47  1  0.75000000  0.18889500  0.99609100  1
  O  O48  1  0.75000000  0.43610500  0.99609100  1
  O  O49  1  0.75000000  0.69101200  0.99044000  1
  O  O50  1  0.90573100  0.94821000  0.52395500  1
  O  O51  1  0.89619900  0.18890500  0.53983800  1
  O  O52  1  0.89619900  0.43609500  0.53983800  1
  O  O53  1  0.90573100  0.67679000  0.52395500  1
  O  O54  1  0.90893300  0.81250000  0.99813100  1
  O  O55  1  0.93084600  0.06673700  0.99520600  1
  O  O56  1  0.93250000  0.31250000  0.99401200  1
  O  O57  1  0.93084600  0.55826300  0.99520600  1
"
"True","mp-1306095","V2CrO6","Triclinic","P-1","2","18","0.067795089097193","-2.3481362205555563","False","246.49673601420872","3.366600598819212","1.3129","False","False","FM","8.0084059","# generated using pymatgen
data_V2CrO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52775392
_cell_length_b   7.10483048
_cell_length_c   6.76814225
_cell_angle_alpha   96.40839286
_cell_angle_beta   71.57788423
_cell_angle_gamma   101.85575318
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2CrO6
_chemical_formula_sum   'V4 Cr2 O12'
_cell_volume   246.49673601
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.74506000  0.21174900  0.61229100  1
  V  V1  1  0.25488300  0.78826600  0.38765000  1
  V  V2  1  0.18559100  0.39176500  0.83689700  1
  V  V3  1  0.81430600  0.60822400  0.16318900  1
  Cr  Cr4  1  0.74597700  0.08280900  0.08191300  1
  Cr  Cr5  1  0.25425800  0.91718700  0.91802600  1
  O  O6  1  0.63941100  0.03727800  0.80935700  1
  O  O7  1  0.13192700  0.16736500  0.96483400  1
  O  O8  1  0.86812600  0.83257800  0.03510900  1
  O  O9  1  0.36065500  0.96273300  0.19057800  1
  O  O10  1  0.76440600  0.10706700  0.36950100  1
  O  O11  1  0.78118500  0.37196700  0.04293200  1
  O  O12  1  0.21886100  0.62802500  0.95715800  1
  O  O13  1  0.23559000  0.89298300  0.63037500  1
  O  O14  1  0.53126100  0.37207200  0.67557600  1
  O  O15  1  0.05545400  0.33531900  0.60942800  1
  O  O16  1  0.94441500  0.66472800  0.39067800  1
  O  O17  1  0.46863500  0.62788500  0.32450800  1
"
"True","mp-1312918","V2CrO6","Monoclinic","C2","5","18","0.070115038541638","-2.345816271111111","False","247.03054013511868","3.359325768459676","1.6599","False","False","FM","8.0033057","# generated using pymatgen
data_V2CrO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.51678619
_cell_length_b   6.95520662
_cell_length_c   6.94837379
_cell_angle_alpha   97.83863884
_cell_angle_beta   74.54760203
_cell_angle_gamma   105.48857418
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2CrO6
_chemical_formula_sum   'V4 Cr2 O12'
_cell_volume   247.03054014
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.68787800  0.16378000  0.60355800  1
  V  V1  1  0.21968600  0.38645900  0.80693200  1
  V  V2  1  0.81207600  0.60379500  0.16374400  1
  V  V3  1  0.28036500  0.80674900  0.38638400  1
  Cr  Cr4  1  0.24987400  0.91678200  0.91709800  1
  Cr  Cr5  1  0.74999200  0.07687200  0.07667100  1
  O  O6  1  0.63408800  0.02167500  0.82437400  1
  O  O7  1  0.13755800  0.18401100  0.96276100  1
  O  O8  1  0.86618600  0.82438500  0.02165400  1
  O  O9  1  0.36250800  0.96260700  0.18388300  1
  O  O10  1  0.78652400  0.09383700  0.35568100  1
  O  O11  1  0.71338300  0.35586400  0.09382200  1
  O  O12  1  0.19855100  0.61897200  0.94816600  1
  O  O13  1  0.30161700  0.94804100  0.61904600  1
  O  O14  1  0.53016600  0.38591100  0.66912700  1
  O  O15  1  0.01635300  0.33236600  0.64907800  1
  O  O16  1  0.96974700  0.66896000  0.38583300  1
  O  O17  1  0.48344800  0.64893300  0.33218800  1
"
"True","mp-754506","V2CrO6","Monoclinic","C2/c","15","18","0.110729254097194","-2.3052020555555552","False","243.81341532222345","3.403652165635266","0.0","False","True","FM","7.9995784","# generated using pymatgen
data_V2CrO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.76220870
_cell_length_b   6.76220870
_cell_length_c   5.70810371
_cell_angle_alpha   75.17271933
_cell_angle_beta   75.17271933
_cell_angle_gamma   84.63038234
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2CrO6
_chemical_formula_sum   'V4 Cr2 O12'
_cell_volume   243.81341532
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.79944100  0.60498900  0.26025900  1
  V  V1  1  0.60498900  0.79944100  0.76025900  1
  V  V2  1  0.39501100  0.20055900  0.23974100  1
  V  V3  1  0.20055900  0.39501100  0.73974100  1
  Cr  Cr4  1  0.91631900  0.08368100  0.25000000  1
  Cr  Cr5  1  0.08368100  0.91631900  0.75000000  1
  O  O6  1  0.96867400  0.81296700  0.13116500  1
  O  O7  1  0.91559100  0.36525200  0.28749700  1
  O  O8  1  0.81296700  0.96867400  0.63116500  1
  O  O9  1  0.62908000  0.64675600  0.05747600  1
  O  O10  1  0.63474800  0.08440900  0.21250300  1
  O  O11  1  0.64675600  0.62908000  0.55747600  1
  O  O12  1  0.35324500  0.37092000  0.44252400  1
  O  O13  1  0.36525200  0.91559100  0.78749700  1
  O  O14  1  0.37092000  0.35324500  0.94252400  1
  O  O15  1  0.18703300  0.03132600  0.36883500  1
  O  O16  1  0.08440900  0.63474800  0.71250300  1
  O  O17  1  0.03132600  0.18703300  0.86883500  1
"
"True","mp-773503","V2CrO7","Cubic","Pa-3","205","40","0.045066846875002","-2.198481662249999","False","644.0411417479893","2.742033883612509","0.6825000000000001","False","False","FM","7.9927395","# generated using pymatgen
data_V2CrO7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.63583900
_cell_length_b   8.63583900
_cell_length_c   8.63583900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2CrO7
_chemical_formula_sum   'V8 Cr4 O28'
_cell_volume   644.04114175
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.11915200  0.88084800  0.38084800  1
  V  V1  1  0.11915200  0.61915200  0.88084800  1
  V  V2  1  0.38084800  0.38084800  0.38084800  1
  V  V3  1  0.38084800  0.11915200  0.88084800  1
  V  V4  1  0.61915200  0.61915200  0.61915200  1
  V  V5  1  0.61915200  0.88084800  0.11915200  1
  V  V6  1  0.88084800  0.11915200  0.61915200  1
  V  V7  1  0.88084800  0.38084800  0.11915200  1
  Cr  Cr8  1  0.00000000  0.00000000  0.00000000  1
  Cr  Cr9  1  0.00000000  0.50000000  0.50000000  1
  Cr  Cr10  1  0.50000000  0.00000000  0.50000000  1
  Cr  Cr11  1  0.50000000  0.50000000  0.00000000  1
  O  O12  1  0.00000000  0.00000000  0.50000000  1
  O  O13  1  0.00000000  0.50000000  0.00000000  1
  O  O14  1  0.06244000  0.69191600  0.40749400  1
  O  O15  1  0.06244000  0.80808400  0.90749400  1
  O  O16  1  0.09250600  0.56244000  0.69191600  1
  O  O17  1  0.09250600  0.93756000  0.19191600  1
  O  O18  1  0.19191600  0.09250600  0.93756000  1
  O  O19  1  0.19191600  0.40749400  0.43756000  1
  O  O20  1  0.30808400  0.59250600  0.93756000  1
  O  O21  1  0.30808400  0.90749400  0.43756000  1
  O  O22  1  0.40749400  0.06244000  0.69191600  1
  O  O23  1  0.40749400  0.43756000  0.19191600  1
  O  O24  1  0.43756000  0.30808400  0.90749400  1
  O  O25  1  0.43756000  0.19191600  0.40749400  1
  O  O26  1  0.50000000  0.50000000  0.50000000  1
  O  O27  1  0.50000000  0.00000000  0.00000000  1
  O  O28  1  0.56244000  0.69191600  0.09250600  1
  O  O29  1  0.56244000  0.80808400  0.59250600  1
  O  O30  1  0.59250600  0.56244000  0.80808400  1
  O  O31  1  0.59250600  0.93756000  0.30808400  1
  O  O32  1  0.69191600  0.09250600  0.56244000  1
  O  O33  1  0.69191600  0.40749400  0.06244000  1
  O  O34  1  0.80808400  0.59250600  0.56244000  1
  O  O35  1  0.80808400  0.90749400  0.06244000  1
  O  O36  1  0.90749400  0.06244000  0.80808400  1
  O  O37  1  0.90749400  0.43756000  0.30808400  1
  O  O38  1  0.93756000  0.19191600  0.09250600  1
  O  O39  1  0.93756000  0.30808400  0.59250600  1
"
"True","mp-755604","V3CrO10","Tetragonal","P-4m2","115","28","0.081349937946429","-2.093440165714287","False","395.9864152750792","3.059644836276669","0.0","False","True","FM","2.0008887","# generated using pymatgen
data_V3CrO10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.01537910
_cell_length_b   8.01111721
_cell_length_c   8.01088471
_cell_angle_alpha   110.43880571
_cell_angle_beta   71.01991918
_cell_angle_gamma   71.01925530
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V3CrO10
_chemical_formula_sum   'V6 Cr2 O20'
_cell_volume   395.98641528
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.25050600  0.55903300  0.80815600  1
  V  V1  1  0.74917300  0.44179300  0.19122500  1
  V  V2  1  0.75096100  0.94021000  0.69077900  1
  V  V3  1  0.25000800  0.74984300  0.49990800  1
  V  V4  1  0.24999800  0.24996500  0.99989700  1
  V  V5  1  0.24948400  0.05865300  0.30966400  1
  Cr  Cr6  1  0.74986800  0.75102000  0.00063800  1
  Cr  Cr7  1  0.75007900  0.24961400  0.49975200  1
  O  O8  1  0.24986900  0.88143200  0.13349700  1
  O  O9  1  0.25021000  0.38317600  0.63120900  1
  O  O10  1  0.74802600  0.61871900  0.36859500  1
  O  O11  1  0.75204200  0.11647200  0.86672400  1
  O  O12  1  0.75169500  0.75050600  0.78408000  1
  O  O13  1  0.74808400  0.25225800  0.28605800  1
  O  O14  1  0.53364100  0.96417500  0.21612200  1
  O  O15  1  0.53362300  0.46573300  0.71395800  1
  O  O16  1  0.96636100  0.74962600  0.99759900  1
  O  O17  1  0.96638900  0.24755500  0.49953400  1
  O  O18  1  0.74793500  0.53645100  0.00253800  1
  O  O19  1  0.75204800  0.03388900  0.50020700  1
  O  O20  1  0.25033300  0.96716800  0.49930900  1
  O  O21  1  0.24968800  0.46716200  0.99801000  1
  O  O22  1  0.03207200  0.75062600  0.50042100  1
  O  O23  1  0.03086400  0.25208300  0.00222200  1
  O  O24  1  0.46793300  0.53242900  0.28273300  1
  O  O25  1  0.46902800  0.03332800  0.78290000  1
  O  O26  1  0.24981300  0.74945100  0.71751000  1
  O  O27  1  0.25027200  0.24762900  0.21675500  1
"
"True","mp-1246656","V3CrO8","Monoclinic","C2/m","12","12","0.198498246406229","-2.24406728","False","147.5491344470263","3.74555662392007","0.9460000000000001","False","False","FM","4.9999949","# generated using pymatgen
data_V3CrO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.83408262
_cell_length_b   5.93066052
_cell_length_c   5.86536125
_cell_angle_alpha   61.30101060
_cell_angle_beta   60.76428500
_cell_angle_gamma   61.71673597
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V3CrO8
_chemical_formula_sum   'V3 Cr1 O8'
_cell_volume   147.54913445
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.49947600  0.50084200  0.49993100  1
  V  V1  1  0.50000600  0.49984100  0.99981800  1
  V  V2  1  0.99965000  0.49972100  0.50036100  1
  Cr  Cr3  1  0.50049700  0.00015900  0.49980000  1
  O  O4  1  0.73216400  0.72205600  0.74288300  1
  O  O5  1  0.26141800  0.27955900  0.69997300  1
  O  O6  1  0.27060800  0.70499000  0.27245700  1
  O  O7  1  0.70142100  0.28065200  0.27107700  1
  O  O8  1  0.72916700  0.29481900  0.72767300  1
  O  O9  1  0.29898900  0.71950300  0.72852600  1
  O  O10  1  0.26803400  0.27754800  0.25730600  1
  O  O11  1  0.73856400  0.72031500  0.30018400  1
"
"True","mp-1247235","V3CrO8","Triclinic","P-1","2","12","0.10381632640623001","-2.3387492","False","144.576274471974","3.822574899651766","1.52","False","False","FM","5.0","# generated using pymatgen
data_V3CrO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.83793329
_cell_length_b   5.80904623
_cell_length_c   6.20419563
_cell_angle_alpha   58.83326102
_cell_angle_beta   57.57776979
_cell_angle_gamma   59.99844032
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V3CrO8
_chemical_formula_sum   'V3 Cr1 O8'
_cell_volume   144.57627447
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.92082500  0.83707800  0.91128000  1
  V  V1  1  0.16217600  0.07994000  0.16583600  1
  V  V2  1  0.53961300  0.45692800  0.53831100  1
  Cr  Cr3  1  0.54292700  0.46006400  0.03504700  1
  O  O4  1  0.78773000  0.71270400  0.25641500  1
  O  O5  1  0.28773900  0.21094400  0.25677000  1
  O  O6  1  0.80009700  0.70710100  0.81479900  1
  O  O7  1  0.29385600  0.19986500  0.82109000  1
  O  O8  1  0.30550300  0.69918500  0.28052800  1
  O  O9  1  0.77048800  0.23417200  0.28184100  1
  O  O10  1  0.77684700  0.21818000  0.79331900  1
  O  O11  1  0.31219600  0.68385800  0.79159200  1
"
"True","mp-755402","V3CrO8","Monoclinic","Cm","8","12","0.063060493072896","-2.379505033333333","False","144.3193503060998","3.82938002914758","0.044599999999999","False","False","FM","4.9996709","# generated using pymatgen
data_V3CrO8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.38741479
_cell_length_b   6.38741479
_cell_length_c   6.47207457
_cell_angle_alpha   73.60437453
_cell_angle_beta   73.60437453
_cell_angle_gamma   34.90177046
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V3CrO8
_chemical_formula_sum   'V3 Cr1 O8'
_cell_volume   144.31935031
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.59867400  0.59867400  0.29782900  1
  V  V1  1  0.39912900  0.39912900  0.72185400  1
  V  V2  1  0.70288700  0.70288700  0.71071900  1
  Cr  Cr3  1  0.29325500  0.29325500  0.31185600  1
  O  O4  1  0.86587100  0.86587100  0.69237500  1
  O  O5  1  0.75651800  0.75651800  0.35748100  1
  O  O6  1  0.64193900  0.64193900  0.98570600  1
  O  O7  1  0.55377700  0.55377700  0.63628800  1
  O  O8  1  0.44911800  0.44911800  0.35545600  1
  O  O9  1  0.36108100  0.36108100  0.99296800  1
  O  O10  1  0.24322200  0.24322200  0.64557500  1
  O  O11  1  0.13452900  0.13452900  0.29189400  1
"
"True","mp-1200219","V4Cr2O13","Monoclinic","P2_1/c","14","76","0.0","-2.361630009605264","True","1176.326960762548","2.91219606922689","2.3584","False","False","FM","24.1147542","# generated using pymatgen
data_V4Cr2O13
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.55155100
_cell_length_b   8.48419600
_cell_length_c   14.90447923
_cell_angle_alpha   76.88776705
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V4Cr2O13
_chemical_formula_sum   'V16 Cr8 O52'
_cell_volume   1176.32696076
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.71073600  0.46513000  0.09184000  1
  V  V1  1  0.21073600  0.53487000  0.40816000  1
  V  V2  1  0.28926400  0.53487000  0.90816000  1
  V  V3  1  0.78926400  0.46513000  0.59184000  1
  V  V4  1  0.72481900  0.25739400  0.32867900  1
  V  V5  1  0.22481900  0.74260600  0.17132100  1
  V  V6  1  0.27518100  0.74260600  0.67132100  1
  V  V7  1  0.77518100  0.25739400  0.82867900  1
  V  V8  1  0.74134300  0.85853500  0.32757400  1
  V  V9  1  0.24134300  0.14146500  0.17242600  1
  V  V10  1  0.25865700  0.14146500  0.67242600  1
  V  V11  1  0.75865700  0.85853500  0.82757400  1
  V  V12  1  0.29062500  0.04330100  0.40777000  1
  V  V13  1  0.79062500  0.95669900  0.09223000  1
  V  V14  1  0.70937500  0.95669900  0.59223000  1
  V  V15  1  0.20937500  0.04330100  0.90777000  1
  Cr  Cr16  1  0.99915100  0.80994700  0.50944500  1
  Cr  Cr17  1  0.49915100  0.19005300  0.99055500  1
  Cr  Cr18  1  0.00084900  0.19005300  0.49055500  1
  Cr  Cr19  1  0.50084900  0.80994700  0.00944500  1
  Cr  Cr20  1  0.49830700  0.68942200  0.48681300  1
  Cr  Cr21  1  0.99830700  0.31057800  0.01318700  1
  Cr  Cr22  1  0.50169300  0.31057800  0.51318700  1
  Cr  Cr23  1  0.00169300  0.68942200  0.98681300  1
  O  O24  1  0.11524900  0.65215000  0.46288000  1
  O  O25  1  0.61524900  0.34785000  0.03712000  1
  O  O26  1  0.88475100  0.34785000  0.53712000  1
  O  O27  1  0.38475100  0.65215000  0.96288000  1
  O  O28  1  0.11234400  0.76264600  0.62529600  1
  O  O29  1  0.61234400  0.23735400  0.87470400  1
  O  O30  1  0.88765600  0.23735400  0.37470400  1
  O  O31  1  0.38765600  0.76264600  0.12529600  1
  O  O32  1  0.86386200  0.65052500  0.57568100  1
  O  O33  1  0.36386200  0.34947500  0.92431900  1
  O  O34  1  0.13613800  0.34947500  0.42431900  1
  O  O35  1  0.63613800  0.65052500  0.07568100  1
  O  O36  1  0.88468300  0.98951400  0.54721000  1
  O  O37  1  0.38468300  0.01048600  0.95279000  1
  O  O38  1  0.11531700  0.01048600  0.45279000  1
  O  O39  1  0.61531700  0.98951400  0.04721000  1
  O  O40  1  0.88624800  0.83664700  0.39438800  1
  O  O41  1  0.38624800  0.16335300  0.10561200  1
  O  O42  1  0.11375200  0.16335300  0.60561200  1
  O  O43  1  0.61375200  0.83664700  0.89438800  1
  O  O44  1  0.61534300  0.72209300  0.37283700  1
  O  O45  1  0.11534300  0.27790700  0.12716300  1
  O  O46  1  0.38465700  0.27790700  0.62716300  1
  O  O47  1  0.88465700  0.72209300  0.87283700  1
  O  O48  1  0.61435800  0.49166200  0.54665600  1
  O  O49  1  0.11435800  0.50833800  0.95334400  1
  O  O50  1  0.38564200  0.50833800  0.45334400  1
  O  O51  1  0.88564200  0.49166200  0.04665600  1
  O  O52  1  0.38769400  0.67328000  0.60178200  1
  O  O53  1  0.88769400  0.32672000  0.89821800  1
  O  O54  1  0.61230600  0.32672000  0.39821800  1
  O  O55  1  0.11230600  0.67328000  0.10178200  1
  O  O56  1  0.36627100  0.85845600  0.41855700  1
  O  O57  1  0.86627100  0.14154400  0.08144300  1
  O  O58  1  0.63372900  0.14154400  0.58144300  1
  O  O59  1  0.13372900  0.85845600  0.91855700  1
  O  O60  1  0.78685500  0.84875700  0.21181000  1
  O  O61  1  0.28685500  0.15124300  0.28819000  1
  O  O62  1  0.21314500  0.15124300  0.78819000  1
  O  O63  1  0.71314500  0.84875700  0.71181000  1
  O  O64  1  0.67059800  0.05652800  0.32248200  1
  O  O65  1  0.17059800  0.94347200  0.17751800  1
  O  O66  1  0.32940200  0.94347200  0.67751800  1
  O  O67  1  0.82940200  0.05652800  0.82248200  1
  O  O68  1  0.72079700  0.38049600  0.21404600  1
  O  O69  1  0.22079700  0.61950400  0.28595400  1
  O  O70  1  0.27920300  0.61950400  0.78595400  1
  O  O71  1  0.77920300  0.38049600  0.71404600  1
  O  O72  1  0.38241000  0.15082300  0.47029700  1
  O  O73  1  0.88241000  0.84917700  0.02970300  1
  O  O74  1  0.61759000  0.84917700  0.52970300  1
  O  O75  1  0.11759000  0.15082300  0.97029700  1
"
