"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-29091","Ti(CuS)4","Tetragonal","I-42m","121","9","0.0","-0.82992570925926","True","154.27680446480318","4.631598565750239","1.4256","False","False","NM","0.0","# generated using pymatgen
data_Ti(CuS)4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.40855088
_cell_length_b   5.40855096
_cell_length_c   6.51468449
_cell_angle_alpha   114.52590113
_cell_angle_beta   114.52590327
_cell_angle_gamma   89.99999617
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti(CuS)4
_chemical_formula_sum   'Ti1 Cu4 S4'
_cell_volume   154.27680446
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00000000  0.00000000  0.00000000  1
  Cu  Cu1  1  0.50000000  0.00000000  0.00000000  1
  Cu  Cu2  1  0.00000000  0.50000000  0.00000000  1
  Cu  Cu3  1  0.25811444  0.25811444  0.51623089  1
  Cu  Cu4  1  0.74188556  0.74188556  0.48376911  1
  S  S5  1  0.88106251  0.88106251  0.25091006  1
  S  S6  1  0.63015245  0.11893749  0.74908994  1
  S  S7  1  0.11893749  0.63015245  0.74908994  1
  S  S8  1  0.36984755  0.36984755  0.25091006  1
"
"True","mp-674343","Ti10Cu7S20","Monoclinic","Cm","8","37","0.034034026351348","-1.326041181981981","False","649.6901069269356","3.99944253329282","0.0","False","True","NM","0.0094092","# generated using pymatgen
data_Ti10Cu7S20
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.66552105
_cell_length_b   6.66552105
_cell_length_c   29.64860472
_cell_angle_alpha   81.87447904
_cell_angle_beta   81.87447904
_cell_angle_gamma   29.90586182
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti10Cu7S20
_chemical_formula_sum   'Ti10 Cu7 S20'
_cell_volume   649.69010693
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00290500  0.00290500  0.99899000  1
  Ti  Ti1  1  0.49922300  0.49922300  0.89992000  1
  Ti  Ti2  1  0.00225300  0.00225300  0.80023000  1
  Ti  Ti3  1  0.49775800  0.49775800  0.69957100  1
  Ti  Ti4  1  0.50211600  0.50211600  0.50047700  1
  Ti  Ti5  1  0.99990800  0.99990800  0.60010200  1
  Ti  Ti6  1  0.99779000  0.99779000  0.39964900  1
  Ti  Ti7  1  0.49997900  0.49997900  0.30018800  1
  Ti  Ti8  1  0.00176500  0.00176500  0.20034200  1
  Ti  Ti9  1  0.50156700  0.50156700  0.09998100  1
  Cu  Cu10  1  0.71082700  0.71082700  0.68501700  1
  Cu  Cu11  1  0.78877100  0.78877100  0.81497200  1
  Cu  Cu12  1  0.21075200  0.21075200  0.38505300  1
  Cu  Cu13  1  0.28907700  0.28907700  0.51496500  1
  Cu  Cu14  1  0.78740100  0.78740100  0.21646500  1
  Cu  Cu15  1  0.28604600  0.28604600  0.11411700  1
  Cu  Cu16  1  0.78766700  0.78766700  0.01268200  1
  S  S17  1  0.38265400  0.38265400  0.97328300  1
  S  S18  1  0.88590200  0.88590200  0.87439500  1
  S  S19  1  0.11062300  0.11062300  0.92592000  1
  S  S20  1  0.38363000  0.38363000  0.77328100  1
  S  S21  1  0.61505400  0.61505400  0.82621000  1
  S  S22  1  0.88443300  0.88443300  0.67416600  1
  S  S23  1  0.11608500  0.11608500  0.72670100  1
  S  S24  1  0.38650900  0.38650900  0.57481400  1
  S  S25  1  0.61346600  0.61346600  0.62516800  1
  S  S26  1  0.88365100  0.88365100  0.47326400  1
  S  S27  1  0.11556900  0.11556900  0.52587100  1
  S  S28  1  0.38437100  0.38437100  0.37415500  1
  S  S29  1  0.61629800  0.61629800  0.42672300  1
  S  S30  1  0.88681400  0.88681400  0.27518200  1
  S  S31  1  0.11334100  0.11334100  0.32522000  1
  S  S32  1  0.38234600  0.38234600  0.17485700  1
  S  S33  1  0.61462700  0.61462700  0.22548300  1
  S  S34  1  0.88262700  0.88262700  0.07406900  1
  S  S35  1  0.11358800  0.11358800  0.12587200  1
  S  S36  1  0.61460300  0.61460300  0.02584900  1
"
"True","mp-767157","Ti16CuS32","Trigonal","R3m","160","49","0.029846797244901004","-1.553421383945577","False","963.890911538523","3.196551477054803","0.0","False","True","NM","0.0036847","# generated using pymatgen
data_Ti16CuS32
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   23.15748871
_cell_length_b   23.15748871
_cell_length_c   23.15748808
_cell_angle_alpha   17.35161477
_cell_angle_beta   17.35161477
_cell_angle_gamma   17.35161529
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti16CuS32
_chemical_formula_sum   'Ti16 Cu1 S32'
_cell_volume   963.89091154
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.87247100  0.87247100  0.38245900  1
  Ti  Ti1  1  0.12645100  0.62446600  0.62446600  1
  Ti  Ti2  1  0.38245900  0.87247100  0.87247100  1
  Ti  Ti3  1  0.99844500  0.99844500  0.99844500  1
  Ti  Ti4  1  0.75096500  0.75096500  0.75096500  1
  Ti  Ti5  1  0.87247100  0.38245900  0.87247100  1
  Ti  Ti6  1  0.62446600  0.62446600  0.12645100  1
  Ti  Ti7  1  0.62446600  0.12645100  0.62446600  1
  Ti  Ti8  1  0.50009800  0.50009800  0.50009800  1
  Ti  Ti9  1  0.37528500  0.87425300  0.37528500  1
  Ti  Ti10  1  0.37528500  0.37528500  0.87425300  1
  Ti  Ti11  1  0.12324000  0.62689200  0.12324000  1
  Ti  Ti12  1  0.87425300  0.37528500  0.37528500  1
  Ti  Ti13  1  0.62689200  0.12324000  0.12324000  1
  Ti  Ti14  1  0.24946600  0.24946600  0.24946600  1
  Ti  Ti15  1  0.12324000  0.12324000  0.62689200  1
  Cu  Cu16  1  0.34380400  0.34380400  0.34380400  1
  S  S17  1  0.18080800  0.70199100  0.18080800  1
  S  S18  1  0.70199100  0.18080800  0.18080800  1
  S  S19  1  0.68835700  0.68835700  0.68835700  1
  S  S20  1  0.05517700  0.56569200  0.56569200  1
  S  S21  1  0.56569200  0.56569200  0.05517700  1
  S  S22  1  0.56569200  0.05517700  0.56569200  1
  S  S23  1  0.18080800  0.18080800  0.70199100  1
  S  S24  1  0.93321200  0.93321200  0.44633900  1
  S  S25  1  0.44633900  0.93321200  0.93321200  1
  S  S26  1  0.19613400  0.68358900  0.68358900  1
  S  S27  1  0.81162900  0.81162900  0.81162900  1
  S  S28  1  0.06150800  0.06150800  0.06150800  1
  S  S29  1  0.43830800  0.43830800  0.43830800  1
  S  S30  1  0.31621500  0.31621500  0.80405600  1
  S  S31  1  0.31621500  0.80405700  0.31621500  1
  S  S32  1  0.06668800  0.55369300  0.06668800  1
  S  S33  1  0.93321200  0.44633900  0.93321200  1
  S  S34  1  0.68358900  0.19613400  0.68358900  1
  S  S35  1  0.68358900  0.68358900  0.19613400  1
  S  S36  1  0.56168900  0.56168900  0.56168900  1
  S  S37  1  0.18836400  0.18836400  0.18836400  1
  S  S38  1  0.80405700  0.31621500  0.31621500  1
  S  S39  1  0.55369300  0.06668800  0.06668800  1
  S  S40  1  0.93807100  0.93807100  0.93807100  1
  S  S41  1  0.81656700  0.81656700  0.30378800  1
  S  S42  1  0.06668800  0.06668800  0.55369300  1
  S  S43  1  0.43392100  0.94617000  0.43392100  1
  S  S44  1  0.43392100  0.43392100  0.94617000  1
  S  S45  1  0.94617000  0.43392100  0.43392100  1
  S  S46  1  0.31130300  0.31130300  0.31130300  1
  S  S47  1  0.30378800  0.81656700  0.81656700  1
  S  S48  1  0.81656700  0.30378800  0.81656700  1
"
"True","mp-1101637","Ti2CuS4","Orthorhombic","Fdd2","43","14","0.141519735","-1.296274056666667","False","241.5489828179079","3.9534126589148713","0.0","False","True","FM","1.3946562","# generated using pymatgen
data_Ti2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.83579217
_cell_length_b   7.10423391
_cell_length_c   6.62366800
_cell_angle_alpha   104.37441087
_cell_angle_beta   58.93483796
_cell_angle_gamma   118.75772809
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2CuS4
_chemical_formula_sum   'Ti4 Cu2 S8'
_cell_volume   241.54898282
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00187900  0.50921000  0.00900600  1
  Ti  Ti1  1  0.24267000  0.99079000  0.50900600  1
  Ti  Ti2  1  0.50167500  0.49079000  0.99099400  1
  Ti  Ti3  1  0.76088500  0.00921000  0.49099400  1
  Cu  Cu4  1  0.23546500  0.50000000  0.50000000  1
  Cu  Cu5  1  0.48546500  0.00000000  0.00000000  1
  S  S6  1  0.03681000  0.82921700  0.26321500  1
  S  S7  1  0.05002600  0.32921700  0.23678500  1
  S  S8  1  0.54380600  0.83560300  0.25135400  1
  S  S9  1  0.54516000  0.33560300  0.24864600  1
  S  S10  1  0.45820200  0.66439700  0.75135400  1
  S  S11  1  0.47080700  0.17078300  0.73678500  1
  S  S12  1  0.95759200  0.67078300  0.76321500  1
  S  S13  1  0.95955700  0.16439700  0.74864600  1
"
"True","mp-1217204","Ti2CuS4","Monoclinic","P2/m","10","7","0.144572883571428","-1.293220908095238","False","119.27484144263211","4.003119161049686","0.0","False","True","FM","0.729210399999999","# generated using pymatgen
data_Ti2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.39479751
_cell_length_b   6.19391790
_cell_length_c   5.67336393
_cell_angle_alpha   91.03675955
_cell_angle_beta   89.99034070
_cell_angle_gamma   89.99204858
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2CuS4
_chemical_formula_sum   'Ti2 Cu1 S4'
_cell_volume   119.27484144
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.50000000  0.50000000  0.50000000  1
  Ti  Ti1  1  0.00000000  0.00000000  0.00000000  1
  Cu  Cu2  1  0.00000000  0.00000000  0.50000000  1
  S  S3  1  0.50004800  0.16849800  0.75724300  1
  S  S4  1  0.99994200  0.66646700  0.74398900  1
  S  S5  1  0.00005800  0.33353300  0.25601100  1
  S  S6  1  0.49995200  0.83150200  0.24275700  1
"
"True","mp-3951","Ti2CuS4","Cubic","Fd-3m","227","14","0.0","-1.437793791666667","True","248.24346144812236","3.8467994316937553","0.0","False","True","NM","0.0020471","# generated using pymatgen
data_Ti2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.05441962
_cell_length_b   7.05441527
_cell_length_c   7.05441657
_cell_angle_alpha   60.00095880
_cell_angle_beta   60.00094475
_cell_angle_gamma   60.00096156
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2CuS4
_chemical_formula_sum   'Ti4 Cu2 S8'
_cell_volume   248.24346145
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.50000000  0.00000000  0.50000000  1
  Ti  Ti1  1  -0.00000000  0.50000000  0.50000000  1
  Ti  Ti2  1  0.50000000  0.50000000  -0.00000000  1
  Ti  Ti3  1  0.50000000  0.50000000  0.50000000  1
  Cu  Cu4  1  0.87499982  0.87499946  0.87499950  1
  Cu  Cu5  1  0.12500018  0.12500054  0.12500050  1
  S  S6  1  0.74539993  0.74539967  0.74539958  1
  S  S7  1  0.25459914  0.25459957  0.73620200  1
  S  S8  1  0.25459962  0.73620172  0.25459966  1
  S  S9  1  0.73620103  0.25459958  0.25459962  1
  S  S10  1  0.74540038  0.26379828  0.74540034  1
  S  S11  1  0.26379897  0.74540042  0.74540038  1
  S  S12  1  0.25460007  0.25460033  0.25460042  1
  S  S13  1  0.74540086  0.74540043  0.26379800  1
"
"True","mp-559918","Ti2CuS4","Trigonal","R-3m","166","28","0.021866419642857002","-1.41592737202381","False","490.47158945793194","3.893978069048722","0.0","False","True","FM","3.3111329","# generated using pymatgen
data_Ti2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   12.22031921
_cell_length_b   12.22010482
_cell_length_c   12.22021401
_cell_angle_alpha   33.32841317
_cell_angle_beta   33.32511576
_cell_angle_gamma   33.32684172
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2CuS4
_chemical_formula_sum   'Ti8 Cu4 S16'
_cell_volume   490.47158946
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.91710533  0.41921233  0.91716187  1
  Ti  Ti1  1  0.08291039  0.08278766  0.58087764  1
  Ti  Ti2  1  0.50000000  0.50000000  0.50000000  1
  Ti  Ti3  1  0.91708961  0.91721234  0.41912236  1
  Ti  Ti4  1  0.58094947  0.08280470  0.08286430  1
  Ti  Ti5  1  0.08289467  0.58078767  0.08283813  1
  Ti  Ti6  1  0.41905053  0.91719530  0.91713570  1
  Ti  Ti7  1  0.00000000  -0.00000000  -0.00000000  1
  Cu  Cu8  1  0.18761116  0.18758862  0.18761837  1
  Cu  Cu9  1  0.35378316  0.35382278  0.35380534  1
  Cu  Cu10  1  0.64621684  0.64617722  0.64619466  1
  Cu  Cu11  1  0.81238884  0.81241138  0.81238163  1
  S  S12  1  0.38366655  0.38362215  0.86393327  1
  S  S13  1  0.20154151  0.20151454  0.72361165  1
  S  S14  1  0.79845849  0.79848546  0.27638835  1
  S  S15  1  0.87655385  0.87657721  0.87656168  1
  S  S16  1  0.13608384  0.61635497  0.61632671  1
  S  S17  1  0.61634911  0.13606804  0.61636923  1
  S  S18  1  0.79848265  0.27637592  0.79849573  1
  S  S19  1  0.27640264  0.79845811  0.79845364  1
  S  S20  1  0.38365089  0.86393196  0.38363077  1
  S  S21  1  0.72359736  0.20154189  0.20154636  1
  S  S22  1  0.20151735  0.72362408  0.20150427  1
  S  S23  1  0.61633345  0.61637785  0.13606673  1
  S  S24  1  0.28856486  0.28868649  0.28862844  1
  S  S25  1  0.71143514  0.71131351  0.71137156  1
  S  S26  1  0.86391616  0.38364503  0.38367329  1
  S  S27  1  0.12344615  0.12342279  0.12343832  1
"
"True","mp-676377","Ti2CuS4","Monoclinic","Cc","9","14","0.135872657142857","-1.30192113452381","False","239.09451496183124","3.9939971294313192","0.0","False","True","FM","0.7206005","# generated using pymatgen
data_Ti2CuS4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.63686251
_cell_length_b   6.63686251
_cell_length_c   7.04732002
_cell_angle_alpha   75.80194088
_cell_angle_beta   75.80194088
_cell_angle_gamma   118.58098623
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2CuS4
_chemical_formula_sum   'Ti4 Cu2 S8'
_cell_volume   239.09451496
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.49395800  0.74780000  0.51627100  1
  Ti  Ti1  1  0.25298400  0.00418500  0.00207200  1
  Ti  Ti2  1  0.00418500  0.25298400  0.50207200  1
  Ti  Ti3  1  0.74780000  0.49395800  0.01627100  1
  Cu  Cu4  1  0.72809800  0.48444600  0.47491700  1
  Cu  Cu5  1  0.48444600  0.72809800  0.97491700  1
  S  S6  1  0.20422200  0.72313400  0.82802200  1
  S  S7  1  0.72313400  0.20422200  0.32802200  1
  S  S8  1  0.70829800  0.21370200  0.83699700  1
  S  S9  1  0.21370200  0.70829800  0.33699700  1
  S  S10  1  0.80039000  0.79490400  0.66446200  1
  S  S11  1  0.29861000  0.28400800  0.17872600  1
  S  S12  1  0.28400800  0.29861000  0.67872600  1
  S  S13  1  0.79490400  0.80039000  0.16446200  1
"
"True","mp-686094","Ti3CuS6","Trigonal","P3m1","156","120","0.002185958916673","-1.486523869083332","False","2236.2563135237533","3.560129273410949","0.0","False","True","NM","3.1906221","# generated using pymatgen
data_Ti3CuS6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.06028127
_cell_length_b   7.06025899
_cell_length_c   63.48630281
_cell_angle_alpha   59.95727896
_cell_angle_beta   59.95750620
_cell_angle_gamma   59.99813822
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3CuS6
_chemical_formula_sum   'Ti36 Cu12 S72'
_cell_volume   2236.25631352
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00218675  0.49709023  0.05595604  1
  Ti  Ti1  1  0.49709104  0.00218609  0.05595609  1
  Ti  Ti2  1  0.49583683  0.49583545  0.00139094  1
  Ti  Ti3  1  0.00745463  0.49960094  0.16593336  1
  Ti  Ti4  1  0.49708961  0.49708862  0.05595619  1
  Ti  Ti5  1  0.49960017  0.00745405  0.16593331  1
  Ti  Ti6  1  0.50074023  0.50073813  0.11086176  1
  Ti  Ti7  1  0.00938254  0.49691111  0.27742461  1
  Ti  Ti8  1  0.49960999  0.49961214  0.16592891  1
  Ti  Ti9  1  0.49691182  0.00938137  0.27742470  1
  Ti  Ti10  1  0.49710843  0.49711218  0.22317980  1
  Ti  Ti11  1  0.00628766  0.49969022  0.38825822  1
  Ti  Ti12  1  0.49685522  0.49685456  0.27742430  1
  Ti  Ti13  1  0.49968965  0.00628689  0.38825849  1
  Ti  Ti14  1  0.49685456  0.49685340  0.33438337  1
  Ti  Ti15  1  0.99989152  0.50011189  0.49998683  1
  Ti  Ti16  1  0.49969309  0.49969425  0.38825910  1
  Ti  Ti17  1  0.50011215  0.99989198  0.49998620  1
  Ti  Ti18  1  0.50000262  0.50000205  0.44445423  1
  Ti  Ti19  1  0.00001660  0.49997798  0.61111454  1
  Ti  Ti20  1  0.50013675  0.50013742  0.49999080  1
  Ti  Ti21  1  0.49997945  0.00001581  0.61111440  1
  Ti  Ti22  1  0.49994641  0.49994573  0.55556970  1
  Ti  Ti23  1  -0.00008857  0.50000652  0.72222980  1
  Ti  Ti24  1  0.49997101  0.49997144  0.61111253  1
  Ti  Ti25  1  0.50000582  -0.00008804  0.72222983  1
  Ti  Ti26  1  0.50004989  0.50004902  0.66664823  1
  Ti  Ti27  1  0.00294551  0.49735104  0.83359815  1
  Ti  Ti28  1  0.50000626  0.50000696  0.72222624  1
  Ti  Ti29  1  0.49735000  0.00294682  0.83359815  1
  Ti  Ti30  1  0.50004079  0.50004014  0.77775652  1
  Ti  Ti31  1  0.00957054  0.49678930  0.94409497  1
  Ti  Ti32  1  0.49730861  0.49730850  0.83360018  1
  Ti  Ti33  1  0.49678996  0.00957110  0.94409485  1
  Ti  Ti34  1  0.49672506  0.49672474  0.88998389  1
  Ti  Ti35  1  0.49676484  0.49676494  0.94410132  1
  Cu  Cu36  1  0.12504423  0.12504643  0.45832141  1
  Cu  Cu37  1  0.87505219  0.87505083  0.20830538  1
  Cu  Cu38  1  0.12494756  0.12494818  0.56946376  1
  Cu  Cu39  1  0.87509439  0.87508727  0.31941065  1
  Cu  Cu40  1  0.12496923  0.12497254  0.68057054  1
  Cu  Cu41  1  0.87518097  0.87517793  0.43048809  1
  Cu  Cu42  1  0.12497250  0.12497252  0.79168518  1
  Cu  Cu43  1  0.87500656  0.87499938  0.54166157  1
  Cu  Cu44  1  0.87501097  0.87500989  0.65277261  1
  Cu  Cu45  1  0.87500349  0.87499746  0.76387929  1
  Cu  Cu46  1  0.87486080  0.87486135  0.87502771  1
  Cu  Cu47  1  0.87486945  0.87486974  0.98614964  1
  S  S48  1  0.25511055  0.25511163  0.02818699  1
  S  S49  1  0.25464930  0.25464848  0.08179910  1
  S  S50  1  0.25505874  0.73611877  0.02819370  1
  S  S51  1  0.73612229  0.25505642  0.02819341  1
  S  S52  1  0.25409396  0.25408687  0.13951364  1
  S  S53  1  0.26462640  0.74557075  0.08269896  1
  S  S54  1  0.25462150  0.25461413  0.19291194  1
  S  S55  1  0.74557223  0.26462656  0.08269861  1
  S  S56  1  0.25403483  0.73618472  0.13952584  1
  S  S57  1  0.74517069  0.74516900  0.02938271  1
  S  S58  1  0.74548500  0.74548637  0.08271023  1
  S  S59  1  0.73618255  0.25402924  0.13952595  1
  S  S60  1  0.25446209  0.25447378  0.25050293  1
  S  S61  1  0.26503550  0.74456737  0.19398594  1
  S  S62  1  0.25439769  0.25440122  0.30410539  1
  S  S63  1  0.74456067  0.26503842  0.19398616  1
  S  S64  1  0.25443947  0.73652687  0.25051298  1
  S  S65  1  0.74465028  0.74465789  0.14065158  1
  S  S66  1  0.74451925  0.74452435  0.19398994  1
  S  S67  1  0.73652471  0.25444290  0.25051296  1
  S  S68  1  0.25421137  0.25421000  0.36169232  1
  S  S69  1  0.26532850  0.74482417  0.30500610  1
  S  S70  1  0.25462841  0.25462668  0.41513408  1
  S  S71  1  0.74482727  0.26532488  0.30500600  1
  S  S72  1  0.25422382  0.73635559  0.36170030  1
  S  S73  1  0.74474943  0.74474628  0.25174442  1
  S  S74  1  0.74477306  0.74476911  0.30501277  1
  S  S75  1  0.73635333  0.25422114  0.36170084  1
  S  S76  1  0.26496831  0.74461533  0.41619251  1
  S  S77  1  0.25479153  0.25479325  0.47274786  1
  S  S78  1  0.74461226  0.26497015  0.41619273  1
  S  S79  1  0.25477492  0.25477245  0.52618262  1
  S  S80  1  0.74495667  0.74496292  0.36277801  1
  S  S81  1  0.25480534  0.73569975  0.47275083  1
  S  S82  1  0.74463380  0.74463783  0.41619722  1
  S  S83  1  0.73569920  0.25480397  0.47275104  1
  S  S84  1  0.25471329  0.25471282  0.58387357  1
  S  S85  1  0.26433843  0.74521527  0.52724459  1
  S  S86  1  0.25470172  0.73568933  0.58387743  1
  S  S87  1  0.74521133  0.26433666  0.52724478  1
  S  S88  1  0.25472213  0.25472482  0.63731015  1
  S  S89  1  0.74519288  0.74519169  0.47381985  1
  S  S90  1  0.74526270  0.74526640  0.52723571  1
  S  S91  1  0.73568794  0.25470184  0.58387731  1
  S  S92  1  0.26421518  0.74528100  0.63836026  1
  S  S93  1  0.25469149  0.25469274  0.69497886  1
  S  S94  1  0.74527785  0.26421806  0.63836043  1
  S  S95  1  0.25478388  0.25478487  0.74840734  1
  S  S96  1  0.25472764  0.73579437  0.69497102  1
  S  S97  1  0.74520263  0.74520500  0.58493049  1
  S  S98  1  0.74529762  0.74529721  0.63835775  1
  S  S99  1  0.73579464  0.25472742  0.69497081  1
  S  S100  1  0.26420239  0.74526322  0.74947223  1
  S  S101  1  0.25498199  0.25497977  0.80600929  1
  S  S102  1  0.25472955  0.25472784  0.85954339  1
  S  S103  1  0.74526142  0.26420460  0.74947228  1
  S  S104  1  0.25501545  0.73594760  0.80600671  1
  S  S105  1  0.74526922  0.74527014  0.69602908  1
  S  S106  1  0.74526691  0.74526439  0.74947219  1
  S  S107  1  0.73594828  0.25501387  0.80600688  1
  S  S108  1  0.26499763  0.74547874  0.86044966  1
  S  S109  1  0.25457690  0.25457681  0.91714084  1
  S  S110  1  0.74548348  0.26499382  0.86044956  1
  S  S111  1  0.25456491  0.25456553  0.97071704  1
  S  S112  1  0.74502708  0.74502807  0.80721209  1
  S  S113  1  0.25456334  0.73657970  0.91714593  1
  S  S114  1  0.74545424  0.74545202  0.86045432  1
  S  S115  1  0.73658070  0.25456248  0.91714580  1
  S  S116  1  0.26573152  0.74508116  0.97157041  1
  S  S117  1  0.74507997  0.26573323  0.97157042  1
  S  S118  1  0.74486673  0.74486743  0.91836926  1
  S  S119  1  0.74499230  0.74499227  0.97158531  1
"
"True","mp-1217175","Ti5(CuS5)2","Triclinic","P-1","2","17","0.030914725294113002","-1.4368296759803911","False","295.8865973187246","3.8559306524903123","0.0","False","True","NM","0.0011300000000000001","# generated using pymatgen
data_Ti5(CuS5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.89017900
_cell_length_b   6.81301233
_cell_length_c   8.33014538
_cell_angle_alpha   107.63223091
_cell_angle_beta   110.62273566
_cell_angle_gamma   90.19715033
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti5(CuS5)2
_chemical_formula_sum   'Ti5 Cu2 S10'
_cell_volume   295.88659732
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.60364000  0.19961000  0.19952500  1
  Ti  Ti1  1  0.20073100  0.39893300  0.40325600  1
  Ti  Ti2  1  0.39636000  0.80039000  0.80047500  1
  Ti  Ti3  1  0.79926900  0.60106700  0.59674400  1
  Ti  Ti4  1  0.00000000  0.00000000  0.00000000  1
  Cu  Cu5  1  0.89498600  0.29225200  0.79119900  1
  Cu  Cu6  1  0.10501400  0.70774800  0.20880100  1
  S  S7  1  0.18251100  0.45242500  0.69997900  1
  S  S8  1  0.38314800  0.85364300  0.09942800  1
  S  S9  1  0.58145200  0.25187000  0.49671100  1
  S  S10  1  0.77955200  0.65066900  0.89844400  1
  S  S11  1  0.98301200  0.05211300  0.30030400  1
  S  S12  1  0.01698800  0.94788700  0.69969600  1
  S  S13  1  0.22044800  0.34933100  0.10155600  1
  S  S14  1  0.41854800  0.74813000  0.50328900  1
  S  S15  1  0.61685200  0.14635700  0.90057200  1
  S  S16  1  0.81748900  0.54757500  0.30002100  1
"
