"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-34864","V(FeO2)2","Orthorhombic","Imma","74","14","0.09663402937500101","-1.8415283121428572","False","158.9056973432286","4.736475538262811","0.0","False","True","FM","22.0084108","# generated using pymatgen
data_V(FeO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.08083793
_cell_length_b   6.08083793
_cell_length_c   6.08083793
_cell_angle_alpha   120.49123373
_cell_angle_beta   119.56983766
_cell_angle_gamma   89.94897263
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V(FeO2)2
_chemical_formula_sum   'V2 Fe4 O8'
_cell_volume   158.90569734
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.00000000  0.50000000  0.50000000  1
  V  V1  1  0.50000000  0.50000000  0.00000000  1
  Fe  Fe2  1  0.62039500  0.87039500  0.75000000  1
  Fe  Fe3  1  0.37960500  0.12960500  0.25000000  1
  Fe  Fe4  1  0.00000000  0.00000000  0.50000000  1
  Fe  Fe5  1  0.00000000  0.50000000  0.00000000  1
  O  O6  1  0.25149600  0.26508900  0.51359300  1
  O  O7  1  0.25149600  0.73790300  0.98640700  1
  O  O8  1  0.76702700  0.26345000  0.50357700  1
  O  O9  1  0.25987300  0.26345000  0.99642300  1
  O  O10  1  0.74012700  0.73655000  0.00357700  1
  O  O11  1  0.74850400  0.26209700  0.01359300  1
  O  O12  1  0.23297300  0.73655000  0.49642300  1
  O  O13  1  0.74850400  0.73491100  0.48640700  1
"
"True","mp-757552","V12Fe6O35","Triclinic","P1","1","53","0.08469232","-2.162157262169811","False","623.629009814112","4.010955234589389","0.0","False","True","FiM","36.1201124","# generated using pymatgen
data_V12Fe6O35
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.28928412
_cell_length_b   9.46856163
_cell_length_c   6.63194048
_cell_angle_alpha   100.71189917
_cell_angle_beta   95.00189075
_cell_angle_gamma   98.42985299
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V12Fe6O35
_chemical_formula_sum   'V12 Fe6 O35'
_cell_volume   623.62900981
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.01445600  0.94154600  0.23381600  1
  V  V1  1  0.10552900  0.30195100  0.38324000  1
  V  V2  1  0.18065400  0.71607100  0.21496800  1
  V  V3  1  0.22226900  0.62560500  0.72706100  1
  V  V4  1  0.30019300  0.99940900  0.83726700  1
  V  V5  1  0.42458100  0.31139800  0.20753200  1
  V  V6  1  0.50435800  0.68149900  0.28948100  1
  V  V7  1  0.49311300  0.31705900  0.71240200  1
  V  V8  1  0.70196100  0.00222800  0.16690200  1
  V  V9  1  0.77800700  0.37418800  0.27732000  1
  V  V10  1  0.82138100  0.28469500  0.78539800  1
  V  V11  1  0.89618400  0.69529500  0.61370000  1
  Fe  Fe12  1  0.18500600  0.34902400  0.90813900  1
  Fe  Fe13  1  0.38766500  0.00615500  0.34358300  1
  Fe  Fe14  1  0.61182800  0.99080400  0.65568300  1
  Fe  Fe15  1  0.58681200  0.69327300  0.79761600  1
  Fe  Fe16  1  0.80931500  0.64918500  0.08943100  1
  Fe  Fe17  1  0.98963800  0.05680800  0.74121800  1
  O  O18  1  0.01939400  0.61417400  0.69135100  1
  O  O19  1  0.00424600  0.73062400  0.15637000  1
  O  O20  1  0.03604000  0.12526000  0.42154700  1
  O  O21  1  0.00553700  0.99839900  0.01134900  1
  O  O22  1  0.19406500  0.92383500  0.29813600  1
  O  O23  1  0.21913200  0.83087700  0.85121500  1
  O  O24  1  0.19229300  0.56845500  0.99758700  1
  O  O25  1  0.19319100  0.65102600  0.43043100  1
  O  O26  1  0.18845200  0.40762200  0.62266100  1
  O  O27  1  0.18762100  0.10789200  0.77849200  1
  O  O28  1  0.21331300  0.29840100  0.18958500  1
  O  O29  1  0.40935700  0.98588100  0.64604300  1
  O  O30  1  0.38022600  0.78368100  0.22896900  1
  O  O31  1  0.38751000  0.65482600  0.75294800  1
  O  O32  1  0.39076000  0.33470000  0.91914700  1
  O  O33  1  0.42914000  0.51096500  0.30628400  1
  O  O34  1  0.40724500  0.23192700  0.46120600  1
  O  O35  1  0.38593500  0.09027200  0.08145300  1
  O  O36  1  0.61572700  0.91736900  0.92497300  1
  O  O37  1  0.59169000  0.77047700  0.52769500  1
  O  O38  1  0.56917500  0.48090000  0.69481700  1
  O  O39  1  0.61003800  0.66508200  0.09778000  1
  O  O40  1  0.60369000  0.34045900  0.23780100  1
  O  O41  1  0.61454800  0.21773500  0.77002600  1
  O  O42  1  0.59038300  0.01588400  0.35260800  1
  O  O43  1  0.79040700  0.70479200  0.81179400  1
  O  O44  1  0.82076700  0.89494600  0.22694400  1
  O  O45  1  0.81039200  0.58985700  0.37542900  1
  O  O46  1  0.80419500  0.34767200  0.56490600  1
  O  O47  1  0.80273100  0.42939700  0.00553400  1
  O  O48  1  0.77994300  0.17055500  0.15201100  1
  O  O49  1  0.79915600  0.08320300  0.70556900  1
  O  O50  1  0.96492100  0.86372200  0.56794800  1
  O  O51  1  0.99331300  0.28021100  0.84731500  1
  O  O52  1  0.98251600  0.38272900  0.30731400  1
"
"True","mp-1101241","V14Fe5O32","Triclinic","P1","1","51","0.073063992046577","-2.253701856078432","False","578.987383907775","4.314589785734042","0.0","False","True","FM","41.9996424","# generated using pymatgen
data_V14Fe5O32
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.91831600
_cell_length_b   5.92367110
_cell_length_c   18.87043422
_cell_angle_alpha   90.31992150
_cell_angle_beta   90.09230879
_cell_angle_gamma   118.93066467
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V14Fe5O32
_chemical_formula_sum   'V14 Fe5 O32'
_cell_volume   578.98738391
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.83633600  0.16183000  0.81484700  1
  V  V1  1  0.66721600  0.33177400  0.17748400  1
  V  V2  1  0.82873600  0.69072500  0.32711100  1
  V  V3  1  0.83869000  0.68127400  0.81640100  1
  V  V4  1  0.31820400  0.15762300  0.31524000  1
  V  V5  1  0.31916000  0.16152900  0.81611700  1
  V  V6  1  0.68286400  0.83933100  0.06994000  1
  V  V7  1  0.67565900  0.83371000  0.56959100  1
  V  V8  1  0.16496500  0.32456300  0.06867200  1
  V  V9  1  0.32205500  0.67585300  0.23024000  1
  V  V10  1  0.16551400  0.32422700  0.57023100  1
  V  V11  1  0.31835900  0.64090600  0.42575600  1
  V  V12  1  0.16586500  0.83890800  0.06903000  1
  V  V13  1  0.15967900  0.83782300  0.56585000  1
  Fe  Fe14  1  0.66615100  0.33316900  0.67569400  1
  Fe  Fe15  1  0.66206300  0.32224200  0.47144600  1
  Fe  Fe16  1  0.66758800  0.33017100  0.97668600  1
  Fe  Fe17  1  0.32961800  0.66581300  0.72890000  1
  Fe  Fe18  1  0.33785300  0.66771100  0.92359100  1
  O  O19  1  0.82898800  0.17058600  0.11927000  1
  O  O20  1  0.82981500  0.17054800  0.61650100  1
  O  O21  1  0.98621400  0.52228600  0.24309900  1
  O  O22  1  0.95272700  0.48048000  0.75369000  1
  O  O23  1  0.65222600  0.34020700  0.37153300  1
  O  O24  1  0.66648300  0.33540600  0.87567000  1
  O  O25  1  0.01128400  0.98721700  0.51342100  1
  O  O26  1  0.99234300  0.00654400  0.01483500  1
  O  O27  1  0.02569800  0.01068300  0.27053800  1
  O  O28  1  0.00518100  0.99043800  0.76054900  1
  O  O29  1  0.81990800  0.66801900  0.11952500  1
  O  O30  1  0.83336300  0.66283800  0.61952500  1
  O  O31  1  0.48815900  0.01813800  0.24503200  1
  O  O32  1  0.51628300  0.04510000  0.75315800  1
  O  O33  1  0.51451400  0.49059500  0.25243300  1
  O  O34  1  0.52070200  0.47859800  0.75175700  1
  O  O35  1  0.33664700  0.16627200  0.61979100  1
  O  O36  1  0.33832000  0.18003300  0.12020100  1
  O  O37  1  0.65273500  0.79870600  0.37483100  1
  O  O38  1  0.67389300  0.82303200  0.86662900  1
  O  O39  1  0.49175900  0.51442800  0.00610800  1
  O  O40  1  0.48305200  0.50975800  0.50193500  1
  O  O41  1  0.49315800  0.97377900  0.00813500  1
  O  O42  1  0.48248600  0.96115800  0.49832200  1
  O  O43  1  0.33811000  0.66501500  0.12775100  1
  O  O44  1  0.20995000  0.36258700  0.37682800  1
  O  O45  1  0.17730300  0.32431700  0.86606200  1
  O  O46  1  0.32642700  0.67767300  0.61905400  1
  O  O47  1  0.02668200  0.50993100  0.00696600  1
  O  O48  1  0.02639700  0.51164400  0.49899000  1
  O  O49  1  0.17168000  0.82496200  0.37023600  1
  O  O50  1  0.16771900  0.83246300  0.86372500  1
"
"True","mp-867706","V16FeO41","Orthorhombic","Pmm2","25","58","0.091771675129312","-2.1919237775","False","781.1121493466894","3.245950275517688","0.5244","True","False","FiM","3.997583","# generated using pymatgen
data_V16FeO41
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.71014600
_cell_length_b   14.63760600
_cell_length_c   4.55702100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V16FeO41
_chemical_formula_sum   'V16 Fe1 O41'
_cell_volume   781.11214935
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.10242700  0.31250000  0.89977000  1
  V  V1  1  0.10252700  0.06471900  0.89955500  1
  V  V2  1  0.10252700  0.56028100  0.89955500  1
  V  V3  1  0.10042100  0.81250000  0.90212500  1
  V  V4  1  0.39747300  0.06471900  0.89955500  1
  V  V5  1  0.39757300  0.31250000  0.89977000  1
  V  V6  1  0.39747300  0.56028100  0.89955500  1
  V  V7  1  0.39957900  0.81250000  0.90212500  1
  V  V8  1  0.59430200  0.94486700  0.11392300  1
  V  V9  1  0.60102600  0.18909300  0.09636600  1
  V  V10  1  0.60102600  0.43590700  0.09636600  1
  V  V11  1  0.59430200  0.68013300  0.11392300  1
  V  V12  1  0.90569800  0.94486700  0.11392300  1
  V  V13  1  0.89897400  0.18909300  0.09636600  1
  V  V14  1  0.89897400  0.43590700  0.09636600  1
  V  V15  1  0.90569800  0.68013300  0.11392300  1
  Fe  Fe16  1  0.75000000  0.81250000  0.03671000  1
  O  O17  1  0.07041000  0.18890900  0.00221800  1
  O  O18  1  0.07041000  0.43609100  0.00221800  1
  O  O19  1  0.06993000  0.93828400  0.99787200  1
  O  O20  1  0.06993000  0.68671600  0.99787200  1
  O  O21  1  0.10892400  0.31250000  0.54778200  1
  O  O22  1  0.11097300  0.55986200  0.54772100  1
  O  O23  1  0.11097300  0.06513800  0.54772100  1
  O  O24  1  0.10636300  0.81250000  0.55048600  1
  O  O25  1  0.25000000  0.56125400  0.01984100  1
  O  O26  1  0.25000000  0.06374600  0.01984100  1
  O  O27  1  0.25000000  0.31250000  0.01695700  1
  O  O28  1  0.25000000  0.81250000  0.01151700  1
  O  O29  1  0.38902700  0.06513800  0.54772100  1
  O  O30  1  0.39107600  0.31250000  0.54778200  1
  O  O31  1  0.38902700  0.55986200  0.54772100  1
  O  O32  1  0.39363700  0.81250000  0.55048600  1
  O  O33  1  0.42959000  0.43609100  0.00221800  1
  O  O34  1  0.42959000  0.18890900  0.00221800  1
  O  O35  1  0.43007000  0.68671600  0.99787200  1
  O  O36  1  0.43007000  0.93828400  0.99787200  1
  O  O37  1  0.57326100  0.81250000  0.00897600  1
  O  O38  1  0.56607900  0.06690100  0.98994400  1
  O  O39  1  0.56793300  0.31250000  0.99529100  1
  O  O40  1  0.56607900  0.55809900  0.98994400  1
  O  O41  1  0.59326100  0.95196600  0.46500300  1
  O  O42  1  0.60763900  0.18848900  0.44863500  1
  O  O43  1  0.60763900  0.43651100  0.44863500  1
  O  O44  1  0.59326100  0.67303400  0.46500300  1
  O  O45  1  0.75000000  0.81250000  0.44393100  1
  O  O46  1  0.75000000  0.94923600  0.99699700  1
  O  O47  1  0.75000000  0.18864100  0.98369800  1
  O  O48  1  0.75000000  0.43635800  0.98369800  1
  O  O49  1  0.75000000  0.67576400  0.99699700  1
  O  O50  1  0.90673900  0.95196600  0.46500300  1
  O  O51  1  0.89236100  0.18848900  0.44863500  1
  O  O52  1  0.89236100  0.43651100  0.44863500  1
  O  O53  1  0.90673900  0.67303400  0.46500300  1
  O  O54  1  0.92673900  0.81250000  0.00897600  1
  O  O55  1  0.93392100  0.06690100  0.98994400  1
  O  O56  1  0.93206700  0.31250000  0.99529100  1
  O  O57  1  0.93392100  0.55809900  0.98994400  1
"
"True","mp-1274527","V2FeO4","Trigonal","R-3m","166","14","0.084429276607142","-2.149253186428571","False","157.02017992898817","4.689639523172561","0.0","False","True","FiM","5.5867023","# generated using pymatgen
data_V2FeO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.06425359
_cell_length_b   6.09405725
_cell_length_c   6.02638845
_cell_angle_alpha   119.64716835
_cell_angle_beta   89.93565120
_cell_angle_gamma   120.57853312
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2FeO4
_chemical_formula_sum   'V4 Fe2 O8'
_cell_volume   157.02017993
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.50000000  0.00000000  0.50000100  1
  V  V1  1  0.00000000  0.50000000  0.00000000  1
  V  V2  1  0.00000000  0.50000000  0.50000000  1
  V  V3  1  0.00000000  0.00000000  0.50000000  1
  Fe  Fe4  1  0.37041500  0.24966200  0.12463300  1
  Fe  Fe5  1  0.62958400  0.75033800  0.87536700  1
  O  O6  1  0.22956800  0.47712500  0.73879400  1
  O  O7  1  0.24017600  0.50461300  0.25164800  1
  O  O8  1  0.23802100  0.99089200  0.73429600  1
  O  O9  1  0.23645900  0.99002600  0.25473000  1
  O  O10  1  0.76198000  0.00910900  0.26570400  1
  O  O11  1  0.76354100  0.00997400  0.74526900  1
  O  O12  1  0.77043200  0.52287500  0.26120600  1
  O  O13  1  0.75982400  0.49538700  0.74835200  1
"
"True","mp-1274785","V2FeO4","Monoclinic","C2/c","15","14","0.025213975892857003","-2.208468487142857","False","157.39622505980898","4.678435213111607","1.2226","False","False","FM","16.0000018","# generated using pymatgen
data_V2FeO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.99479398
_cell_length_b   6.09374271
_cell_length_c   5.99319876
_cell_angle_alpha   119.32986955
_cell_angle_beta   90.04817492
_cell_angle_gamma   119.52232328
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2FeO4
_chemical_formula_sum   'V4 Fe2 O8'
_cell_volume   157.39622506
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.00003600  0.50002900  0.00002800  1
  V  V1  1  0.99984900  0.49990200  0.49994100  1
  V  V2  1  0.00002100  0.00001700  0.50005200  1
  V  V3  1  0.50000200  0.00002900  0.49989900  1
  Fe  Fe4  1  0.37290900  0.25012100  0.12296900  1
  Fe  Fe5  1  0.62712500  0.74996500  0.87697000  1
  O  O6  1  0.23183600  0.48268000  0.74755700  1
  O  O7  1  0.24586100  0.51424000  0.25045500  1
  O  O8  1  0.23605200  0.98579200  0.73172100  1
  O  O9  1  0.23498000  0.98267300  0.25090600  1
  O  O10  1  0.76396800  0.01412000  0.26825600  1
  O  O11  1  0.76506200  0.01735900  0.74908700  1
  O  O12  1  0.76816100  0.51730600  0.25249800  1
  O  O13  1  0.75414100  0.48576800  0.74966100  1
"
"True","mp-1276134","V2FeO4","Orthorhombic","Imma","74","14","0.08271116160714301","-2.15097130142857","False","157.55211904028906","4.673806015534114","0.7147","False","False","FiM","3.9992503","# generated using pymatgen
data_V2FeO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.06343034
_cell_length_b   6.07253382
_cell_length_c   6.03949065
_cell_angle_alpha   120.33267517
_cell_angle_beta   90.47603378
_cell_angle_gamma   119.25482085
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2FeO4
_chemical_formula_sum   'V4 Fe2 O8'
_cell_volume   157.55211904
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.99764400  0.49556000  0.99314400  1
  V  V1  1  0.99954500  0.50079800  0.49999500  1
  V  V2  1  0.00187500  0.99709900  0.49881800  1
  V  V3  1  0.49874800  0.00022600  0.49985100  1
  Fe  Fe4  1  0.37893100  0.25232100  0.13157600  1
  Fe  Fe5  1  0.62130500  0.75090000  0.87130900  1
  O  O6  1  0.23422200  0.49359500  0.73995900  1
  O  O7  1  0.24875200  0.51241800  0.26107400  1
  O  O8  1  0.25049000  0.97870400  0.72989500  1
  O  O9  1  0.25431900  0.99367700  0.25963700  1
  O  O10  1  0.75128700  0.02258400  0.27350900  1
  O  O11  1  0.74621400  0.00628200  0.73994400  1
  O  O12  1  0.76602000  0.50595500  0.26020900  1
  O  O13  1  0.75064800  0.48987900  0.74108100  1
"
"True","mp-1286870","V2FeO4","Monoclinic","C2","5","14","0.047817604464286005","-2.185864858571427","False","159.018914916307","4.630694669990715","1.1355","False","False","FiM","4.0173911","# generated using pymatgen
data_V2FeO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.05866748
_cell_length_b   6.06937194
_cell_length_c   6.10502215
_cell_angle_alpha   59.69746597
_cell_angle_beta   60.39335629
_cell_angle_gamma   60.14976007
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2FeO4
_chemical_formula_sum   'V4 Fe2 O8'
_cell_volume   159.01891492
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.49922800  0.00107600  0.49981100  1
  V  V1  1  0.99954000  0.50012600  0.50034100  1
  V  V2  1  0.50016600  0.49998800  0.99949000  1
  V  V3  1  0.50098500  0.49927400  0.49977000  1
  Fe  Fe4  1  0.12199400  0.12319400  0.12666500  1
  Fe  Fe5  1  0.87927000  0.86982300  0.87984700  1
  O  O6  1  0.73902300  0.73751500  0.73958500  1
  O  O7  1  0.26296000  0.25248200  0.71874900  1
  O  O8  1  0.25903200  0.71617900  0.26345900  1
  O  O9  1  0.71653300  0.26932700  0.25984900  1
  O  O10  1  0.74381100  0.28267700  0.73563600  1
  O  O11  1  0.28419300  0.73457500  0.73441300  1
  O  O12  1  0.26016100  0.26375300  0.26045000  1
  O  O13  1  0.73310400  0.75001100  0.28193300  1
"
"True","mp-20167","V2FeO4","Cubic","Fd-3m","227","14","0.04888785446428601","-2.184794608571427","False","160.74549061716334","4.580956136955703","0.0","False","True","FiM","8.3409052","# generated using pymatgen
data_V2FeO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.07719523
_cell_length_b   6.09711393
_cell_length_c   6.08560431
_cell_angle_alpha   119.49611667
_cell_angle_beta   90.45951885
_cell_angle_gamma   119.69626222
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2FeO4
_chemical_formula_sum   'V4 Fe2 O8'
_cell_volume   160.74549062
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.99951800  0.49952700  0.99969500  1
  V  V1  1  0.99978100  0.49925300  0.49993700  1
  V  V2  1  0.00054900  0.00094100  0.50033900  1
  V  V3  1  0.50024600  0.00092300  0.50092600  1
  Fe  Fe4  1  0.62535100  0.75052300  0.87586600  1
  Fe  Fe5  1  0.37508200  0.24999900  0.12466600  1
  O  O6  1  0.21476500  0.47500400  0.74274000  1
  O  O7  1  0.24026900  0.52608000  0.26227600  1
  O  O8  1  0.23682300  0.97080000  0.71485300  1
  O  O9  1  0.23771500  0.97754100  0.26209900  1
  O  O10  1  0.76133000  0.02678400  0.28444800  1
  O  O11  1  0.76134300  0.01883400  0.73486600  1
  O  O12  1  0.78545300  0.52759100  0.25973200  1
  O  O13  1  0.76177500  0.47620100  0.73755400  1
"
"True","mp-1312206","V2FeO6","Triclinic","P-1","2","18","0.03303517972219","-2.196907958333336","False","239.6140132477019","3.516649737126222","1.923","False","False","FiM","8.0083938","# generated using pymatgen
data_V2FeO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.75879486
_cell_length_b   6.69067526
_cell_length_c   6.66978608
_cell_angle_alpha   96.07723551
_cell_angle_beta   75.18380100
_cell_angle_gamma   105.13635496
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2FeO6
_chemical_formula_sum   'V4 Fe2 O12'
_cell_volume   239.61401325
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.74439204  0.61239415  0.20548160  1
  V  V1  1  0.24519514  0.79535724  0.39051973  1
  V  V2  1  0.75484248  0.20465763  0.60947518  1
  V  V3  1  0.25561502  0.38759765  0.79452922  1
  Fe  Fe4  1  0.24578572  0.91064430  0.91666383  1
  Fe  Fe5  1  0.75418910  0.08935397  0.08333977  1
  O  O6  1  0.63982103  0.03766620  0.80903547  1
  O  O7  1  0.13998510  0.19240730  0.96643140  1
  O  O8  1  0.85995551  0.80760135  0.03360067  1
  O  O9  1  0.36021144  0.96233317  0.19096115  1
  O  O10  1  0.76674351  0.08267954  0.37453991  1
  O  O11  1  0.72904595  0.37689688  0.08817924  1
  O  O12  1  0.27087875  0.62306194  0.91183011  1
  O  O13  1  0.23321698  0.91734024  0.62541774  1
  O  O14  1  0.55675366  0.37384250  0.65060008  1
  O  O15  1  0.05373159  0.34798860  0.62444799  1
  O  O16  1  0.94633286  0.65197219  0.37550365  1
  O  O17  1  0.44330612  0.62620514  0.34944328  1
"
