"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-753925","Nb4VO12","Triclinic","P1","1","34","0.058521745630260004","-2.885376982352941","False","454.44753785344767","4.491170068575703","1.878099999999999","False","False","AFM","0.0007337","# generated using pymatgen
data_Nb4VO12
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.65242834
_cell_length_b   9.20406841
_cell_length_c   7.69661956
_cell_angle_alpha   113.30749865
_cell_angle_beta   95.03286645
_cell_angle_gamma   66.35707744
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb4VO12
_chemical_formula_sum   'Nb8 V2 O24'
_cell_volume   454.44753785
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.01750600  0.98088900  0.00485300  1
  Nb  Nb1  1  0.51755800  0.98087700  0.50486100  1
  Nb  Nb2  1  0.25400000  0.50980300  0.23810100  1
  Nb  Nb3  1  0.75398800  0.50984900  0.73813500  1
  Nb  Nb4  1  0.74215500  0.50025100  0.24882800  1
  Nb  Nb5  1  0.24218000  0.50025500  0.74886000  1
  Nb  Nb6  1  0.02023300  0.98203000  0.49640700  1
  Nb  Nb7  1  0.52023500  0.98202200  0.99640500  1
  V  V8  1  0.55114400  0.28103600  0.43388900  1
  V  V9  1  0.05123400  0.28102800  0.93395400  1
  O  O10  1  0.55030500  0.42267600  0.71122500  1
  O  O11  1  0.05028900  0.42264700  0.21124200  1
  O  O12  1  0.20704100  0.72773500  0.90185900  1
  O  O13  1  0.70704800  0.72771600  0.40184500  1
  O  O14  1  0.05556200  0.03757500  0.25668100  1
  O  O15  1  0.55557700  0.03759700  0.75668800  1
  O  O16  1  0.23257300  0.40622100  0.93502400  1
  O  O17  1  0.73252500  0.40627500  0.43502900  1
  O  O18  1  0.29706000  0.94162900  0.50688000  1
  O  O19  1  0.79705700  0.94159100  0.00683900  1
  O  O20  1  0.08912200  0.74033900  0.30599700  1
  O  O21  1  0.58901800  0.74045400  0.80603400  1
  O  O22  1  0.98189000  0.24017600  0.69285200  1
  O  O23  1  0.48188800  0.24015600  0.19271800  1
  O  O24  1  0.73995600  0.07459700  0.45229900  1
  O  O25  1  0.23996400  0.07459700  0.95228300  1
  O  O26  1  0.80678900  0.51501300  0.98811400  1
  O  O27  1  0.30680700  0.51500300  0.48810000  1
  O  O28  1  0.00253500  0.93417400  0.70068600  1
  O  O29  1  0.50252500  0.93418500  0.20068300  1
  O  O30  1  0.87218300  0.23214000  0.03466500  1
  O  O31  1  0.37217600  0.23212900  0.53471100  1
  O  O32  1  0.49098400  0.53296900  0.18058400  1
  O  O33  1  0.99099600  0.53295900  0.68056100  1
"
"True","mp-1210227","Nb9V2O25","Tetragonal","I4/m","87","36","0.20931958348699803","-2.758270219305556","False","516.0537068271644","4.305450096801664","0.0","False","True","FM","2.7417596","# generated using pymatgen
data_Nb9V2O25
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.54406373
_cell_length_b   11.54406373
_cell_length_c   11.54406373
_cell_angle_alpha   91.71286649
_cell_angle_beta   91.71286649
_cell_angle_gamma   160.08829748
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb9V2O25
_chemical_formula_sum   'Nb9 V2 O25'
_cell_volume   516.05370683
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00000000  0.00000000  0.00000000  1
  Nb  Nb1  1  0.22274900  0.90221700  0.12496600  1
  Nb  Nb2  1  0.77725100  0.09778300  0.87503400  1
  Nb  Nb3  1  0.90221700  0.77725100  0.67946800  1
  Nb  Nb4  1  0.09778300  0.22274900  0.32053200  1
  Nb  Nb5  1  0.12633900  0.68202600  0.80836500  1
  Nb  Nb6  1  0.87366100  0.31797400  0.19163500  1
  Nb  Nb7  1  0.68202600  0.87366100  0.55568700  1
  Nb  Nb8  1  0.31797400  0.12633900  0.44431300  1
  V  V9  1  0.75000000  0.25000000  0.50000000  1
  V  V10  1  0.25000000  0.75000000  0.50000000  1
  O  O11  1  0.35145600  0.83967700  0.19113300  1
  O  O12  1  0.64854400  0.16032300  0.80886700  1
  O  O13  1  0.83967700  0.64854400  0.48822200  1
  O  O14  1  0.16032300  0.35145600  0.51177800  1
  O  O15  1  0.24993600  0.61125400  0.86119000  1
  O  O16  1  0.75006400  0.38874600  0.13881000  1
  O  O17  1  0.61125400  0.75006400  0.36131700  1
  O  O18  1  0.38874600  0.24993600  0.63868300  1
  O  O19  1  0.17868100  0.78701600  0.96569700  1
  O  O20  1  0.82131900  0.21298400  0.03430300  1
  O  O21  1  0.78701600  0.82131900  0.60833500  1
  O  O22  1  0.21298400  0.17868100  0.39166500  1
  O  O23  1  0.08306500  0.55596700  0.63903200  1
  O  O24  1  0.91693500  0.44403300  0.36096800  1
  O  O25  1  0.55596700  0.91693500  0.47290200  1
  O  O26  1  0.44403300  0.08306500  0.52709800  1
  O  O27  1  0.50000000  0.50000000  0.00000000  1
  O  O28  1  0.11759000  0.94947900  0.06707000  1
  O  O29  1  0.88241000  0.05052100  0.93293000  1
  O  O30  1  0.94947900  0.88241000  0.83188900  1
  O  O31  1  0.05052100  0.11759000  0.16811100  1
  O  O32  1  0.01621900  0.71924000  0.73545900  1
  O  O33  1  0.98378100  0.28076000  0.26454100  1
  O  O34  1  0.71924000  0.98378100  0.70302100  1
  O  O35  1  0.28076000  0.01621900  0.29697900  1
"
"True","mp-774246","Nb9VO25","Tetragonal","I-4","82","35","0.0","-2.970839276999999","True","488.49623689321425","4.37516805604354","2.0136","False","False","NM","0.0","# generated using pymatgen
data_Nb9VO25
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   11.42351687
_cell_length_b   11.42351345
_cell_length_c   11.42333374
_cell_angle_alpha   91.62902619
_cell_angle_beta   91.63059052
_cell_angle_gamma   160.58206657
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb9VO25
_chemical_formula_sum   'Nb9 V1 O25'
_cell_volume   488.49623689
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.99997773  0.99997969  0.00000227  1
  Nb  Nb1  1  0.89087838  0.21565508  0.11214833  1
  Nb  Nb2  1  0.12520368  0.33485378  0.44120633  1
  Nb  Nb3  1  0.31600275  0.87478881  0.20964351  1
  Nb  Nb4  1  0.78434983  0.89650117  0.67523053  1
  Nb  Nb5  1  0.22126573  0.10911521  0.32476859  1
  Nb  Nb6  1  0.66514621  0.10636059  0.79035348  1
  Nb  Nb7  1  0.89365043  0.68400099  0.55879712  1
  Nb  Nb8  1  0.10350564  0.77873200  0.88785035  1
  V  V9  1  0.74999283  0.24999057  0.50000120  1
  O  O10  1  0.50000185  0.50000359  -0.00000094  1
  O  O11  1  0.94488272  0.11222532  0.06504443  1
  O  O12  1  0.17036010  0.21167527  0.39336072  1
  O  O13  1  0.38780627  0.75187108  0.13958686  1
  O  O14  1  0.01891152  0.28764424  0.29146241  1
  O  O15  1  0.22300889  0.82964827  0.04132022  1
  O  O16  1  0.64802329  0.84283885  0.48943774  1
  O  O17  1  0.84141594  0.35197883  0.19481702  1
  O  O18  1  0.24812807  0.38771499  0.63593502  1
  O  O19  1  0.45560838  0.93641823  0.37301749  1
  O  O20  1  0.06358596  0.43660058  0.51919076  1
  O  O21  1  0.88777634  0.95281648  0.83265096  1
  O  O22  1  0.27253428  0.98108135  0.26873682  1
  O  O23  1  0.71235461  0.00380830  0.73126329  1
  O  O24  1  0.12017177  0.05512669  0.16734792  1
  O  O25  1  0.91741675  0.54440224  0.48081224  1
  O  O26  1  0.56339654  0.08258598  0.62697922  1
  O  O27  1  0.75177833  0.61218949  0.36406502  1
  O  O28  1  0.15716311  0.64660007  0.80518271  1
  O  O29  1  0.35340036  0.15858369  0.51056170  1
  O  O30  1  0.78832524  0.18168325  0.95868146  1
  O  O31  1  0.99619109  0.72746046  0.70853692  1
  O  O32  1  0.61228867  0.24822429  0.86041353  1
  O  O33  1  0.81831544  0.77699692  0.60663673  1
  O  O34  1  0.04718427  0.87984266  0.93495903  1
"
"True","mp-773430","NbV2O7","Cubic","Pa-3","205","40","0.071154482500007","-2.586424955000001","False","708.6107543368812","2.8756480102853472","0.0","False","True","FM","3.9997589","# generated using pymatgen
data_NbV2O7
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.91529900
_cell_length_b   8.91529900
_cell_length_c   8.91529900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbV2O7
_chemical_formula_sum   'Nb4 V8 O28'
_cell_volume   708.61075434
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00000000  0.00000000  0.00000000  1
  Nb  Nb1  1  0.00000000  0.50000000  0.50000000  1
  Nb  Nb2  1  0.50000000  0.00000000  0.50000000  1
  Nb  Nb3  1  0.50000000  0.50000000  0.00000000  1
  V  V4  1  0.11558800  0.88441200  0.38441200  1
  V  V5  1  0.11558800  0.61558800  0.88441200  1
  V  V6  1  0.38441200  0.38441200  0.38441200  1
  V  V7  1  0.38441200  0.11558800  0.88441200  1
  V  V8  1  0.61558800  0.61558800  0.61558800  1
  V  V9  1  0.61558800  0.88441200  0.11558800  1
  V  V10  1  0.88441200  0.11558800  0.61558800  1
  V  V11  1  0.88441200  0.38441200  0.11558800  1
  O  O12  1  0.00000000  0.00000000  0.50000000  1
  O  O13  1  0.00000000  0.50000000  0.00000000  1
  O  O14  1  0.06149000  0.69822100  0.41037400  1
  O  O15  1  0.06149000  0.80177900  0.91037400  1
  O  O16  1  0.08962600  0.56149000  0.69822100  1
  O  O17  1  0.08962600  0.93851000  0.19822100  1
  O  O18  1  0.19822100  0.08962600  0.93851000  1
  O  O19  1  0.19822100  0.41037400  0.43851000  1
  O  O20  1  0.30177900  0.58962600  0.93851000  1
  O  O21  1  0.30177900  0.91037400  0.43851000  1
  O  O22  1  0.41037400  0.06149000  0.69822100  1
  O  O23  1  0.41037400  0.43851000  0.19822100  1
  O  O24  1  0.43851000  0.30177900  0.91037400  1
  O  O25  1  0.43851000  0.19822100  0.41037400  1
  O  O26  1  0.50000000  0.50000000  0.50000000  1
  O  O27  1  0.50000000  0.00000000  0.00000000  1
  O  O28  1  0.56149000  0.69822100  0.08962600  1
  O  O29  1  0.56149000  0.80177900  0.58962600  1
  O  O30  1  0.58962600  0.56149000  0.80177900  1
  O  O31  1  0.58962600  0.93851000  0.30177900  1
  O  O32  1  0.69822100  0.08962600  0.56149000  1
  O  O33  1  0.69822100  0.41037400  0.06149000  1
  O  O34  1  0.80177900  0.58962600  0.56149000  1
  O  O35  1  0.80177900  0.91037400  0.06149000  1
  O  O36  1  0.91037400  0.06149000  0.80177900  1
  O  O37  1  0.91037400  0.43851000  0.30177900  1
  O  O38  1  0.93851000  0.19822100  0.08962600  1
  O  O39  1  0.93851000  0.30177900  0.58962600  1
"
"True","mp-776661","NbV3O10","Tetragonal","P-4m2","115","14","0.082008259642858","-2.420244780714285","False","203.51248447988607","3.310470191808717","1.5159","True","False","NM","0.0046241","# generated using pymatgen
data_NbV3O10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.71640500
_cell_length_b   6.71640500
_cell_length_c   4.51146200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbV3O10
_chemical_formula_sum   'Nb1 V3 O10'
_cell_volume   203.51248448
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.50000000  0.50000000  0.50000000  1
  V  V1  1  0.50000000  0.00000000  0.63402600  1
  V  V2  1  0.00000000  0.50000000  0.36597400  1
  V  V3  1  0.00000000  0.00000000  0.50000000  1
  O  O4  1  0.00000000  0.78230800  0.28757500  1
  O  O5  1  0.50000000  0.00000000  0.27465000  1
  O  O6  1  0.78230800  0.00000000  0.71242500  1
  O  O7  1  0.21769200  0.00000000  0.71242500  1
  O  O8  1  0.00000000  0.21769200  0.28757500  1
  O  O9  1  0.50000000  0.27202200  0.73852700  1
  O  O10  1  0.27202200  0.50000000  0.26147300  1
  O  O11  1  0.72797800  0.50000000  0.26147300  1
  O  O12  1  0.00000000  0.50000000  0.72535000  1
  O  O13  1  0.50000000  0.72797800  0.73852700  1
"
"True","mp-1101449","NbV3O8","Monoclinic","Cc","9","24","0.104913657046139","-2.569327739166667","False","293.15319271283005","4.233873425047071","1.2261","False","False","FM","8.0008521","# generated using pymatgen
data_NbV3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.01735867
_cell_length_b   5.98727846
_cell_length_c   9.38494591
_cell_angle_alpha   88.15710090
_cell_angle_beta   90.91683880
_cell_angle_gamma   119.83456809
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbV3O8
_chemical_formula_sum   'Nb2 V6 O16'
_cell_volume   293.15319271
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.34536000  0.67869400  0.49950100  1
  Nb  Nb1  1  0.65464600  0.33333300  0.99950000  1
  V  V2  1  0.15841800  0.81714400  0.21934900  1
  V  V3  1  0.16717100  0.33956300  0.20465100  1
  V  V4  1  0.65711400  0.82114200  0.21813800  1
  V  V5  1  0.34287800  0.16401800  0.71813900  1
  V  V6  1  0.84156700  0.65871800  0.71934600  1
  V  V7  1  0.83284300  0.17240600  0.70465200  1
  O  O8  1  0.17611200  0.82923200  0.60288800  1
  O  O9  1  0.04729500  0.53220800  0.33673400  1
  O  O10  1  0.33674400  0.68212700  0.10653200  1
  O  O11  1  0.99836700  0.99553000  0.30155000  1
  O  O12  1  0.00163400  0.99716200  0.80155000  1
  O  O13  1  0.18299000  0.34182600  0.59727200  1
  O  O14  1  0.47787100  0.95483500  0.33635300  1
  O  O15  1  0.48768600  0.53361300  0.33538400  1
  O  O16  1  0.33565600  0.15957100  0.09951100  1
  O  O17  1  0.66434700  0.82392400  0.59951400  1
  O  O18  1  0.52212300  0.47696300  0.83634800  1
  O  O19  1  0.51232000  0.04593000  0.83538000  1
  O  O20  1  0.66325700  0.34538400  0.60653400  1
  O  O21  1  0.82387800  0.65311800  0.10288900  1
  O  O22  1  0.95270500  0.48491800  0.83673700  1
  O  O23  1  0.81701500  0.15884100  0.09727300  1
"
"True","mp-1576362","NbV3O8","Triclinic","P1","1","24","0.10616597204614","-2.568075424166666","False","293.1261637566334","4.234263827520468","1.1784","False","False","FM","8.0001502","# generated using pymatgen
data_NbV3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.96264368
_cell_length_b   9.39882355
_cell_length_c   6.06153516
_cell_angle_alpha   90.28162893
_cell_angle_beta   59.64487672
_cell_angle_gamma   90.21954747
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbV3O8
_chemical_formula_sum   'Nb2 V6 O16'
_cell_volume   293.12616376
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.30788200  0.49911000  0.35596700  1
  Nb  Nb1  1  0.69971000  0.99795700  0.63455100  1
  V  V2  1  0.79759800  0.72020100  0.85887000  1
  V  V3  1  0.20666700  0.21579600  0.13622200  1
  V  V4  1  0.81685000  0.70469700  0.35067300  1
  V  V5  1  0.67693300  0.21193200  0.15917200  1
  V  V6  1  0.32708700  0.71904600  0.83808700  1
  V  V7  1  0.18407700  0.21462100  0.64540100  1
  O  O8  1  0.64895900  0.60009000  0.17578900  1
  O  O9  1  0.83599500  0.09685900  0.82028700  1
  O  O10  1  0.47067600  0.33688600  0.03647700  1
  O  O11  1  0.51745400  0.83575800  0.96835200  1
  O  O12  1  0.33474400  0.10630600  0.33423000  1
  O  O13  1  0.63244700  0.60654600  0.70495400  1
  O  O14  1  0.02528700  0.30190100  0.97201500  1
  O  O15  1  0.00106200  0.80335400  0.00089500  1
  O  O16  1  0.15876800  0.59679800  0.18155000  1
  O  O17  1  0.35603600  0.10007600  0.81772000  1
  O  O18  1  0.48164700  0.33943600  0.46446500  1
  O  O19  1  0.94719900  0.83276500  0.53680300  1
  O  O20  1  0.04901700  0.33380500  0.47301100  1
  O  O21  1  0.51262800  0.83777500  0.54135100  1
  O  O22  1  0.85910300  0.10106100  0.32319200  1
  O  O23  1  0.15237300  0.60294800  0.66996600  1
"
"True","mp-755814","NbV3O8","Monoclinic","Cm","8","12","0.03802194954614","-2.636219446666666","False","146.04241845676188","4.249359621711628","0.36860000000000004","False","False","FM","3.999999899999999","# generated using pymatgen
data_NbV3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.42865042
_cell_length_b   6.42865042
_cell_length_c   6.61309060
_cell_angle_alpha   74.17376349
_cell_angle_beta   74.17376349
_cell_angle_gamma   33.88290455
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbV3O8
_chemical_formula_sum   'Nb1 V3 O8'
_cell_volume   146.04241846
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.30785378  0.30785378  0.27308973  1
  V  V1  1  0.60091038  0.60091038  0.31799311  1
  V  V2  1  0.39916084  0.39916084  0.68789973  1
  V  V3  1  0.69217598  0.69217598  0.73779129  1
  O  O4  1  0.86175645  0.86175645  0.69819454  1
  O  O5  1  0.76462846  0.76462846  0.34689865  1
  O  O6  1  0.63759493  0.63759493  0.99765691  1
  O  O7  1  0.56021740  0.56021740  0.62796773  1
  O  O8  1  0.44104768  0.44104768  0.36963718  1
  O  O9  1  0.36768597  0.36768597  0.99248042  1
  O  O10  1  0.23346143  0.23346143  0.65674182  1
  O  O11  1  0.13350471  0.13350471  0.29364887  1
"
"True","mp-770930","NbV3O8","Orthorhombic","Cmc2_1","36","24","0.109222958712805","-2.565018437499999","False","292.791459025043","4.239104228748673","1.1529","False","False","FM","7.9998922","# generated using pymatgen
data_NbV3O8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.07009550
_cell_length_b   6.07009550
_cell_length_c   9.33194500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   121.62254898
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbV3O8
_chemical_formula_sum   'Nb2 V6 O16'
_cell_volume   292.79145903
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.67108900  0.32891100  0.50126000  1
  Nb  Nb1  1  0.32891100  0.67108900  0.00126000  1
  V  V2  1  0.33797400  0.17177200  0.78136000  1
  V  V3  1  0.82822800  0.66202600  0.78136000  1
  V  V4  1  0.83067100  0.16932900  0.79219700  1
  V  V5  1  0.16932900  0.83067100  0.29219700  1
  V  V6  1  0.17177200  0.33797400  0.28136000  1
  V  V7  1  0.66202600  0.82822800  0.28136000  1
  O  O8  1  0.34030200  0.17117300  0.39938700  1
  O  O9  1  0.52208300  0.47791700  0.66300600  1
  O  O10  1  0.65287200  0.34712800  0.89351000  1
  O  O11  1  0.00819400  0.99180600  0.69650200  1
  O  O12  1  0.99180600  0.00819400  0.19650200  1
  O  O13  1  0.82882700  0.65969800  0.39938700  1
  O  O14  1  0.51205300  0.04757300  0.66507500  1
  O  O15  1  0.95242700  0.48794700  0.66507500  1
  O  O16  1  0.16993900  0.83006100  0.90119900  1
  O  O17  1  0.83006100  0.16993900  0.40119900  1
  O  O18  1  0.04757300  0.51205300  0.16507500  1
  O  O19  1  0.48794700  0.95242700  0.16507500  1
  O  O20  1  0.34712800  0.65287200  0.39351000  1
  O  O21  1  0.17117300  0.34030200  0.89938700  1
  O  O22  1  0.47791700  0.52208300  0.16300600  1
  O  O23  1  0.65969800  0.82882700  0.89938700  1
"
"True","mp-1101445","NbVO4","Monoclinic","C2/c","15","12","0.066004825758884","-2.76000979","False","127.16890738862176","5.427986234111647","0.0","False","True","FM","3.9999134","# generated using pymatgen
data_NbVO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.16014853
_cell_length_b   6.16014853
_cell_length_c   4.95856538
_cell_angle_alpha   68.92375170
_cell_angle_beta   68.92375170
_cell_angle_gamma   114.81022441
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NbVO4
_chemical_formula_sum   'Nb2 V2 O8'
_cell_volume   127.16890739
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.13173900  0.86826100  0.25000000  1
  Nb  Nb1  1  0.86826100  0.13173900  0.75000000  1
  V  V2  1  0.59365000  0.40635000  0.25000000  1
  V  V3  1  0.40635000  0.59365000  0.75000000  1
  O  O4  1  0.26936000  0.20038400  0.76152200  1
  O  O5  1  0.20038400  0.26936000  0.26152200  1
  O  O6  1  0.47853600  0.89765000  0.83598400  1
  O  O7  1  0.89765000  0.47853600  0.33598400  1
  O  O8  1  0.10235000  0.52146400  0.66401600  1
  O  O9  1  0.52146400  0.10235000  0.16401600  1
  O  O10  1  0.79961600  0.73064000  0.73847800  1
  O  O11  1  0.73064000  0.79961600  0.23847800  1
"
