"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1178835","V2Re2O11","Orthorhombic","Cmc2_1","36","30","0.202673751000002","-2.0442618293333332","False","450.30524625803383","4.796002812795012","0.0","False","True","FM","4.002447","# generated using pymatgen
data_V2Re2O11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.79942742
_cell_length_b   7.79942742
_cell_length_c   9.37355600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   127.83995949
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2Re2O11
_chemical_formula_sum   'V4 Re4 O22'
_cell_volume   450.30524626
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.79254800  0.20745200  0.21651900  1
  V  V1  1  0.48236600  0.51763400  0.54853700  1
  V  V2  1  0.51763400  0.48236600  0.04853700  1
  V  V3  1  0.20745200  0.79254800  0.71651900  1
  Re  Re4  1  0.00097100  0.99902900  0.52710200  1
  Re  Re5  1  0.26131500  0.73868500  0.13352000  1
  Re  Re6  1  0.99902900  0.00097100  0.02710200  1
  Re  Re7  1  0.73868500  0.26131500  0.63352000  1
  O  O8  1  0.55168500  0.44831500  0.21448600  1
  O  O9  1  0.86944200  0.13055800  0.63208900  1
  O  O10  1  0.19821100  0.28398600  0.47366100  1
  O  O11  1  0.93527300  0.06472700  0.19406900  1
  O  O12  1  0.77308500  0.22691500  0.39316700  1
  O  O13  1  0.71601400  0.80178900  0.47366100  1
  O  O14  1  0.13055800  0.86944200  0.13208900  1
  O  O15  1  0.71366000  0.28634000  0.81319000  1
  O  O16  1  0.22691500  0.77308500  0.89316700  1
  O  O17  1  0.38543400  0.61456600  0.05833600  1
  O  O18  1  0.28398600  0.19821100  0.97366100  1
  O  O19  1  0.44831500  0.55168500  0.71448600  1
  O  O20  1  0.45940200  0.98163700  0.61647700  1
  O  O21  1  0.54059800  0.01836300  0.11647700  1
  O  O22  1  0.80178900  0.71601400  0.97366100  1
  O  O23  1  0.98163700  0.45940200  0.11647700  1
  O  O24  1  0.01836300  0.54059800  0.61647700  1
  O  O25  1  0.61456600  0.38543400  0.55833600  1
  O  O26  1  0.28634000  0.71366000  0.31319000  1
  O  O27  1  0.06472700  0.93527300  0.69406900  1
  O  O28  1  0.90219900  0.09780100  0.91470900  1
  O  O29  1  0.09780100  0.90219900  0.41470900  1
"
"True","mp-1179005","V2Re2O11","Orthorhombic","Cmc2_1","36","30","0.116531135000002","-2.130404445333333","False","434.1056370533023","4.974976234654845","0.6779000000000001","False","False","FM","4.0040562","# generated using pymatgen
data_V2Re2O11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.66006829
_cell_length_b   7.66006829
_cell_length_c   9.09593800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   125.57450574
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2Re2O11
_chemical_formula_sum   'V4 Re4 O22'
_cell_volume   434.10563705
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.74702600  0.25297400  0.21752300  1
  V  V1  1  0.44591100  0.55408900  0.48961000  1
  V  V2  1  0.55408900  0.44591100  0.98961000  1
  V  V3  1  0.25297400  0.74702600  0.71752300  1
  Re  Re4  1  0.00508000  0.99492000  0.51643400  1
  Re  Re5  1  0.29835200  0.70164800  0.14679100  1
  Re  Re6  1  0.99492000  0.00508000  0.01643400  1
  Re  Re7  1  0.70164800  0.29835200  0.64679100  1
  O  O8  1  0.62316600  0.37683400  0.16809900  1
  O  O9  1  0.82936800  0.17063200  0.65600800  1
  O  O10  1  0.16052000  0.27162100  0.46678900  1
  O  O11  1  0.96281000  0.03719000  0.20083800  1
  O  O12  1  0.74700100  0.25299900  0.40111200  1
  O  O13  1  0.72837900  0.83948000  0.46678900  1
  O  O14  1  0.17063200  0.82936800  0.15600800  1
  O  O15  1  0.65684700  0.34315300  0.83224000  1
  O  O16  1  0.25299900  0.74700100  0.90111200  1
  O  O17  1  0.41932000  0.58068000  0.04678100  1
  O  O18  1  0.27162100  0.16052000  0.96678900  1
  O  O19  1  0.37683400  0.62316600  0.66809900  1
  O  O20  1  0.42806700  0.01691900  0.64516400  1
  O  O21  1  0.57193300  0.98308100  0.14516400  1
  O  O22  1  0.83948000  0.72837900  0.96678900  1
  O  O23  1  0.01691900  0.42806700  0.14516400  1
  O  O24  1  0.98308100  0.57193300  0.64516400  1
  O  O25  1  0.58068000  0.41932000  0.54678100  1
  O  O26  1  0.34315300  0.65684700  0.33224000  1
  O  O27  1  0.03719000  0.96281000  0.70083800  1
  O  O28  1  0.88405000  0.11595000  0.92665800  1
  O  O29  1  0.11595000  0.88405000  0.42665800  1
"
"True","mp-704848","V2Re2O11","Triclinic","P1","1","30","0.20531922333333502","-2.041616357000001","False","459.4584372404473","4.700458306176818","0.0","True","True","FM","3.9995675","# generated using pymatgen
data_V2Re2O11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.36407200
_cell_length_b   7.80535242
_cell_length_c   9.99922959
_cell_angle_alpha   89.30535715
_cell_angle_beta   91.90293401
_cell_angle_gamma   112.25119837
_symmetry_Int_Tables_number   1
_chemical_formula_structural   V2Re2O11
_chemical_formula_sum   'V4 Re4 O22'
_cell_volume   459.45843724
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.22635100  0.37596000  0.22541700  1
  V  V1  1  0.63313300  0.26356200  0.55887500  1
  V  V2  1  0.42891000  0.79145200  0.07862100  1
  V  V3  1  0.81323100  0.63370400  0.71107400  1
  Re  Re4  1  0.01399900  0.01932600  0.51288400  1
  Re  Re5  1  0.73096700  0.47243200  0.14457200  1
  Re  Re6  1  0.01252500  0.98061200  0.02310700  1
  Re  Re7  1  0.25211300  0.50832100  0.64683900  1
  O  O8  1  0.47448700  0.89232000  0.22195000  1
  O  O9  1  0.13293700  0.25583700  0.63903900  1
  O  O10  1  0.30679700  0.11598200  0.46688600  1
  O  O11  1  0.08838700  0.10441300  0.17821300  1
  O  O12  1  0.21022300  0.44135400  0.37796000  1
  O  O13  1  0.81488200  0.12243100  0.46256600  1
  O  O14  1  0.87152100  0.72303600  0.13265100  1
  O  O15  1  0.28959300  0.56814800  0.81375800  1
  O  O16  1  0.79024100  0.57264600  0.86891100  1
  O  O17  1  0.55020500  0.29070300  0.04537600  1
  O  O18  1  0.20430500  0.86635100  0.98090200  1
  O  O19  1  0.58608000  0.14379000  0.69383400  1
  O  O20  1  0.93091500  0.48028500  0.61339100  1
  O  O21  1  0.98813300  0.42729400  0.13211100  1
  O  O22  1  0.71138400  0.91172400  0.98190100  1
  O  O23  1  0.44129500  0.55369800  0.12090500  1
  O  O24  1  0.54275700  0.48022300  0.61264500  1
  O  O25  1  0.34553700  0.71996800  0.56179200  1
  O  O26  1  0.65187000  0.40818200  0.30968600  1
  O  O27  1  0.95295700  0.89398000  0.67202900  1
  O  O28  1  0.10594800  0.15802400  0.91064200  1
  O  O29  1  0.91851000  0.82717100  0.41016200  1
"
"True","mp-29931","VRe2O9","Orthorhombic","Cmc2_1","36","24","0.0","-2.178052431250003","True","368.95316956784274","5.106919160461001","1.8956","False","False","FM","1.9999999","# generated using pymatgen
data_VRe2O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.84338437
_cell_length_b   7.84338437
_cell_length_c   8.86401379
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   137.42125488
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VRe2O9
_chemical_formula_sum   'V2 Re4 O18'
_cell_volume   368.95316957
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.88220184  0.11779816  0.78146334  1
  V  V1  1  0.11779816  0.88220184  0.28146334  1
  Re  Re2  1  0.52297103  0.47702897  0.68761875  1
  Re  Re3  1  0.47702897  0.52297103  0.18761875  1
  Re  Re4  1  0.22663968  0.77336032  0.87169855  1
  Re  Re5  1  0.77336032  0.22663968  0.37169855  1
  O  O6  1  0.93557355  0.06442645  0.93758315  1
  O  O7  1  0.06442645  0.93557355  0.43758315  1
  O  O8  1  0.58079000  0.41921000  0.85620894  1
  O  O9  1  0.41921000  0.58079000  0.35620894  1
  O  O10  1  0.60091232  0.39908768  0.54160644  1
  O  O11  1  0.39908768  0.60091232  0.04160644  1
  O  O12  1  0.96867461  0.54386926  0.32634067  1
  O  O13  1  0.03132539  0.45613074  0.82634067  1
  O  O14  1  0.45613074  0.03132539  0.32634067  1
  O  O15  1  0.54386926  0.96867461  0.82634067  1
  O  O16  1  0.80619067  0.19380933  0.55983462  1
  O  O17  1  0.19380933  0.80619067  0.05983462  1
  O  O18  1  0.86972053  0.13027947  0.26206266  1
  O  O19  1  0.13027947  0.86972053  0.76206266  1
  O  O20  1  0.79854564  0.70366680  0.17610560  1
  O  O21  1  0.20145436  0.29633320  0.67610560  1
  O  O22  1  0.29633320  0.20145436  0.17610560  1
  O  O23  1  0.70366680  0.79854564  0.67610560  1
"
"True","mp-1216284","VReO4","Orthorhombic","Cmmm","65","24","0.07721215309028101","-2.164676610416668","False","264.306714782645","7.567947930728329","0.0","False","True","FiM","1.7083443999999992","# generated using pymatgen
data_VReO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.77833602
_cell_length_b   7.50857354
_cell_length_c   7.50850184
_cell_angle_alpha   100.99219614
_cell_angle_beta   91.20233490
_cell_angle_gamma   91.20688056
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReO4
_chemical_formula_sum   'V4 Re4 O16'
_cell_volume   264.30671478
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.49990900  0.62521600  0.87302300  1
  V  V1  1  0.49992900  0.37300400  0.12520200  1
  V  V2  1  0.49945400  0.87327000  0.62602300  1
  V  V3  1  0.49942800  0.12605000  0.37331200  1
  Re  Re4  1  0.99915300  0.75014200  0.25018800  1
  Re  Re5  1  0.00066800  0.99996800  0.99903600  1
  Re  Re6  1  0.00067900  0.49909300  0.49989300  1
  Re  Re7  1  0.99878800  0.25042600  0.75051200  1
  O  O8  1  0.20730800  0.02121100  0.77137300  1
  O  O9  1  0.20729900  0.27137900  0.52123100  1
  O  O10  1  0.20674200  0.77238900  0.02134700  1
  O  O11  1  0.20677700  0.52134300  0.27238600  1
  O  O12  1  0.79345500  0.72887700  0.47814600  1
  O  O13  1  0.79354200  0.97812100  0.22883000  1
  O  O14  1  0.79239700  0.47924200  0.72839300  1
  O  O15  1  0.79235300  0.22841300  0.97926100  1
  O  O16  1  0.28873400  0.89448700  0.39447900  1
  O  O17  1  0.28736800  0.14492300  0.14250700  1
  O  O18  1  0.28740700  0.64252300  0.64492400  1
  O  O19  1  0.28998800  0.39559200  0.89560600  1
  O  O20  1  0.71170100  0.10575400  0.60576600  1
  O  O21  1  0.71253400  0.35757500  0.35528600  1
  O  O22  1  0.71256800  0.85530800  0.85759000  1
  O  O23  1  0.71181500  0.60569200  0.10568600  1
"
"True","mp-1276532","VReO4","Monoclinic","C2/m","12","12","0.011664188090279","-2.23022457541667","False","124.81295707179714","8.013028062728678","0.0","False","True","FM","2.7840125000000002","# generated using pymatgen
data_VReO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.72918024
_cell_length_b   5.47308729
_cell_length_c   5.47307252
_cell_angle_alpha   61.80695866
_cell_angle_beta   91.26384136
_cell_angle_gamma   91.26371095
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReO4
_chemical_formula_sum   'V2 Re2 O8'
_cell_volume   124.81295707
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.49267882  0.51303295  0.01302631  1
  V  V1  1  0.50731736  0.98697059  0.48697578  1
  Re  Re2  1  0.00000444  0.03012155  0.96987839  1
  Re  Re3  1  0.00000211  0.46987688  0.53011909  1
  O  O4  1  0.21919697  0.13164063  0.63164130  1
  O  O5  1  0.19074016  0.65516896  0.15516887  1
  O  O6  1  0.80927672  0.84482654  0.34482948  1
  O  O7  1  0.78079152  0.36836485  0.86836223  1
  O  O8  1  0.29882672  0.15503462  0.13674004  1
  O  O9  1  0.29882174  0.63673861  0.65502939  1
  O  O10  1  0.70117284  0.34501707  0.36320975  1
  O  O11  1  0.70117261  0.86320976  0.84501938  1
"
"True","mp-1276812","VReO4","Orthorhombic","Cmcm","63","24","0.015984601423618003","-2.225904162083331","False","251.33462981525702","7.958550943366647","0.0","False","True","FiM","0.1837731","# generated using pymatgen
data_VReO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.59697299
_cell_length_b   6.80402911
_cell_length_c   7.16564589
_cell_angle_alpha   90.00017184
_cell_angle_beta   67.07832596
_cell_angle_gamma   89.99997268
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReO4
_chemical_formula_sum   'V4 Re4 O16'
_cell_volume   251.33462982
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.00353385  0.00000439  0.49257242  1
  V  V1  1  0.74647388  0.49999655  0.00740520  1
  V  V2  1  0.25404514  0.49999703  0.99336963  1
  V  V3  1  0.49595220  0.00000429  0.50664312  1
  Re  Re4  1  0.77625201  0.50000070  0.50001891  1
  Re  Re5  1  0.52555872  -0.00000153  -0.00038142  1
  Re  Re6  1  0.22446466  0.50000276  0.50038362  1
  Re  Re7  1  0.97371958  -0.00000154  -0.00001994  1
  O  O8  1  0.25042270  0.80551594  0.99901702  1
  O  O9  1  0.00132163  0.27633578  0.49796419  1
  O  O10  1  0.74867543  0.77634513  0.00202527  1
  O  O11  1  0.49959012  0.30554962  0.50098172  1
  O  O12  1  0.25041961  0.19448418  0.99902313  1
  O  O13  1  0.00131804  0.72366112  0.49797015  1
  O  O14  1  0.74867200  0.22365777  0.00203124  1
  O  O15  1  0.49958886  0.69444719  0.50098600  1
  O  O16  1  0.60787005  0.49999688  0.79207095  1
  O  O17  1  0.36164395  0.99999822  0.29195822  1
  O  O18  1  0.09774665  0.49999699  0.79238472  1
  O  O19  1  0.84519237  -0.00000122  0.29233289  1
  O  O20  1  0.38838906  0.50000208  0.20798988  1
  O  O21  1  0.14210516  0.00000330  0.70797936  1
  O  O22  1  0.90482252  0.50000110  0.20762150  1
  O  O23  1  0.65222281  0.00000325  0.70767121  1
"
"True","mp-1278956","VReO4","Orthorhombic","Cmmm","65","12","0.050008380590282","-2.191880382916667","False","131.71290363809433","7.593255482063492","0.0","False","True","FM","3.9427635","# generated using pymatgen
data_VReO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.81241006
_cell_length_b   4.81241232
_cell_length_c   5.69031800
_cell_angle_alpha   89.99845787
_cell_angle_beta   90.00147670
_cell_angle_gamma   91.87934908
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReO4
_chemical_formula_sum   'V2 Re2 O8'
_cell_volume   131.71290364
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.49999800  0.50000200  0.75007100  1
  V  V1  1  0.49999900  0.50000100  0.24998200  1
  Re  Re2  1  0.00000300  0.99999700  0.97371700  1
  Re  Re3  1  0.99999900  0.00000100  0.52621900  1
  O  O4  1  0.19101100  0.80898900  0.24992400  1
  O  O5  1  0.22043100  0.77957000  0.75008300  1
  O  O6  1  0.80898700  0.19101300  0.24993500  1
  O  O7  1  0.77957000  0.22042900  0.75009800  1
  O  O8  1  0.28691900  0.28691600  0.99669100  1
  O  O9  1  0.28694200  0.28694300  0.50329300  1
  O  O10  1  0.71308500  0.71308100  0.99669200  1
  O  O11  1  0.71305800  0.71305800  0.50329400  1
"
"True","mp-1279065","VReO4","Orthorhombic","Immm","71","12","0.030567268090281003","-2.211321495416668","False","132.0554935047474","7.5735563971256195","0.0","False","True","AFM","0.165712","# generated using pymatgen
data_VReO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.59403854
_cell_length_b   5.59400483
_cell_length_c   5.59454486
_cell_angle_alpha   76.40000711
_cell_angle_beta   61.32152132
_cell_angle_gamma   106.55116002
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReO4
_chemical_formula_sum   'V2 Re2 O8'
_cell_volume   132.05549350
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.24994200  0.50006800  0.24998200  1
  V  V1  1  0.74994700  0.50018300  0.74987200  1
  Re  Re2  1  0.02663300  0.00005600  0.97336800  1
  Re  Re3  1  0.47384300  0.00006800  0.52607200  1
  O  O4  1  0.75018000  0.18918800  0.06059100  1
  O  O5  1  0.24962700  0.22046100  0.52985000  1
  O  O6  1  0.75023100  0.81065500  0.43914400  1
  O  O7  1  0.24972600  0.77948600  0.97083300  1
  O  O8  1  0.29400100  0.28701500  0.99303100  1
  O  O9  1  0.78046100  0.28750200  0.50707400  1
  O  O10  1  0.72000800  0.71293800  0.99306400  1
  O  O11  1  0.20540000  0.71237900  0.50712000  1
"
"True","mp-1284292","VReO4","Monoclinic","C2/m","12","24","0.024322149756949","-2.21756661375","False","262.5380194163762","7.618932525138688","0.0","False","True","FM","7.5936278999999995","# generated using pymatgen
data_VReO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.80203847
_cell_length_b   5.70887800
_cell_length_c   9.99710974
_cell_angle_alpha   73.41349459
_cell_angle_beta   91.66934365
_cell_angle_gamma   89.99812248
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReO4
_chemical_formula_sum   'V4 Re4 O16'
_cell_volume   262.53801942
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.50976400  0.13194400  0.23681600  1
  V  V1  1  0.50008100  0.87448600  0.75003700  1
  V  V2  1  0.50093800  0.37498200  0.74941900  1
  V  V3  1  0.48940000  0.61865200  0.26365300  1
  Re  Re4  1  0.00142700  0.77854300  0.49899100  1
  Re  Re5  1  0.99827600  0.52754700  0.00118500  1
  Re  Re6  1  0.00155000  0.22219100  0.49900100  1
  Re  Re7  1  0.99839400  0.97131200  0.00101100  1
  O  O8  1  0.19106500  0.29674200  0.90628100  1
  O  O9  1  0.22228100  0.05779800  0.38499000  1
  O  O10  1  0.21783300  0.80512700  0.88958100  1
  O  O11  1  0.18817500  0.54719600  0.40581500  1
  O  O12  1  0.81025300  0.45262300  0.59433900  1
  O  O13  1  0.81024300  0.20308100  0.09389900  1
  O  O14  1  0.78458300  0.94403300  0.61147900  1
  O  O15  1  0.77524300  0.69327700  0.11378800  1
  O  O16  1  0.29036000  0.68225000  0.64235000  1
  O  O17  1  0.28624500  0.43781400  0.14389400  1
  O  O18  1  0.29006800  0.17481900  0.64233200  1
  O  O19  1  0.28613700  0.91924300  0.14377100  1
  O  O20  1  0.71226700  0.57480900  0.85686100  1
  O  O21  1  0.71172400  0.31314500  0.35696000  1
  O  O22  1  0.71212100  0.06758500  0.85682200  1
  O  O23  1  0.71157200  0.83080000  0.35672500  1
"
