chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Cr-Mn-O,Cr,Mn,O,Mn13Cr3O32_775873_POSCAR,35,local_max_drop,10.2002050458,-0.29478250608686,-0.12905281969428095,-0.16572968639257907,7.933493,18.511483,0.01188984
Cr-Mn-O,Cr,Mn,O,Mn15CrO32_771190_POSCAR,35,local_max_drop,10.5107268185,-0.26941972871578,-0.12836013914904748,-0.14105958956673254,9.759961,18.393772,0.01230689
Cr-Mn-O,Cr,Mn,O,Mn2CrO4_34139_POSCAR,35,local_max_drop,7.9725653307,-0.15649948066648,-0.08767883137100754,-0.06882064929547246,7.086725,14.46873,0.01207457
Cr-Mn-O,Cr,Mn,O,Mn2CrO4_675077_POSCAR,35,local_max_drop,6.8722936698,-0.16280243394727,-0.08913039103375056,-0.07367204291351945,6.343656,12.95163,0.01323255
Cr-Mn-O,Cr,Mn,O,Mn2CrO4_765581_POSCAR,35,local_max_drop,7.7181473176,-0.31312547653219,-0.17535270942425715,-0.13777276710793282,6.860575,14.007008,0.02493963
Cr-Mn-O,Cr,Mn,O,Mn2CrO6_753734_POSCAR,35,local_max_drop,7.10770879,-0.11903291701273,-0.05094705726575225,-0.06808585974697776,5.330782,12.43849,0.00743383
Cr-Mn-O,Cr,Mn,O,Mn2CrO6_775006_POSCAR,35,global_gradient_fallback,8.5982889176,-0.054852736148118,-0.03391185892877018,-0.02094087721934782,7.324468,15.604302,0.00402854
Cr-Mn-O,Cr,Mn,O,Mn3Cr3O8_1221796_POSCAR,35,local_max_drop,6.8609592367,-0.16459735167607,-0.09595271128933032,-0.06864464038673969,6.333193,12.930269,0.0144404
Cr-Mn-O,Cr,Mn,O,Mn3Cr3O8_1290512_POSCAR,35,local_max_drop,8.1037146451,-0.31911727889252,-0.18296767904705716,-0.13614959984546285,7.203302,14.706741,0.02485832
Cr-Mn-O,Cr,Mn,O,Mn3Cr5O16_756938_POSCAR,35,local_max_drop,8.1540220962,-0.15929695675477,-0.0909056079548278,-0.06839134879994221,7.571592,14.269539,0.01246358
Cr-Mn-O,Cr,Mn,O,Mn3CrO8_756043_POSCAR,35,global_gradient_fallback,6.8253521873,-0.074959530846342,-0.04520089483135477,-0.02975863601498724,5.814189,12.38675,0.00675254
Cr-Mn-O,Cr,Mn,O,Mn3CrO8_756575_POSCAR,35,global_gradient_fallback,6.8470993587,-0.070657753802897,-0.04462135030021905,-0.026036403502677954,5.832714,12.426217,0.00661816
Cr-Mn-O,Cr,Mn,O,Mn3CrO8_772951_POSCAR,35,local_max_drop,11.5517738,-0.3051700356919,-0.13085824042334523,-0.17431179526855475,8.66383,20.215604,0.01157049
