chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Cr-V-O,Cr,V,O,V16CrO41_849774_POSCAR,35,local_max_drop,18.05722255,-0.15347817028551,-0.0826308489243466,-0.0708473213611634,16.89224,28.542061,0.00492769
Cr-V-O,Cr,V,O,V3CrO8_755402_POSCAR,35,global_gradient_fallback,8.8851272178,-0.049747717642091,-0.03884518619463372,-0.01090253144745728,7.353209,15.012801,0.00513891
Cr-V-O,Cr,V,O,VCr2O4_1306534_POSCAR,35,local_max_drop,7.1635404059,-0.14177235015494,-0.0839124461180598,-0.0578599040368802,6.632908,13.000499,0.01290677
Cr-V-O,Cr,V,O,VCr2O4_1314508_POSCAR,35,local_max_drop,7.1401527226,-0.15215562860894,-0.07684343466448153,-0.07531219394445847,6.611253,12.958055,0.01169269
Cr-V-O,Cr,V,O,VCr2O4_754077_POSCAR,35,local_max_drop,7.0808151982,-0.14914020574765,-0.07851523845345258,-0.07062496729419741,6.55631,12.850368,0.01206441
Cr-V-O,Cr,V,O,VCrO3_1101715_POSCAR,35,local_max_drop,6.7333181049,-0.20237858994969,-0.1034863285083648,-0.0988922614413252,6.252367,11.783307,0.01736403
Cr-V-O,Cr,V,O,VCrO3_1216392_POSCAR,35,local_max_drop,6.0984341158,-0.10947904944271,-0.05484259068631343,-0.05463645875639657,5.662832,10.67226,0.0102839
Cr-V-O,Cr,V,O,VCrO3_1337287_POSCAR,35,local_max_drop,7.6639046118,-0.14916284807392,-0.08292158223143967,-0.06624126584248033,6.897514,12.517711,0.01368748
Cr-V-O,Cr,V,O,VCrO3_1370790_POSCAR,35,local_max_drop,7.6458605533,-0.14719536204325,-0.08009800297203631,-0.0670973590712137,6.881274,12.488239,0.01309356
Cr-V-O,Cr,V,O,VCrO3_1373421_POSCAR,35,local_max_drop,7.690488932,-0.14958132240287,-0.08261445951643824,-0.06696686288643176,6.92144,12.561132,0.01356423
Cr-V-O,Cr,V,O,VCrO3_1374293_POSCAR,35,local_max_drop,7.6799321805,-0.15752719497556,-0.08078183671051788,-0.07674535826504213,6.911939,12.543889,0.01321291
Cr-V-O,Cr,V,O,VCrO3_1375284_POSCAR,35,local_max_drop,7.6771442026,-0.14961361238791,-0.08165032976427608,-0.06796328262363391,6.90943,12.539336,0.01336412
Cr-V-O,Cr,V,O,VCrO3_1376270_POSCAR,35,local_max_drop,7.6593927976,-0.15865148472176,-0.08047713566576763,-0.07817434905599237,6.893454,12.510342,0.01312999
Cr-V-O,Cr,V,O,VCrO3_753988_POSCAR,35,local_max_drop,7.0430863941,-0.19160237944595,-0.1015269687679332,-0.09007541067801679,6.540009,12.325401,0.01623113
Cr-V-O,Cr,V,O,VCrO3_754036_POSCAR,35,local_max_drop,6.7169928423,-0.19246660276584,-0.10087931911643731,-0.09158728364940268,6.237208,11.754737,0.01687439
Cr-V-O,Cr,V,O,VCrO3_755281_POSCAR,35,local_max_drop,6.7066267504,-0.1968773605499,-0.1024815344701679,-0.09439582607973208,6.227582,11.736597,0.01723253
Cr-V-O,Cr,V,O,VCrO3_757023_POSCAR,35,local_max_drop,7.0688572289,-0.20048187760932,-0.10514025307882165,-0.09534162453049834,6.563939,12.3705,0.01686109
Cr-V-O,Cr,V,O,VCrO3_770778_POSCAR,35,local_max_drop,6.7815481205,-0.20066937248442,-0.10540451158632061,-0.09526486089809938,6.297152,11.867709,0.01762781
Cr-V-O,Cr,V,O,VCrO3_770779_POSCAR,35,local_max_drop,6.7413730597,-0.20519573391464,-0.10400471662902376,-0.10119101728561623,6.259846,11.797403,0.01745226
Cr-V-O,Cr,V,O,VCrO3_770843_POSCAR,35,local_max_drop,7.0397874761,-0.1942862755971,-0.1016638428532722,-0.0926224327438278,6.536946,12.319628,0.01626126
Cr-V-O,Cr,V,O,VCrO3_770849_POSCAR,35,local_max_drop,6.7683038671,-0.19320917883649,-0.10169879811227066,-0.09151038072421934,6.284854,11.844532,0.01692063
Cr-V-O,Cr,V,O,VCrO3_770855_POSCAR,35,local_max_drop,7.2939049249,-0.1925091562371,-0.10355969502566752,-0.08894946121143248,6.772912,12.764334,0.01604073
