chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Cr-Y-O,Cr,Y,O,Y2Cr2O7_1939204_POSCAR,35,local_max_drop,8.6450610645,-0.19116388294544,-0.0970308421724425,-0.09413304077299751,7.718805,15.128857,0.01275981
Cr-Y-O,Cr,Y,O,Y2Cr2O7_2763860_POSCAR,35,local_max_drop,8.8201065509,-0.19765025406511,-0.09845455868156282,-0.09919569538354718,7.60354,14.902939,0.01359823
Cr-Y-O,Cr,Y,O,Y2Cr3O9_1365415_POSCAR,35,local_max_drop,7.3558004083,-0.53987528773536,-0.27050633975491095,-0.269368947980449,6.567679,12.872651,0.04223587
Cr-Y-O,Cr,Y,O,Y2Cr3O9_1396182_POSCAR,35,local_max_drop,5.285203,-0.13725272772693,-0.06418488968836138,-0.07306783803856863,3.963902,9.249105,0.01384435
Cr-Y-O,Cr,Y,O,Y2Cr3O9_1659341_POSCAR,35,local_max_drop,7.355818045,-0.53895314665771,-0.2705026539837653,-0.2684504926739447,6.567695,12.872682,0.04222924
Cr-Y-O,Cr,Y,O,YCr2O2_1208171_POSCAR,35,local_max_drop,7.8325062309,-0.27285702779416,-0.16033217586905188,-0.11252485192510811,6.928756,14.761262,0.02122205
Cr-Y-O,Cr,Y,O,YCr2O4_1388393_POSCAR,35,local_max_drop,7.1669590441,-0.14489403716823,-0.08601781378574092,-0.058876223382489073,6.615655,13.506961,0.01229423
Cr-Y-O,Cr,Y,O,YCr2O4_1388764_POSCAR,35,local_max_drop,6.980069708,-0.1655297246148,-0.09108307053431666,-0.07444665408048334,6.204506,12.667534,0.01440356
Cr-Y-O,Cr,Y,O,YCr3O6_1045038_POSCAR,35,local_max_drop,8.3659803075,-0.33857631457401,-0.1962895597000031,-0.14228675487400688,7.746278,15.182705,0.02524909
Cr-Y-O,Cr,Y,O,YCrO2_1207648_POSCAR,35,local_max_drop,8.0656933705,-0.20482619367851,-0.09618126854879802,-0.10864492512971197,6.675057,13.628241,0.01496886
Cr-Y-O,Cr,Y,O,YCrO3_1336975_POSCAR,35,local_max_drop,8.826045252,-0.26727906501672,-0.12778836992830828,-0.13949069508841172,7.60866,14.912973,0.01783193
Cr-Y-O,Cr,Y,O,YCrO3_18725_POSCAR,35,local_max_drop,7.3436102039,-0.24929582570175,-0.11113512586079427,-0.13816069984095572,5.769979,12.851318,0.01727795
