chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Cu-Mn-O,Cu,Mn,O,Mn11Cu7O24_760128_POSCAR,35,local_max_drop,8.198099311,-0.31414676566556,-0.18296824053575944,-0.13117852512980055,7.590833,14.878032,0.02373302
Cu-Mn-O,Cu,Mn,O,Mn11Cu7O24_765492_POSCAR,35,local_max_drop,7.9057663524,-0.31192494513743,-0.1832574232996099,-0.12866752183782013,7.320154,14.347502,0.02469747
Cu-Mn-O,Cu,Mn,O,Mn13Cu11O32_759736_POSCAR,35,local_max_drop,8.0921894764,-0.40223368600817,-0.24323200523654953,-0.15900168077162047,7.492768,14.685825,0.03207291
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_1274535_POSCAR,35,global_gradient_fallback,6.6540224714,-0.10758882158617,-0.06562338134617421,-0.041965440239995794,5.886251,12.540273,0.00972454
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_1275201_POSCAR,35,global_gradient_fallback,6.6921108404,-0.10681853809665,-0.06525817538483585,-0.04156036271181415,5.919944,12.612055,0.00962277
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_1292782_POSCAR,35,global_gradient_fallback,6.7213123249,-0.091704608214839,-0.06415479879680941,-0.02754980941802959,6.204288,12.667089,0.00927447
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_2234128_POSCAR,35,global_gradient_fallback,6.6701969352,-0.10561505927407,-0.0628152433918904,-0.0427998158821796,6.157105,12.570756,0.00919375
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_34237_POSCAR,35,local_max_drop,7.936691219,-0.31980107490863,-0.18778504080773134,-0.13201603410089868,7.326177,14.95761,0.02332663
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_34563_POSCAR,35,global_gradient_fallback,6.5964839277,-0.087860244789477,-0.06970866482854185,-0.018151579960935152,6.068765,12.929108,0.00981356
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_36921_POSCAR,35,global_gradient_fallback,6.7981636318,-0.11025915582452,-0.06616996709679174,-0.04408918872772827,6.01376,12.811924,0.00968555
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_505421_POSCAR,35,global_gradient_fallback,6.7810815504,-0.11267770429921,-0.06548459622743862,-0.04719310807177138,5.998649,12.779731,0.00955164
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_530196_POSCAR,35,local_max_drop,6.8617281683,-0.44163207928098,-0.2597874280553082,-0.18184465122567184,6.353452,12.452766,0.03974349
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_675296_POSCAR,35,global_gradient_fallback,6.4979658354,-0.088189906113809,-0.0651591905148157,-0.023030715598993307,5.458291,12.736013,0.00921643
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_685330_POSCAR,35,local_max_drop,7.876766521,-0.33643523714808,-0.18770883765666774,-0.14872639949141225,7.270861,14.844675,0.02355524
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_698748_POSCAR,35,local_max_drop,8.2727912313,-0.63313036815374,-0.366949789347123,-0.266180578806617,7.353592,15.013584,0.04757634
Cu-Mn-O,Cu,Mn,O,Mn2CuO4_705869_POSCAR,35,local_max_drop,7.7617155734,-0.54104936027768,-0.31540813320413136,-0.22564122707354867,7.164661,14.627849,0.04004144
Cu-Mn-O,Cu,Mn,O,Mn3Cu3O8_21784_POSCAR,35,local_max_drop,11.4135102,-0.39228625548471,-0.24749368107792802,-0.144792574406782,10.568065,20.713407,0.02324103
Cu-Mn-O,Cu,Mn,O,Mn3CuO8_756513_POSCAR,35,global_gradient_fallback,6.8265699953,-0.054726390191517,-0.03167914155870015,-0.023047248632816854,6.068062,12.38896,0.00446714
Cu-Mn-O,Cu,Mn,O,Mn3CuO8_756525_POSCAR,35,global_gradient_fallback,6.8434632528,-0.05427925222959,-0.03163566941463215,-0.022643582814957847,6.083078,12.419618,0.00445147
Cu-Mn-O,Cu,Mn,O,Mn3_CuO4_2_504567_POSCAR,35,global_gradient_fallback,7.5148907341,-0.07452121981549,-0.04908184791083827,-0.025439371904651724,6.679903,13.638135,0.0067823
Cu-Mn-O,Cu,Mn,O,Mn5CuO12_756191_POSCAR,35,global_gradient_fallback,6.8431180099,-0.084245689257895,-0.04651058854838685,-0.03773510070950815,6.082772,12.418992,0.00643624
Cu-Mn-O,Cu,Mn,O,Mn8Cu7O20_532104_POSCAR,35,local_max_drop,6.8868050246,-0.49581830011707,-0.3173444972559403,-0.17847380286112968,6.376671,12.498276,0.0490532
Cu-Mn-O,Cu,Mn,O,Mn9_Cu3O10_2_685488_POSCAR,35,local_max_drop,8.058414614,-0.51728026622746,-0.30292572763505504,-0.214354538592405,7.163035,14.62453,0.04017993
Cu-Mn-O,Cu,Mn,O,MnCuO2_510589_POSCAR,35,global_gradient_fallback,3.760596216,-0.026888319366247,-0.02090070470443592,-0.00598761466181108,3.326681,7.087277,0.00552844
Cu-Mn-O,Cu,Mn,O,MnCuO3_1176440_POSCAR,35,global_gradient_fallback,5.7959171988,-0.047100244782413,-0.04367963468902449,-0.0034206100933885097,5.350077,10.923075,0.00740832
