chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-Ni-O,Fe,Ni,O,Fe11_NiO3_8_36806_POSCAR,35,local_max_drop,7.7237753104,-0.35736292856419,-0.21588043836239582,-0.14148249020179418,6.83257,14.556346,0.02814733
Fe-Ni-O,Fe,Ni,O,Fe13_NiO10_2_757258_POSCAR,35,local_max_drop,7.8235794582,-0.52157983864193,-0.32785611321898217,-0.19372372542294786,6.920859,14.744438,0.04263198
Fe-Ni-O,Fe,Ni,O,Fe14Ni11O32_1365499_POSCAR,35,local_max_drop,7.9099801223,-0.41822134422635,-0.25169266317777955,-0.16652868104857044,7.031093,14.355149,0.03389808
Fe-Ni-O,Fe,Ni,O,Fe14Ni11O32_685456_POSCAR,35,local_max_drop,7.6170196834,-0.4612113863198,-0.277885761641107,-0.183325624678693,6.738133,14.355152,0.03653413
Fe-Ni-O,Fe,Ni,O,Fe21Ni9O40_698680_POSCAR,35,local_max_drop,12.8845812126,-0.53984397628007,-0.3353816394628428,-0.2044623368172272,11.853815,25.253779,0.02437418
Fe-Ni-O,Fe,Ni,O,Fe2NiO4_1326188_POSCAR,35,local_max_drop,7.7774225166,-0.51065906762903,-0.33302839758245745,-0.17763067004657257,7.179159,14.65745,0.04304391
Fe-Ni-O,Fe,Ni,O,Fe2NiO4_22684_POSCAR,35,global_gradient_fallback,6.4911646577,-0.10703493365354,-0.06799547872008417,-0.03903945493345583,5.971871,12.722683,0.00977222
Fe-Ni-O,Fe,Ni,O,Fe2NiO4_35596_POSCAR,35,global_gradient_fallback,6.3590498578,-0.089638453710896,-0.07178674873373757,-0.017851704977158434,5.850326,12.463738,0.0104462
Fe-Ni-O,Fe,Ni,O,Fe2NiO4_530214_POSCAR,35,local_max_drop,7.6954943605,-0.44351543469639,-0.26511505443446914,-0.17840038026192084,6.807553,14.503047,0.03479508
Fe-Ni-O,Fe,Ni,O,Fe2NiO4_699378_POSCAR,35,local_max_drop,6.7359854806,-0.55929939487064,-0.3332885944897904,-0.22601080038084953,5.958756,12.694742,0.04991298
Fe-Ni-O,Fe,Ni,O,Fe5NiO8_1225019_POSCAR,35,global_gradient_fallback,6.529756636,-0.10004982075375,-0.06852324741440637,-0.03152657333934364,6.007376,12.798323,0.00985935
Fe-Ni-O,Fe,Ni,O,Fe7_Ni3O8_2_754651_POSCAR,35,local_max_drop,7.4833470986,-0.27134345285062,-0.14708974299700775,-0.12425370985361225,6.619884,14.103231,0.01975465
Fe-Ni-O,Fe,Ni,O,Fe_NiO2_2_1279232_POSCAR,35,global_gradient_fallback,7.3445874497,-0.11428139502128,-0.07089506812724389,-0.04338632689403611,6.75702,14.395391,0.00892841
Fe-Ni-O,Fe,Ni,O,Fe_NiO2_2_1282693_POSCAR,35,global_gradient_fallback,7.3563974103,-0.11444838255629,-0.07109612348559809,-0.043352259070691915,6.767886,14.418539,0.00893016
Fe-Ni-O,Fe,Ni,O,Fe_NiO2_2_640147_POSCAR,35,local_max_drop,6.5200766237,-0.12717665850901,-0.06730845327085569,-0.05986820523815431,6.018532,12.287837,0.01010003
