chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Fe-Y-O,Fe,Y,O,Y2Fe2O7_1379819_POSCAR,35,local_max_drop,8.8572862233,-0.15676737029176,-0.07467045001302725,-0.08209692027873275,7.635592,14.965759,0.00999549
Fe-Y-O,Fe,Y,O,Y3Fe5O12_4704_POSCAR,35,local_max_drop,14.3572278715,-0.58926135432374,-0.3007311049843609,-0.28853024933937915,12.306195,25.125149,0.02398757
Fe-Y-O,Fe,Y,O,Y6Fe16O_504492_POSCAR,35,local_max_drop,10.428754268,-0.54247169717843,-0.1484988145216437,-0.3939728826567863,7.725003,18.926258,0.01446274
Fe-Y-O,Fe,Y,O,YFeO3_1275986_POSCAR,35,local_max_drop,5.1382557714,-0.14514029409778,-0.06980660337836021,-0.0753336907194198,4.429531,8.68188,0.016307
Fe-Y-O,Fe,Y,O,YFeO3_1376289_POSCAR,35,local_max_drop,8.84512064,-0.22020269323999,-0.1025456824652995,-0.1176570107746905,7.625104,14.945204,0.01381598
Fe-Y-O,Fe,Y,O,YFeO3_1416093_POSCAR,35,global_gradient_fallback,5.0481886,-0.049465009253877,-0.0330741057991053,-0.016390903454771698,4.659866,9.513894,0.00673699
Fe-Y-O,Fe,Y,O,YFeO3_20783_POSCAR,35,local_max_drop,7.4027887228,-0.18358681435794,-0.07831482233641684,-0.10527199202152315,6.609633,12.95488,0.01170087
Fe-Y-O,Fe,Y,O,Y_FeO2_2_1279116_POSCAR,35,global_gradient_fallback,4.3919072373,-0.07552927875904,-0.06588542278016596,-0.009643855978874044,3.864878,8.608138,0.01387599
Fe-Y-O,Fe,Y,O,Y_FeO2_2_1280748_POSCAR,35,global_gradient_fallback,4.3857411298,-0.077362125656914,-0.06289483885121983,-0.014467286805694174,4.034882,8.596053,0.01317566
Fe-Y-O,Fe,Y,O,Y_FeO2_2_1293833_POSCAR,35,global_gradient_fallback,4.4021067841,-0.077446900496329,-0.06284191816245738,-0.014604982333871627,4.049938,8.628129,0.01311207
Fe-Y-O,Fe,Y,O,Y_FeO2_2_1299640_POSCAR,35,global_gradient_fallback,4.382181059,-0.078088262836805,-0.06597543257896002,-0.012112830257844986,3.856319,8.589075,0.013918
Fe-Y-O,Fe,Y,O,Y_FeO2_2_1405822_POSCAR,35,global_gradient_fallback,6.4421688089,-0.087469622390767,-0.06691509036710003,-0.02055453202366697,5.926795,12.626651,0.00954819
Fe-Y-O,Fe,Y,O,Y_FeO2_2_1408959_POSCAR,35,global_gradient_fallback,6.8570480067,-0.091950888391292,-0.06754794376820011,-0.02440294462309188,6.308484,13.439814,0.00917147
Fe-Y-O,Fe,Y,O,Y_FeO2_2_19171_POSCAR,35,global_gradient_fallback,4.3717082556,-0.075835713302774,-0.06479804830809958,-0.011037664994674415,4.021972,8.568548,0.01349775
Fe-Y-O,Fe,Y,O,Y_FeO2_2_557783_POSCAR,35,local_max_drop,4.6074662593,-0.14320153151174,-0.08627889198691022,-0.05692263952482979,4.253046,8.683302,0.0184303
Fe-Y-O,Fe,Y,O,Y_FeO2_3_1045059_POSCAR,35,local_max_drop,8.152466218,-0.24587198332323,-0.15563601731148197,-0.09023596601174802,7.525353,15.364263,0.01890138
