chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Mn-Ti-O,Mn,Ti,O,Ti2MnO4_1286093_POSCAR,35,local_max_drop,8.1930097918,-0.27319093827427,-0.11674042445660077,-0.15645051381766922,7.02258,14.337767,0.01537921
Mn-Ti-O,Mn,Ti,O,Ti2MnO4_561097_POSCAR,35,local_max_drop,7.4209940023,-0.13693421166015,-0.058210993255905355,-0.07872321840424464,6.360852,12.98674,0.00846381
Mn-Ti-O,Mn,Ti,O,Ti3Mn3O_504732_POSCAR,35,local_max_drop,9.8319117721,-0.74469269681523,-0.1963930463911314,-0.5482996504240986,8.739477,17.843099,0.01872949
Mn-Ti-O,Mn,Ti,O,Ti3Mn5O16_1101292_POSCAR,35,local_max_drop,8.5030172242,-0.13013345348851,-0.06131546148546642,-0.06881799200304357,7.623395,14.367167,0.00765377
Mn-Ti-O,Mn,Ti,O,Ti3MnO8_782664_POSCAR,35,local_max_drop,8.6091444499,-0.14004461368628,-0.05826130641302129,-0.08178330727325869,7.718543,14.546485,0.00683493
Mn-Ti-O,Mn,Ti,O,Ti4Mn2O_1217173_POSCAR,35,local_max_drop,10.1929977382,-0.72810450387778,-0.19136517672646206,-0.536739327151318,9.100891,17.837746,0.01828976
Mn-Ti-O,Mn,Ti,O,Ti5Mn3O16_776100_POSCAR,35,local_max_drop,8.4956920971,-0.13802314286939,-0.059771228615279275,-0.07825191425411071,7.616827,14.35479,0.00727951
Mn-Ti-O,Mn,Ti,O,TiMn2O4_530557_POSCAR,35,local_max_drop,7.5346674022,-0.55448415101709,-0.30725181542036567,-0.24723233559672436,6.458286,13.185668,0.04598623
Mn-Ti-O,Mn,Ti,O,TiMn2O4_540763_POSCAR,35,local_max_drop,7.6852577,-0.22787430021057,-0.13551521612058892,-0.09235908408998109,7.377847,15.063105,0.01571533
Mn-Ti-O,Mn,Ti,O,TiMn2O6_1101349_POSCAR,35,global_gradient_fallback,6.8888333925,-0.066068985617923,-0.0453173019708502,-0.020751683647072798,6.123407,12.501957,0.00586614
Mn-Ti-O,Mn,Ti,O,TiMn2O6_775831_POSCAR,35,global_gradient_fallback,8.6338410892,-0.035533565505875,-0.023305053803390856,-0.012228511702484141,7.674525,15.668823,0.00243584
Mn-Ti-O,Mn,Ti,O,TiMn3O8_755307_POSCAR,35,local_max_drop,8.390552339,-0.1284896118228,-0.06262265317413465,-0.06586695864866535,7.522564,14.17714,0.00806152
Mn-Ti-O,Mn,Ti,O,TiMn3O8_756589_POSCAR,35,local_max_drop,8.429785656,-0.12456133519923,-0.05504604895397631,-0.06951528624525369,7.557739,14.243431,0.00664182
Mn-Ti-O,Mn,Ti,O,TiMn3O8_756808_POSCAR,35,global_gradient_fallback,6.9171349915,-0.048203268650139,-0.029849173609901254,-0.018354095040237745,6.148564,12.553319,0.00386642
Mn-Ti-O,Mn,Ti,O,TiMn3O8_774302_POSCAR,35,local_max_drop,11.99948805,-0.24869434832442,-0.1098450341163203,-0.1388493142080997,10.758162,20.274997,0.00930714
Mn-Ti-O,Mn,Ti,O,TiMn4O10_777945_POSCAR,35,local_max_drop,8.4175615485,-0.30678428532459,-0.13890879062552172,-0.1678754946990683,7.546779,14.222776,0.01693206
Mn-Ti-O,Mn,Ti,O,TiMn5O12_757064_POSCAR,35,global_gradient_fallback,6.8617999504,-0.077760591219854,-0.04575203995582422,-0.03200855126402978,6.099378,12.452896,0.00603798
Mn-Ti-O,Mn,Ti,O,TiMn9O20_771265_POSCAR,35,local_max_drop,8.0962326928,-0.30722539105248,-0.14691680152309883,-0.16030858952938115,7.51793,14.168407,0.0176084
Mn-Ti-O,Mn,Ti,O,TiMn9O20_803475_POSCAR,35,local_max_drop,9.0011608019,-0.21924264265887,-0.11710060026209704,-0.10214204239677296,8.130081,14.227641,0.01444433
Mn-Ti-O,Mn,Ti,O,TiMnO3_556925_POSCAR,35,local_max_drop,7.5485521,-0.16521815168214,-0.0842105989152351,-0.0810075527669049,5.986783,12.75445,0.01345349
Mn-Ti-O,Mn,Ti,O,TiMnO3_697089_POSCAR,35,global_gradient_fallback,7.9090241383,-0.052296624831348,-0.04622321773216338,-0.006073407099184615,6.496698,13.840792,0.00608699
Mn-Ti-O,Mn,Ti,O,TiMnO4_775296_POSCAR,35,global_gradient_fallback,5.29541124,-0.043304826443198,-0.034928168178644366,-0.008376658264553631,4.538924,9.26697,0.00679468
