chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Mn-V-O,Mn,V,O,Mn2VO4_531351_POSCAR,35,local_max_drop,6.5954384421,-0.44215027901066,-0.25716724150250986,-0.18498303750815015,6.067803,12.927059,0.03497297
Mn-V-O,Mn,V,O,Mn2VO4_531591_POSCAR,35,local_max_drop,6.690615161,-0.55353756508025,-0.3224542101234071,-0.2310833549568429,6.155366,13.113606,0.04327736
Mn-V-O,Mn,V,O,Mn2VO4_531700_POSCAR,35,local_max_drop,6.7313489604,-0.44254361576553,-0.25746165567062984,-0.18508196009490013,6.192841,13.193444,0.03430225
Mn-V-O,Mn,V,O,Mn2VO4_763551_POSCAR,35,global_gradient_fallback,6.6643236021,-0.10890325279484,-0.06474790506043554,-0.044155347734404465,6.131178,13.062074,0.00874978
Mn-V-O,Mn,V,O,Mn3V2O8_1221916_POSCAR,35,local_max_drop,8.248113965,-0.22984085964883,-0.16270959167497218,-0.06713126797385782,7.588265,16.166303,0.01763046
Mn-V-O,Mn,V,O,Mn3V2O8_17899_POSCAR,35,local_max_drop,7.69234355,-0.16200964321564,-0.10773719938699394,-0.054272443828646044,7.38465,15.076993,0.01244888
Mn-V-O,Mn,V,O,Mn3VO8_756398_POSCAR,35,global_gradient_fallback,6.8652345063,-0.046693734600834,-0.029891438808142767,-0.016802295792691234,6.102431,12.459129,0.00390703
Mn-V-O,Mn,V,O,Mn3VO8_771315_POSCAR,35,local_max_drop,8.3971122695,-0.12440547957649,-0.06261378663643416,-0.061791692940055834,7.528445,14.188224,0.00809646
Mn-V-O,Mn,V,O,Mn4V4O13_531419_POSCAR,35,local_max_drop,8.322944419,-0.4414395095142,-0.3216675791329915,-0.11977193038120854,7.976155,16.992678,0.03199461
Mn-V-O,Mn,V,O,Mn5V4O12_1221657_POSCAR,35,local_max_drop,8.311887113,-0.35687009841647,-0.16954114045761262,-0.18732895795885737,7.124475,14.545802,0.02221328
Mn-V-O,Mn,V,O,Mn5VO12_1176451_POSCAR,35,global_gradient_fallback,6.886731201,-0.080158730892905,-0.04634964056523765,-0.033809090327667345,6.121539,12.498142,0.00616069
Mn-V-O,Mn,V,O,Mn5VO8_1193782_POSCAR,35,local_max_drop,13.0962558716,-0.24246693145265,-0.11312402074449142,-0.12934291070815856,10.074043,24.681405,0.00818845
Mn-V-O,Mn,V,O,Mn5VO8_1194191_POSCAR,35,local_max_drop,6.9348453847,-0.24176844508592,-0.12476080148869333,-0.11700764359722667,6.134671,13.069516,0.01736293
Mn-V-O,Mn,V,O,Mn7V5O16_531842_POSCAR,35,local_max_drop,6.8597878327,-0.47597718466426,-0.22573067784133913,-0.2502465068229208,5.879818,12.004629,0.03612479
Mn-V-O,Mn,V,O,Mn7V5O16_532522_POSCAR,35,local_max_drop,7.0261589971,-0.44217411935454,-0.23025058606546284,-0.21192353328907715,5.771488,12.295778,0.03652549
Mn-V-O,Mn,V,O,MnV2O4_35475_POSCAR,35,local_max_drop,7.4600937002,-0.12104475091128,-0.057088229920972774,-0.06395652099030723,6.394366,13.055164,0.00846566
Mn-V-O,Mn,V,O,MnV2O4_531268_POSCAR,35,local_max_drop,7.3519513494,-0.49602757763825,-0.22251544782708527,-0.27351212981116474,6.301673,12.865915,0.03282163
Mn-V-O,Mn,V,O,MnV2O4_754298_POSCAR,35,local_max_drop,4.2091616,-0.27976680029986,-0.11940164591733363,-0.16036515438252638,3.457526,7.366033,0.03119793
Mn-V-O,Mn,V,O,MnV2O4_819330_POSCAR,35,global_gradient_fallback,8.2886267362,-0.067914273617097,-0.052093818610668266,-0.01582045500642873,7.060682,15.042323,0.00592055
Mn-V-O,Mn,V,O,MnV3O8_756087_POSCAR,35,global_gradient_fallback,8.7995208436,-0.042912380511041,-0.033468243054289235,-0.009444137456751767,6.97893,14.868156,0.00430603
Mn-V-O,Mn,V,O,MnV8O24_1211891_POSCAR,35,local_max_drop,12.4363785,-0.14666942646956,-0.07798626608793711,-0.06868316038162288,11.634032,19.657501,0.00633934
Mn-V-O,Mn,V,O,MnVO3_1106224_POSCAR,35,local_max_drop,7.5275464136,-0.15392443736627,-0.08017290398609396,-0.07375153338017605,5.970123,12.718958,0.01283527
