chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Ti-V-O,Ti,V,O,Ti15VO24_765586_POSCAR,35,local_max_drop,7.9087163252,-0.36988029267351,-0.12630363715018508,-0.24357665552332494,7.363288,13.363003,0.01591438
Ti-V-O,Ti,V,O,Ti3V2O9_1179324_POSCAR,35,local_max_drop,13.8180426429,-0.15293116033952,-0.07161431765458277,-0.08131684268493723,12.38859,23.347727,0.00553853
Ti-V-O,Ti,V,O,Ti3V2O9_698211_POSCAR,35,local_max_drop,15.2670792852,-0.13948013903616,-0.06258617633085034,-0.07689396270530965,14.214177,25.796099,0.00425083
Ti-V-O,Ti,V,O,Ti3V5O16_2215221_POSCAR,35,local_max_drop,8.547571782,-0.13382559618484,-0.054137125748833365,-0.07968847043600663,7.958084,14.442449,0.00626302
Ti-V-O,Ti,V,O,Ti3V5O16_776195_POSCAR,35,local_max_drop,8.5661730363,-0.13683476188045,-0.05434623462756209,-0.0824885272528879,7.975402,14.473879,0.00624398
Ti-V-O,Ti,V,O,Ti3VO8_756455_POSCAR,35,local_max_drop,8.6282377455,-0.14297782116672,-0.05425722382465219,-0.08872059734206782,8.033187,14.578747,0.00609474
Ti-V-O,Ti,V,O,Ti4VO8_768727_POSCAR,35,local_max_drop,7.4159454203,-0.10944093269243,-0.036062035058708794,-0.07337889763372121,6.648779,12.530391,0.00467216
Ti-V-O,Ti,V,O,TiV15O24_760220_POSCAR,35,local_max_drop,7.7521218145,-0.33559612988821,-0.13536887779310247,-0.20022725209510756,7.198399,13.566213,0.01787186
Ti-V-O,Ti,V,O,TiV3O8_1301440_POSCAR,35,local_max_drop,5.4332039769,-0.10900974549312,-0.04838049369542585,-0.06062925179769414,5.07099,8.874233,0.00955313
Ti-V-O,Ti,V,O,TiV3O8_1314855_POSCAR,35,local_max_drop,5.5914172076,-0.10897081037789,-0.048273245634243504,-0.060697564743646494,5.218656,9.132648,0.00925246
Ti-V-O,Ti,V,O,TiV3O8_1317675_POSCAR,35,local_max_drop,5.5642013693,-0.10904014577752,-0.048651921901904836,-0.06038822387561516,5.193255,9.088196,0.00940367
Ti-V-O,Ti,V,O,TiVO3_1216763_POSCAR,35,local_max_drop,6.3334166101,-0.088170129133215,-0.03387788210700214,-0.05429224702621285,5.678236,10.70129,0.00569642
Ti-V-O,Ti,V,O,TiVO3_753428_POSCAR,35,local_max_drop,7.4684140639,-0.16974772778405,-0.0660062108688255,-0.10374151691522451,6.69582,12.619044,0.00958462
Ti-V-O,Ti,V,O,TiVO4_1191211_POSCAR,35,local_max_drop,6.8303714495,-0.13582466095201,-0.058172019122776676,-0.07765264182923334,6.359311,11.540972,0.0087965
Ti-V-O,Ti,V,O,TiVO4_1272170_POSCAR,35,local_max_drop,5.6140288856,-0.12428395476827,-0.051853989390020096,-0.07242996537824992,5.226854,9.485773,0.00916927
Ti-V-O,Ti,V,O,TiVO4_1274758_POSCAR,35,local_max_drop,7.5554777226,-0.12590772399193,-0.05219320263937004,-0.07371452135255997,7.03441,12.766152,0.00686597
Ti-V-O,Ti,V,O,TiVO4_1275288_POSCAR,35,local_max_drop,5.6106202995,-0.12438735068319,-0.05191724578885636,-0.07247010489433364,5.223681,9.480014,0.00918853
Ti-V-O,Ti,V,O,TiVO4_1276433_POSCAR,35,local_max_drop,7.7839580786,-0.12570035823364,-0.052212326443416224,-0.07348803179022378,7.247133,13.152205,0.00667235
Ti-V-O,Ti,V,O,TiVO4_1279004_POSCAR,35,local_max_drop,7.7987052834,-0.11648858845032,-0.0524586499848992,-0.0640299384654208,7.260864,13.177123,0.00670373
Ti-V-O,Ti,V,O,TiVO4_1280499_POSCAR,35,local_max_drop,5.4011373289,-0.12420304170288,-0.053431135730910385,-0.07077190597196961,5.214891,9.12606,0.00994925
Ti-V-O,Ti,V,O,TiVO4_690490_POSCAR,35,local_max_drop,4.35485315,-0.1483459528536,-0.06231370501292108,-0.08603224784067892,4.054518,7.3582,0.01509999
Ti-V-O,Ti,V,O,TiVO4_761341_POSCAR,35,local_max_drop,7.928195057,-0.1477618754715,-0.062308577178834465,-0.08545329829266553,7.381423,13.395916,0.0082879
