chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
V-Y-O,V,Y,O,Y2V2O7_642779_POSCAR,35,local_max_drop,9.0197996172,-0.18286373283177,-0.07418275064028189,-0.1086809821914881,7.775689,15.240351,0.00954923
V-Y-O,V,Y,O,Y2V2O7_642787_POSCAR,35,local_max_drop,8.8856841012,-0.1913763680557,-0.07443842559475876,-0.11693794246094123,7.660073,15.013742,0.0094166
V-Y-O,V,Y,O,Y2V2O7_754039_POSCAR,35,global_gradient_fallback,8.1218995602,-0.044153180150899,-0.035804128010389895,-0.008349052140509107,7.831832,14.213324,0.0048123
V-Y-O,V,Y,O,Y2V3O9_1331382_POSCAR,35,local_max_drop,7.66319345,-0.43166497315599,-0.16450765163087186,-0.2671573215251182,6.606201,12.948154,0.0232112
V-Y-O,V,Y,O,Y2VO5_1201610_POSCAR,35,local_max_drop,11.0213416388,-0.20480841855386,-0.08424056255793878,-0.12056785599592122,9.184451,18.001525,0.00922652
V-Y-O,V,Y,O,Y4V6O21_1324086_POSCAR,35,local_max_drop,10.7454730405,-0.32185231834271,-0.16212650833792053,-0.15972581000478947,8.954561,17.550939,0.01816896
V-Y-O,V,Y,O,Y4V6O21_1328478_POSCAR,35,local_max_drop,11.986756199,-0.26526762443383,-0.14436315094371757,-0.12090447349011244,9.988963,19.578368,0.01433003
V-Y-O,V,Y,O,YV2O2_1208032_POSCAR,35,local_max_drop,10.7215933615,-0.22217613869773,-0.06895188522766106,-0.15322425347006896,9.242753,18.115796,0.0068957
V-Y-O,V,Y,O,YV2O4_1045499_POSCAR,35,local_max_drop,8.1468240551,-0.12671029100509,-0.04756834562104526,-0.07914194538404473,7.023124,13.765323,0.0066324
V-Y-O,V,Y,O,YV2O4_1389822_POSCAR,35,local_max_drop,7.2940365913,-0.16027803413168,-0.05501695318471004,-0.10526108094696995,6.252031,12.764564,0.00808124
V-Y-O,V,Y,O,YV2O4_1411320_POSCAR,35,local_max_drop,7.404459078,-0.13014892617153,-0.056217939221455286,-0.07393098695007472,6.855981,13.437722,0.00764803
V-Y-O,V,Y,O,YV3O6_1044996_POSCAR,35,local_max_drop,9.1283900155,-0.31085138766775,-0.12527347933597763,-0.18557790833177237,7.869302,15.423831,0.01537762
V-Y-O,V,Y,O,YV3O9_1350084_POSCAR,35,local_max_drop,7.96307075,-0.20116066732458,-0.10934815104028828,-0.09181251628429171,6.421831,12.586789,0.01698169
V-Y-O,V,Y,O,YVO2_1207729_POSCAR,35,local_max_drop,8.1412654501,-0.19664836404525,-0.06371274580569107,-0.1329356182395589,7.018332,13.755931,0.00879248
V-Y-O,V,Y,O,YVO3_1375509_POSCAR,35,local_max_drop,8.9126573625,-0.26343666760331,-0.09894505450327218,-0.16449161310003785,7.683325,15.059318,0.01270945
V-Y-O,V,Y,O,YVO3_18883_POSCAR,35,local_max_drop,7.6478692528,-0.21938262404387,-0.07346746084871668,-0.1459151631951533,6.592991,12.922262,0.01055761
