source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
Cd2S_1120762,0.0000000000,read,real,scaling,value,N/A
