source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728,0.0000000000,read,real,scaling,value,N/A
Co2S3_1183728_POSCAR,3.7433074247,12.4359,15.8776,118.2863,125.8109,-2.4041173638274E-01
Co2S3_1183728_POSCAR,4.4919689096,7.2819,7.9443,118.2863,125.8109,-1.3886187866087E-01
Co2S3_1183728_POSCAR,3.9928612530,9.9286,13.0951,118.2863,125.8109,-1.9699412001942E-01
Co2S3_1183728_POSCAR,4.2424150813,8.3100,10.3331,118.2863,125.8109,-1.6485267459751E-01
Co2S3_1183728_POSCAR,4.7415227379,6.6306,6.2148,118.2863,125.8109,-1.1685591183566E-01
Co2S3_1183728_POSCAR,4.9910765662,6.1518,5.0924,118.2863,125.8109,-9.8687913699916E-02
Co2S3_1183728_POSCAR,5.2406303946,5.6459,4.3102,118.2866,125.8109,-8.4404327934952E-02
Co2S3_1183728_POSCAR,5.4901842229,4.9539,3.6111,148.0657,125.8109,-8.0589352084576E-02
Co2S3_1183728_POSCAR,5.9892918795,3.0033,2.1121,148.1139,125.8476,-6.2135343572868E-02
Co2S3_1183728_POSCAR,6.2388457078,2.0701,1.4495,183.2436,128.8321,-6.0952676625350E-02
Co2S3_1183728_POSCAR,6.4883995361,1.3569,0.9500,186.7960,131.0080,-5.5225796375288E-02
Co2S3_1183728_POSCAR,5.7397380512,4.0318,2.8685,148.0657,125.8110,-7.0601410068554E-02
Co2S3_1183728_POSCAR,6.9875071927,0.5577,0.3931,525.5166,133.0883,-7.6727849054515E-02
Co2S3_1183728_POSCAR,6.7379533644,0.8702,0.6108,318.1721,131.8573,-6.3895082654736E-02
