source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521,0.0000000000,read,real,scaling,value,N/A
Cr19O48_780521_POSCAR,4.0065918977,8.9895,2.2836,153.3435,10.3749,-5.1201361947799E-01
Cr19O48_780521_POSCAR,4.5074158849,5.8567,2.0756,285.6905,10.3920,-4.5269920192532E-01
Cr19O48_780521_POSCAR,4.2570038913,7.1631,2.1437,153.3435,10.3831,-4.3973886750577E-01
Cr19O48_780521_POSCAR,3.7561799041,11.4358,2.6053,153.3435,10.3711,-6.1279001442048E-01
Cr19O48_780521_POSCAR,4.7578278785,5.0284,2.0339,285.6905,10.4002,-3.8641334018800E-01
Cr19O48_780521_POSCAR,5.0082398721,4.5564,1.9931,285.6905,10.4113,-3.5780069171399E-01
Cr19O48_780521_POSCAR,5.2586518657,4.2907,1.9308,285.6905,10.4367,-3.1835491264208E-01
Cr19O48_780521_POSCAR,5.5090638593,4.1166,1.8228,285.6905,10.5211,-2.7740632519003E-01
Cr19O48_780521_POSCAR,5.7594758529,3.9531,1.6521,285.6905,10.8685,-2.4344127903052E-01
Cr19O48_780521_POSCAR,6.0098878465,3.7337,1.4228,285.6905,11.8742,-2.1235656383093E-01
Cr19O48_780521_POSCAR,6.2602998401,3.4027,1.1602,285.6905,12.6533,-1.8231924336638E-01
Cr19O48_780521_POSCAR,6.5107118337,2.9352,0.8951,285.6905,12.8956,-1.7327523089420E-01
Cr19O48_780521_POSCAR,6.7611238273,2.3661,0.6545,285.6905,13.3798,-1.6137974597265E-01
Cr19O48_780521_POSCAR,7.2619478145,1.2723,0.3104,287.2107,14.9797,-1.3623113757187E-01
Cr19O48_780521_POSCAR,7.0115358209,1.7827,0.4574,285.6914,14.3251,-1.4919070127127E-01
Cr19O48_780521_POSCAR,7.5123598081,0.8774,0.2080,513.2711,15.2441,-1.4606746245338E-01
Cr19O48_780521_POSCAR,7.7627718017,0.5958,0.1395,685.7787,15.3475,-1.4886948724379E-01
Cr19O48_780521_POSCAR,8.0131837953,0.4041,0.0945,690.4382,15.3931,-1.3682040311726E-01
Cr19O48_780521_POSCAR,8.2635957889,0.2761,0.0649,690.6956,15.4159,-1.2633557338641E-01
Cr19O48_780521_POSCAR,8.5140077825,0.1910,0.0454,690.7290,15.4285,-1.1748885777172E-01
Cr19O48_780521_POSCAR,8.7644197761,0.1342,0.0323,690.7366,15.4359,-1.0998984254890E-01
Cr19O48_780521_POSCAR,9.0148317697,0.0958,0.0234,690.7391,15.4406,-1.0345028740067E-01
Cr19O48_780521_POSCAR,9.2652437634,0.0695,0.0172,690.7402,15.4436,-9.7403773547176E-02
Cr19O48_780521_POSCAR,9.5156557570,0.0513,0.0129,690.7407,15.4457,-9.1423645936893E-02
Cr19O48_780521_POSCAR,10.0164797442,0.0291,0.0075,690.7412,15.4481,-7.8884471779823E-02
Cr19O48_780521_POSCAR,9.7660677506,0.0384,0.0098,690.7410,15.4471,-8.5257291804865E-02
Cr19O48_780521_POSCAR,10.2668917378,0.0224,0.0059,690.7413,15.4489,-7.2454455546136E-02
Cr19O48_780521_POSCAR,10.5173037314,0.0175,0.0047,690.7414,15.4494,-6.6178357729578E-02
Cr19O48_780521_POSCAR,10.7677157250,0.0138,0.0037,690.7415,15.4498,-6.0243277824519E-02
Cr19O48_780521_POSCAR,11.0181277186,0.0110,0.0030,690.7415,15.4501,-5.4762978837086E-02
Cr19O48_780521_POSCAR,11.2685397122,0.0089,0.0025,690.7416,15.4504,-4.9770810536850E-02
Cr19O48_780521_POSCAR,11.5189517058,0.0072,0.0020,690.7416,15.4506,-4.5245807366235E-02
Cr19O48_780521_POSCAR,12.0197756930,0.0049,0.0014,690.7416,15.4508,-3.7377754509676E-02
Cr19O48_780521_POSCAR,11.7693636994,0.0059,0.0017,690.7416,15.4507,-4.1134543585836E-02
Cr19O48_780521_POSCAR,12.2701876866,0.0041,0.0012,690.7416,15.4509,-3.3926485925063E-02
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874,0.0000000000,read,real,scaling,value,N/A
Cr19O48_850874_POSCAR,4.2491785045,8.5813,2.1519,153.3435,10.3824,-4.5631913450100E-01
Cr19O48_850874_POSCAR,3.9992268277,10.1150,2.3043,153.3435,10.3742,-5.1026804154487E-01
Cr19O48_850874_POSCAR,3.7492751510,11.6789,2.6512,153.3435,10.3710,-6.0899606079395E-01
Cr19O48_850874_POSCAR,4.4991301812,7.3768,2.0743,153.3435,10.3922,-4.4636433283469E-01
Cr19O48_850874_POSCAR,4.9990335347,5.8000,1.9499,285.6905,10.4276,-3.4916941626401E-01
Cr19O48_850874_POSCAR,4.7490818579,6.5252,2.0180,153.3435,10.4041,-3.8840529291131E-01
Cr19O48_850874_POSCAR,5.2489852114,4.9789,1.8426,285.6905,10.5003,-3.2053332474481E-01
Cr19O48_850874_POSCAR,5.4989368881,3.9935,1.6822,285.6905,10.7801,-2.7953644370761E-01
Cr19O48_850874_POSCAR,6.2487919183,1.3157,1.0701,286.4976,12.7534,-1.8581387089388E-01
Cr19O48_850874_POSCAR,5.7488885649,2.9501,1.4823,285.6905,11.5882,-2.4507674677729E-01
Cr19O48_850874_POSCAR,5.9988402416,2.0220,1.2729,285.6905,12.4309,-2.1504472476218E-01
Cr19O48_850874_POSCAR,6.4987435951,0.8352,0.8717,571.6546,12.9193,-1.7530684113171E-01
Cr19O48_850874_POSCAR,6.7486952718,0.5287,0.6778,688.8684,13.3007,-1.7126802509076E-01
Cr19O48_850874_POSCAR,7.2485986253,0.2210,0.3528,690.7215,14.8224,-1.4187562985198E-01
Cr19O48_850874_POSCAR,6.9986469485,0.3386,0.4999,690.6256,14.0982,-1.5591751267283E-01
Cr19O48_850874_POSCAR,7.4985503020,0.1474,0.2421,690.7353,15.1727,-1.5150551145215E-01
Cr19O48_850874_POSCAR,7.7485019787,0.1007,0.1643,690.7389,15.3154,-1.5329342619162E-01
