source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578,0.0000000000,read,real,scaling,value,N/A
Cr19S30_1226578_POSCAR,6.7762783491,12.0375,9.9126,153.3435,125.8109,-8.1751578761414E-01
Cr19S30_1226578_POSCAR,6.3527609523,14.0943,13.3104,153.3435,125.8109,-9.9736364990538E-01
Cr19S30_1226578_POSCAR,7.6233131427,8.6374,5.6797,153.3435,125.8109,-5.6087727003317E-01
Cr19S30_1226578_POSCAR,7.1997957459,10.1552,7.2781,153.3435,125.8109,-6.7654351782961E-01
Cr19S30_1226578_POSCAR,8.4703479364,6.6701,4.2555,153.3435,125.8109,-4.1250592486934E-01
Cr19S30_1226578_POSCAR,8.8938653332,5.8221,3.7665,285.6905,125.8109,-4.6442518007452E-01
Cr19S30_1226578_POSCAR,9.3173827300,4.8590,3.1807,285.6905,125.8109,-4.0869635127005E-01
Cr19S30_1226578_POSCAR,8.0468305395,7.5397,4.8022,153.3435,125.8109,-4.6982449149598E-01
Cr19S30_1226578_POSCAR,10.1644175236,2.7123,1.7729,285.6905,126.3082,-3.1480372019928E-01
Cr19S30_1226578_POSCAR,9.7409001268,3.7764,2.4804,285.6905,125.8129,-3.5807468573654E-01
Cr19S30_1226578_POSCAR,10.5879349205,1.8255,1.1837,285.6910,130.5974,-2.8372810854994E-01
Cr19S30_1226578_POSCAR,11.0114523173,1.1816,0.7611,291.3607,131.3088,-2.6391975882231E-01
Cr19S30_1226578_POSCAR,11.4349697141,0.7543,0.4842,645.2784,132.5749,-3.6683262880295E-01
Cr19S30_1226578_POSCAR,11.8584871109,0.4836,0.3102,689.7716,133.4500,-3.5517341483446E-01
Cr19S30_1226578_POSCAR,12.7055219045,0.2086,0.1344,690.7250,133.8470,-3.1521755020232E-01
Cr19S30_1226578_POSCAR,12.2820045077,0.3145,0.2020,690.6602,133.7431,-3.3583527980811E-01
Cr19S30_1226578_POSCAR,13.1290393014,0.1415,0.0915,690.7359,133.8914,-2.9111150140667E-01
