source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027,0.0000000000,read,real,scaling,value,N/A
HgO2_1181027_POSCAR,2.5883271407,16.1697,5.0412,298.8616,10.3708,-3.4635080999423E-02
HgO2_1181027_POSCAR,2.4265566944,19.5767,5.5511,298.8616,10.3708,-4.0478825597103E-02
HgO2_1181027_POSCAR,2.9118680333,9.9861,3.9027,298.8616,10.3708,-2.5938635193180E-02
HgO2_1181027_POSCAR,2.7500975870,12.9680,4.5238,298.8616,10.3708,-3.0051523104844E-02
HgO2_1181027_POSCAR,3.0736384796,7.2914,3.2426,298.8616,10.3708,-2.2437472887294E-02
HgO2_1181027_POSCAR,3.2354089259,5.1595,2.6540,298.8616,10.3710,-1.9670202016476E-02
HgO2_1181027_POSCAR,3.5589498185,2.7291,1.7208,298.8616,10.6856,-1.5281812642939E-02
HgO2_1181027_POSCAR,3.3971793722,3.6994,2.1624,298.8616,10.3814,-1.7333544556707E-02
HgO2_1181027_POSCAR,3.7207202648,2.0182,1.3021,298.8616,12.3474,-1.3844506733816E-02
HgO2_1181027_POSCAR,4.0442611574,0.9860,0.6224,331.3765,13.5028,-1.1144491883870E-02
HgO2_1181027_POSCAR,3.8824907111,1.4441,0.9255,298.9070,12.8682,-1.2035665725428E-02
HgO2_1181027_POSCAR,4.2060316036,0.6496,0.4041,361.7957,14.5949,-1.0398002200170E-02
HgO2_1181027_POSCAR,4.6913429425,0.1811,0.1089,362.0753,15.3801,-7.1555868781608E-03
HgO2_1181027_POSCAR,4.3678020499,0.4215,0.2590,362.0680,15.1316,-9.1709168263134E-03
HgO2_1181027_POSCAR,4.5295724962,0.2743,0.1667,362.0748,15.3121,-8.0973148614240E-03
HgO2_1181027_POSCAR,4.8531133888,0.1219,0.0725,362.0754,15.4105,-6.2933469228848E-03
HgO2_1181027_POSCAR,5.1766542814,0.0590,0.0344,362.0755,15.4348,-4.7647327303060E-03
HgO2_1181027_POSCAR,5.0148838351,0.0839,0.0494,362.0755,15.4260,-5.4921186730969E-03
HgO2_1181027_POSCAR,5.3384247277,0.0425,0.0245,362.0755,15.4400,-4.1287851028866E-03
HgO2_1181027_POSCAR,5.5001951740,0.0312,0.0178,362.0755,15.4434,-3.5899739980169E-03
HgO2_1181027_POSCAR,5.6619656203,0.0233,0.0132,362.0755,15.4456,-3.1396030963633E-03
HgO2_1181027_POSCAR,5.8237360666,0.0177,0.0099,362.0755,15.4471,-2.7609825863824E-03
HgO2_1181027_POSCAR,6.1472769592,0.0108,0.0059,362.0755,15.4489,-2.1512585666402E-03
HgO2_1181027_POSCAR,5.9855065129,0.0137,0.0076,362.0755,15.4481,-2.4361367797034E-03
HgO2_1181027_POSCAR,6.3090474055,0.0086,0.0047,362.0755,15.4494,-1.8978084417261E-03
HgO2_1181027_POSCAR,6.4708178518,0.0069,0.0037,362.0755,15.4498,-1.6719989527189E-03
HgO2_1181027_POSCAR,6.6325882981,0.0057,0.0030,362.0755,15.4501,-1.4720146740474E-03
HgO2_1181027_POSCAR,6.7943587444,0.0047,0.0025,362.0755,15.4504,-1.2965469216649E-03
HgO2_1181027_POSCAR,6.9561291906,0.0039,0.0020,362.0755,15.4506,-1.1439314997231E-03
HgO2_1181027_POSCAR,7.1178996369,0.0032,0.0017,362.0755,15.4507,-1.0116284258197E-03
HgO2_1181027_POSCAR,7.2796700832,0.0027,0.0014,362.0755,15.4508,-8.9702823497968E-04
HgO2_1181027_POSCAR,7.4414405295,0.0023,0.0012,362.0755,15.4509,-7.9727090441714E-04
HgO2_1181027_POSCAR,7.6032109758,0.0020,0.0010,362.0755,15.4510,-7.0995618359381E-04
HgO2_1181027_POSCAR,7.7649814221,0.0017,0.0009,362.0755,15.4511,-6.3300890610060E-04
HgO2_1181027_POSCAR,7.9267518684,0.0015,0.0008,362.0755,15.4511,-5.6476781605860E-04
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
HgO2_2278,0.0000000000,read,real,scaling,value,N/A
