source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367,0.0000000000,read,real,scaling,value,N/A
HgS4_1106367_POSCAR,10.5007468080,1.3722,2.5581,299.0041,125.8120,-4.9735735272753E-02
HgS4_1106367_POSCAR,11.8133401590,0.4902,1.9194,362.0533,125.9768,-3.5965660299951E-02
HgS4_1106367_POSCAR,9.8444501325,1.7917,2.8440,298.8618,125.8110,-6.4226909063746E-02
HgS4_1106367_POSCAR,11.1570434835,0.8789,2.2348,352.8305,125.8248,-4.2008871521846E-02
HgS4_1106367_POSCAR,12.4696368345,0.2593,1.6245,362.0749,127.1444,-3.1455791615231E-02
HgS4_1106367_POSCAR,13.1259335100,0.1382,1.3839,362.0754,129.4518,-2.7569448452573E-02
HgS4_1106367_POSCAR,14.4385268610,0.0441,1.1213,362.0755,130.7591,-2.0934799770742E-02
HgS4_1106367_POSCAR,13.7822301855,0.0763,1.2207,362.0755,130.4676,-2.4026153017643E-02
HgS4_1106367_POSCAR,15.0948235365,0.0266,1.0586,362.0755,130.8710,-1.8381127235133E-02
HgS4_1106367_POSCAR,15.7511202120,0.0168,1.0091,362.0755,130.9382,-1.6319473384143E-02
HgS4_1106367_POSCAR,16.4074168875,0.0110,0.9542,362.0755,131.0032,-1.4640949850652E-02
HgS4_1106367_POSCAR,17.0637135630,0.0074,0.8787,362.0755,131.0954,-1.3212275507861E-02
HgS4_1106367_POSCAR,17.7200102385,0.0052,0.7737,362.0755,131.2790,-1.1912950632260E-02
HgS4_1106367_POSCAR,19.6889002650,0.0021,0.3694,362.0755,133.2044,-8.6088752075647E-03
HgS4_1106367_POSCAR,18.3763069140,0.0037,0.6423,362.0755,131.7098,-1.0695633650001E-02
HgS4_1106367_POSCAR,19.0326035895,0.0027,0.5007,362.0755,132.4760,-9.5843904075723E-03
