source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603,0.0000000000,read,real,scaling,value,N/A
Mn15O32_776603_POSCAR,5.1756784412,10.9455,3.0885,113.8463,10.3708,-2.1303998281569E-01
Mn15O32_776603_POSCAR,4.8881407500,11.7912,3.2067,113.8463,10.3708,-2.5729750107604E-01
Mn15O32_776603_POSCAR,4.6006030588,12.3882,3.4295,113.8463,10.3708,-3.1552896940612E-01
Mn15O32_776603_POSCAR,4.3130653677,13.1196,3.9317,113.8463,10.3708,-3.8504182315077E-01
Mn15O32_776603_POSCAR,5.4632161324,9.6947,2.9885,113.8463,10.3708,-1.7944863811473E-01
