source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355,0.0000000000,read,real,scaling,value,N/A
Mn2S3_974355_POSCAR,4.6124266308,8.0048,6.8576,113.8463,125.8109,-9.9611054397649E-02
Mn2S3_974355_POSCAR,4.0697882036,11.1190,12.4311,113.8463,125.8109,-1.4475014738614E-01
Mn2S3_974355_POSCAR,4.8837458444,7.1157,5.4295,113.8463,125.8109,-8.5868926819024E-02
Mn2S3_974355_POSCAR,4.3411074172,9.2789,9.2362,113.8463,125.8109,-1.1845666367948E-01
Mn2S3_974355_POSCAR,5.1550650579,6.4359,4.6071,113.8463,125.8109,-7.4810198531017E-02
Mn2S3_974355_POSCAR,5.6977034851,4.9503,3.3905,239.5554,125.8109,-7.8785784612031E-02
Mn2S3_974355_POSCAR,5.9690226987,3.9094,2.6606,239.5554,125.8114,-6.8370491860495E-02
Mn2S3_974355_POSCAR,5.4263842715,5.7749,4.0109,146.7905,125.8109,-7.2077811624836E-02
Mn2S3_974355_POSCAR,6.5116611258,1.8605,1.2631,239.5558,130.2787,-5.1449990093180E-02
Mn2S3_974355_POSCAR,6.2403419122,2.8054,1.9048,239.5554,125.9965,-5.8979337382596E-02
Mn2S3_974355_POSCAR,7.0542995530,0.7364,0.5019,624.4555,132.4687,-6.3222307227018E-02
Mn2S3_974355_POSCAR,6.7829803394,1.1790,0.8015,242.8077,131.2203,-4.4590974120145E-02
Mn2S3_974355_POSCAR,7.5969379801,0.2961,0.2032,801.9634,133.7409,-5.6503708276364E-02
Mn2S3_974355_POSCAR,7.3256187665,0.4629,0.3165,795.8091,133.4269,-6.3870457294711E-02
Mn2S3_974355_POSCAR,7.8682571937,0.1937,0.1335,802.5436,133.8481,-5.0647458190990E-02
Mn2S3_974355_POSCAR,8.1395764073,0.1297,0.0898,802.6599,133.8929,-4.6204549233318E-02
Mn2S3_974355_POSCAR,8.4108956208,0.0890,0.0620,802.6965,133.9148,-4.2703043405443E-02
Mn2S3_974355_POSCAR,8.9535340480,0.0448,0.0316,802.7194,133.9341,-3.6533404280511E-02
Mn2S3_974355_POSCAR,9.2248532616,0.0328,0.0232,802.7236,133.9386,-3.3286122038515E-02
Mn2S3_974355_POSCAR,8.6822148344,0.0625,0.0438,802.7118,133.9269,-3.9617883931169E-02
Mn2S3_974355_POSCAR,9.4961724751,0.0244,0.0174,802.7262,133.9416,-2.9957691259257E-02
Mn2S3_974355_POSCAR,9.7674916887,0.0185,0.0133,802.7278,133.9437,-2.6735862406722E-02
Mn2S3_974355_POSCAR,10.3101301159,0.0111,0.0081,802.7297,133.9462,-2.1187904321350E-02
Mn2S3_974355_POSCAR,10.0388109023,0.0142,0.0103,802.7289,133.9451,-2.3787696540531E-02
Mn2S3_974355_POSCAR,11.3954069702,0.0047,0.0035,802.7312,133.9483,-1.3650402153972E-02
Mn2S3_974355_POSCAR,10.5814493294,0.0088,0.0064,802.7303,133.9469,-1.8930677300671E-02
Mn2S3_974355_POSCAR,10.8527685430,0.0071,0.0052,802.7307,133.9475,-1.6964973347326E-02
Mn2S3_974355_POSCAR,11.1240877566,0.0057,0.0042,802.7310,133.9480,-1.5222996397035E-02
Mn2S3_974355_POSCAR,11.6667261838,0.0039,0.0029,802.7314,133.9486,-1.2212212619640E-02
Mn2S3_974355_POSCAR,12.4806838245,0.0023,0.0018,802.7318,133.9491,-8.5939794490438E-03
Mn2S3_974355_POSCAR,11.9380453973,0.0032,0.0024,802.7316,133.9488,-1.0893185867582E-02
Mn2S3_974355_POSCAR,12.2093646109,0.0027,0.0021,802.7317,133.9489,-9.6876033153609E-03
Mn2S3_974355_POSCAR,12.7520030381,0.0020,0.0015,802.7318,133.9492,-7.6109688210967E-03
Mn2S3_974355_POSCAR,13.0233222516,0.0017,0.0013,802.7319,133.9493,-6.7324508489045E-03
Mn2S3_974355_POSCAR,13.2946414652,0.0015,0.0011,802.7320,133.9494,-5.9537406250587E-03
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
Mn3S_975439,0.0000000000,read,real,scaling,value,N/A
