source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470,0.0000000000,read,real,scaling,value,N/A
Nb12O29_1470_POSCAR,9.6777982890,10.7843,2.1461,428.8962,10.3829,-6.0971619886598E-01
Nb12O29_1470_POSCAR,8.0648319075,15.5699,3.2308,428.8962,10.3708,-1.0560137359612E+00
Nb12O29_1470_POSCAR,9.1401428285,12.2753,2.2784,428.8962,10.3750,-7.4002921416155E-01
Nb12O29_1470_POSCAR,8.6024873680,13.7142,2.5680,428.8962,10.3712,-8.9254928588739E-01
Nb12O29_1470_POSCAR,10.2154537495,9.3372,2.0805,428.8962,10.3912,-5.0883155362868E-01
Nb12O29_1470_POSCAR,11.8284201310,6.1304,1.9701,428.8962,10.4193,-3.2793438858018E-01
Nb12O29_1470_POSCAR,10.7531092100,8.0866,2.0424,428.8962,10.3983,-4.3310174125792E-01
Nb12O29_1470_POSCAR,11.2907646705,7.0368,2.0112,428.8962,10.4060,-3.7507021017523E-01
Nb12O29_1470_POSCAR,12.3660755915,5.2969,1.8991,428.8962,10.4550,-2.8726653383316E-01
Nb12O29_1470_POSCAR,13.9790419730,2.8732,1.3089,433.3996,12.3260,-2.0378396240752E-01
