source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845,0.0000000000,read,real,scaling,value,N/A
Pt2O_1206845_POSCAR,3.6367880000,13.8204,4.3491,336.8727,10.3708,-1.8850000160467E-01
Pt2O_1206845_POSCAR,3.8640872500,12.1228,4.1696,336.8727,10.3708,-1.5335821046917E-01
Pt2O_1206845_POSCAR,3.4094887500,15.1653,4.7558,336.8727,10.3708,-2.3493148147665E-01
Pt2O_1206845_POSCAR,4.0913865000,9.6888,4.0715,336.8727,10.3708,-1.2454068522432E-01
Pt2O_1206845_POSCAR,4.7732842500,3.4587,3.5716,346.3610,10.3708,-8.7819856429969E-02
Pt2O_1206845_POSCAR,4.5459850000,4.8883,3.8389,336.8727,10.3708,-9.1293602169324E-02
