source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762,0.0000000000,read,real,scaling,value,N/A
PtS2_762_POSCAR,2.8389938720,10.7717,8.1191,336.8727,125.8109,-6.3003333642152E-02
PtS2_762_POSCAR,3.1938681060,7.6957,4.5808,336.8727,125.8109,-4.2225745578908E-02
PtS2_762_POSCAR,2.6615567550,12.5266,11.0758,336.8727,125.8109,-7.8419550883030E-02
PtS2_762_POSCAR,3.0164309890,9.0500,5.9510,336.8727,125.8109,-5.1166079826072E-02
PtS2_762_POSCAR,3.5487423400,6.2360,3.3262,336.8727,125.8109,-3.1582276523330E-02
PtS2_762_POSCAR,3.3713052230,6.8260,3.7964,336.8727,125.8109,-3.5946611383306E-02
PtS2_762_POSCAR,3.7261794570,5.6683,2.9526,336.8727,125.8109,-2.7999556792450E-02
PtS2_762_POSCAR,3.9036165740,4.9310,2.5361,336.8727,125.8122,-2.4534952470064E-02
PtS2_762_POSCAR,4.0810536910,3.9729,2.0305,346.3609,125.8807,-2.1575949468859E-02
PtS2_762_POSCAR,4.4359279250,1.9957,1.0171,346.3610,130.9281,-1.7150792603773E-02
PtS2_762_POSCAR,4.6133650420,1.2982,0.6625,346.5892,131.6247,-1.5834833829957E-02
PtS2_762_POSCAR,4.2584908080,2.9258,1.4915,346.3610,128.4018,-1.9018031144195E-02
PtS2_762_POSCAR,4.7908021590,0.8290,0.4241,385.4831,132.9237,-1.5815688084261E-02
PtS2_762_POSCAR,4.9682392760,0.5302,0.2722,391.0789,133.5745,-1.5369486869589E-02
PtS2_762_POSCAR,5.1456763930,0.3438,0.1772,391.1410,133.7870,-1.4832557411152E-02
PtS2_762_POSCAR,5.3231135100,0.2271,0.1176,391.1442,133.8660,-1.4090664103628E-02
PtS2_762_POSCAR,5.5005506270,0.1534,0.0798,391.1446,133.9013,-1.3056043808890E-02
PtS2_762_POSCAR,5.6779877440,0.1058,0.0554,391.1447,133.9193,-1.1802081201618E-02
PtS2_762_POSCAR,5.8554248610,0.0746,0.0393,391.1447,133.9296,-1.0482615806994E-02
PtS2_762_POSCAR,6.0328619780,0.0536,0.0285,391.1448,133.9358,-9.2336654981017E-03
PtS2_762_POSCAR,6.2102990950,0.0393,0.0210,391.1448,133.9398,-8.1247657072963E-03
PtS2_762_POSCAR,6.3877362120,0.0293,0.0158,391.1448,133.9424,-7.1657446660401E-03
PtS2_762_POSCAR,6.5651733290,0.0222,0.0120,391.1448,133.9443,-6.3351456429632E-03
PtS2_762_POSCAR,6.7426104460,0.0171,0.0093,391.1448,133.9456,-5.6038250716834E-03
PtS2_762_POSCAR,6.9200475630,0.0133,0.0073,391.1448,133.9465,-4.9490189930337E-03
PtS2_762_POSCAR,7.0974846800,0.0105,0.0058,391.1448,133.9472,-4.3577962271306E-03
PtS2_762_POSCAR,7.2749217970,0.0084,0.0047,391.1448,133.9477,-3.8248488014865E-03
PtS2_762_POSCAR,7.4523589140,0.0068,0.0039,391.1448,133.9481,-3.3471317665613E-03
PtS2_762_POSCAR,7.6297960310,0.0056,0.0032,391.1448,133.9484,-2.9233948721562E-03
PtS2_762_POSCAR,7.8072331480,0.0046,0.0026,391.1448,133.9487,-2.5506575441652E-03
PtS2_762_POSCAR,7.9846702650,0.0038,0.0022,391.1448,133.9489,-2.2252519102738E-03
PtS2_762_POSCAR,8.1621073820,0.0032,0.0019,391.1448,133.9490,-1.9426733700914E-03
PtS2_762_POSCAR,8.3395444990,0.0027,0.0016,391.1448,133.9492,-1.6981198593970E-03
PtS2_762_POSCAR,8.5169816160,0.0023,0.0014,391.1448,133.9493,-1.4865374930136E-03
PtS2_762_POSCAR,8.6944187330,0.0020,0.0012,391.1448,133.9493,-1.3040165851845E-03
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
PtS_1205321,0.0000000000,read,real,scaling,value,N/A
